"Bezirk";"Anteil.Ablehnung";"Anteil.Zustimmung"
"Bad Cannstatt";47,6;52,4
"Birkach";44,6;55,4
"Botnang";46,1;53,9
"Degerloch";49;51
"Feuerbach";45,9;54,1
"Hedelfingen";42,5;57,5
"Mitte";53,9;46,1
"Möhringen";43,9;56,1
"Mühlhausen";40,3;59,7
"Münster";42,6;57,4
"Nord";48,4;51,6
"Obertürkheim";41,5;58,5
"Ost";52,7;47,3
"Plieningen";47,1;52,9
"Sillenbuch";45,6;54,4
"Stammheim";37,6;62,4
"Süd";52,5;47,5
"Untertürkheim";44,8;55,2
"Vaihingen";45,8;54,2
"Wangen";43,1;56,9
"Weilimdorf";42,7;57,3
"West";52,2;47,8
"Zuffenhausen";41,7;58,3
