"Stadtbezirk";"u_intervall_1";"o_intervall_1";"mean_1";"median_1"
"Bad Cannstatt";13991,6131565861;24478,613430909;17501,8495814533;16933,9961642962
"Birkach";1482,21099123117;2662,74954423398;1921,70756271766;1854,14784438771
"Botnang";2872,8160981199;5887,26980037328;3830,69347909007;3656,91999818059
"Degerloch";3909,94816740782;7350,52642593733;5099,53311030719;4938,71511852424
"Feuerbach";5918,55658448256;10874,1096050607;7585,26264181614;7313,89857805836
"Hedelfingen";2051,7569830003;3706,4415783127;2635,27839745784;2550,89130722118
"Mitte";5797,62577306458;8876,29970273987;7010,50818750596;6904,82685264942
"Möhringen";6924,97054618493;13183,5675033906;9088,47629121923;8746,67942816957
"Mühlhausen";4761,00406744885;10423,9594181012;6659,03458455162;6350,0393659317
"Münster";1293,92825027466;2443,29677273828;1662,39501878349;1596,04067660367
"Nord";5887,50182740009;9935,73978550895;7303,23787404876;7082,91570877213
"Obertürkheim";1798,88281749459;3329,9660389835;2339,25378802979;2273,72068480253
"Ost";10662,5427653725;18087,6096258398;13358,0070185599;12926,6175843618
"Plieningen";2844,24363033155;5484,95491266342;3843,52481087403;3735,41024815628
"Sillenbuch";5079,88759323249;9830,69303725611;6722,75492702157;6436,39713506514
"Stammheim";2114,16661016956;4354,52502532145;2969,99062650277;2861,24991643409
"Süd";11843,3534741331;18675,3418530674;14453,9254751065;14193,1723596666
"Untertürkheim";3380,28836810967;6209,24652015974;4352,59832176336;4197,25118866899
"Vaihingen";10788,7126755956;19156,6235360014;13859,6410304677;13501,2055510266
"Wangen";1781,3640018168;3254,99486643242;2304,94605288756;2225,74382362413
"Weilimdorf";6011,04313619829;12010,9441053606;8186,68843527885;7875,92198809133
"West";14001,6930137058;22164,6035893768;17340,5144409176;17041,9341874067
"Zuffenhausen";6942,20410236969;12847,8732553873;8970,99248644975;8645,81578273649
