"Stadtteil";"u_intervall_1";"o_intervall_1";"mean_1";"median_1"
"Altenburg";283,744112010068;540,666407133674;370,572305501278;355,177562238274
"Am Bismarckturm";102,022295572508;233,153991381168;145,329988352792;137,526391115887
"Am Pragfriedhof";285,462169434455;472,441121209711;353,882297383239;344,041826773293
"Am Rosensteinpark";5,6613705791185;9,12251647293845;7,03057539487037;6,94291755733354
"An der Burg";261,25040689902;495,820346636352;340,751130535779;326,723083403216
"Asemwald";225,026933783671;877,04214988426;413,276912475956;361,519088586179
"Auf der Prag";922,750402267231;1439,16339738647;1120,046285133;1095,58079096484
"Bahnhof Feuerbach";455,017303963744;795,34900903943;572,523141988184;556,380115773881
"Benzviertel";38,0440323572084;66,2490387303079;48,6810529825106;47,4930628483678
"Berg";580,241909790355;961,750745479739;723,65020919266;704,579885749481
"Bergheim";496,119027752297;1185,05440650886;731,439878876994;688,381986257663
"Birkach-Nord";364,265890425934;683,766107528793;476,196845306971;457,256840882193
"Birkach-Süd";777,684314344412;1366,58376197789;1003,02725638108;977,160873311542
"Birkenäcker";776,612235065693;1489,9225224235;1015,23498506858;971,838285027477
"Bopser";749,062849859968;1255,99276868784;936,113372079665;914,579089022372
"Botnang-Nord";655,654231178569;1517,77629649677;920,866837936546;868,26250786571
"Botnang-Ost";670,272985299662;1201,67053074483;850,469605511201;821,892194809107
"Botnang-Süd";948,988361384677;1993,77260952437;1290,05526745355;1227,59865315265
"Botnang-West";589,319584371111;1126,73938126473;769,301768188768;736,880168163521
"Bruckwiesen";4,1309273171223;7,4755743595824;5,6304238293049;5,55489331123152
"Burgholzhof";655,079524835738;926,659395038138;765,383846798831;758,120602042207
"Büsnau";531,241517407761;1098,94389765625;763,442581721393;742,230051241047
"Cannstatt-Mitte";828,923665957932;1399,05130758512;1050,28857842562;1025,54550136525
"Chausseefeld";288,402940033041;425,692307855062;354,941366987802;353,055973241517
"Dachswald";1147,51383625928;1983,27440559602;1468,05659782721;1430,04953594662
"Degerloch";2117,49141234015;3820,40408978401;2715,03261618807;2640,75678140601
"Diemershalde";578,857558501637;900,421022313072;705,536510274282;694,044683652242
"Dobel";1154,83846782274;1796,94650341341;1409,61563372462;1384,2090625695
