"Stadtbezirk";"u_intervall_1";"o_intervall_1";"mean_1";"median_1"
"Bad Cannstatt";14095,047817131;24271,683930132;17642,7085892789;17122,9915347365
"Birkach";1509,72812472583;2725,93604956226;1957,09368547354;1914,94685321681
"Botnang";2831,93206724386;5840,6218035134;3840,97242495018;3658,84277014977
"Degerloch";3821,29995929848;7288,21094338594;4993,72621436534;4810,70356569612
"Feuerbach";6001,88490392787;11074,6416598909;7687,63437595673;7429,8378110687
"Hedelfingen";2018,79382935574;3706,16069478333;2609,39538009883;2516,76963083102
"Mitte";5424,22388722599;8642,48040010416;6768,04903794644;6680,47562120828
"Möhringen";6849,34853198429;13212,8430539172;9036,10652834034;8695,27756258005
"Mühlhausen";5014,67495264259;10657,6612752994;6930,0493087497;6631,33644420683
"Münster";1223,01551779113;2406,71819874778;1641,2165451697;1589,18773732012
"Nord";5630,55699469863;9766,49465394874;7115,62035821425;6900,8049625315
"Obertürkheim";1801,15426257071;3325,35517148103;2363,99452524202;2289,78780538
"Ost";11056,8521102115;18621,6408522299;13791,7095694557;13395,0484201431
"Plieningen";2873,82688461496;5391,63998171486;3788,375627215;3683,40801243895
"Sillenbuch";5220,24960184112;10019,4086951872;6837,37475463015;6560,96668510668
"Stammheim";1901,61809254339;4206,05455722868;2791,40291189954;2680,33890864925
"Süd";11401,0801681889;17950,8531664339;13847,3361557795;13606,1056960415
"Untertürkheim";3487,756550205;6276,47363635383;4471,67649799919;4312,83833147582
"Vaihingen";11019,8517317984;19110,7052853946;13840,4530725246;13434,6097858731
"Wangen";1680,57616558742;3231,7762637047;2229,732164215;2161,18749070753
"Weilimdorf";6468,22464345664;12472,960040929;8594,42696748174;8275,30201345505
"West";14167,9436694035;22232,6480302086;17391,5635524654;17073,7045594
"Zuffenhausen";7343,90696274678;13331,5235637918;9374,95449649229;9046,1715763024
