"Stadtteil";"u_intervall_1";"o_intervall_1";"mean_1";"median_1"
"Altenburg";292,385375903827;541,324838756187;374,753028495482;358,292302350733
"Am Bismarckturm";97,7699451653699;225,842983593998;139,189754418135;130,897295024852
"Am Pragfriedhof";275,858816034181;464,558591073447;347,95167930458;339,315836935282
"Am Rosensteinpark";5,630315487515;9,32454240778795;7,1881480781621;7,08436940899596
"An der Burg";258,611104401061;500,514176456267;336,120755678127;322,178403580577
"Asemwald";217,012496046451;880,465469002923;406,636882084201;356,908923163974
"Auf der Prag";918,702227630214;1453,46477573724;1131,79859266753;1111,35686702539
"Bahnhof Feuerbach";457,146067182691;818,187171039153;582,494616564276;568,581304217871
"Benzviertel";39,3937930148998;68,3078645868484;50,0872934358615;48,7102305353244
"Berg";628,00564153649;1008,33377104262;769,6362911547;751,52017293466
"Bergheim";535,391224595951;1217,5359584929;763,030549151985;715,64185062249
"Birkach-Nord";369,566816253312;709,686659786895;484,866658877373;471,031332214127
"Birkach-Süd";792,89137512845;1385,26989763619;1023,33974064549;1006,16916994421
"Birkenäcker";784,815975725781;1482,15142631389;1020,35299453229;978,391796059937
"Bopser";746,685138324719;1264,25082012871;930,41624169299;904,565822361745
"Botnang-Nord";649,653732371512;1500,7423613685;922,785545846806;867,896651099134
"Botnang-Ost";655,641966120958;1188,09412860575;841,113288129122;813,55042696432
"Botnang-Süd";937,496824489566;2010,14596667638;1294,53623232103;1227,18819337598
"Botnang-West";590,415842697807;1140,89150965321;782,537358653223;750,665203520919
"Bruckwiesen";4,1827265398654;7,54588057570884;5,69340238402294;5,62023397372006
"Burgholzhof";656,259252427168;920,629393589399;765,994214600468;759,616469376637
"Büsnau";640,822437644261;1182,93659847097;822,371685038355;794,861635794638
"Cannstatt-Mitte";854,936065369916;1411,10825033898;1061,07502141274;1036,41810916031
"Chausseefeld";287,907113176087;424,534436946022;350,282011089125;347,238764141399
"Dachswald";1189,65160726362;2013,28246287595;1486,41860135053;1446,93531653769
"Degerloch";2070,73316171026;3765,24548817661;2644,53018303666;2564,15848279155
"Diemershalde";553,88325221618;885,223237834707;689,146258514989;677,987961442193
"Dobel";1090,39857170825;1749,64619447191;1357,15581199267;1334,85137074416
"Dürrlewang";862,02529351795;1643,97015758449;1116,60675828985;1076,37240196348
"Espan";948,067006430222;1609,43791377804;1179,885993641;1145,00975003076
"Fasanenhof";1389,74925143609;2879,9607232918;1878,13170911308;1787,81927214153
"Fasanenhof-Ost";12,4585904556194;19,5326382245479;15,4125911850465;15,1614155905572
"Feuerbacher Tal";1061,37062772397;1911,91455050174;1353,31596864335;1313,1022149944
"Feuerbach-Mitte";1394,00321407872;2572,03908791626;1792,93320961937;1738,01190612788
"Feuerbach-Ost";84,9795002393815;143,383619245479;108,413398245441;107,061903740509
"Feuersee";1640,83468669018;2537,48296014553;2004,25795946923;1968,34932909007
"Flohberg";262,600726731407;458,604213833413;333,052400796131;321,719654543293
"Frauenkopf";161,224366759268;345,719516595612;222,541648399669;210,774847518712
"Freiberg";1332,04486930701;3032,16586497044;1891,26620312199;1796,81956151344
"Gablenberg";2510,75637370614;4205,61154037605;3123,93508800178;3039,34202283225
"Gaisburg";1943,12603440696;3261,07628594417;2415,59223283319;2344,23281625978
"Gänsheide";776,46932588419;1434,42063209484;1000,33072976181;963,021023197444
"Gehrenwald";644,004567327798;1194,7291424349;836,182205919188;802,910811739601
"Giebel";981,193275188222;2002,74787526667;1323,84740730662;1263,35785650761
"Hafen";12,8310292081334;18,8796052843232;15,3890472155657;15,2632217909831
"Haigst";417,569527399336;796,874992841323;547,83548840428;527,862049935543
"Hallschlag";1357,19952726445;2334,57215489854;1704,37844091627;1660,33877469093
"Hasenberg";1249,63695860725;2049,71894117258;1551,6983923289;1515,76768644068
"Hauptbahnhof";52,6178705160209;80,5127635321512;64,3573255216713;63,6045584121131
"Hausen";748,722972163484;1148,43095076683;922,200609981158;916,398370074163
"Hedelfingen";1143,0800891576;2053,83221940793;1462,70967733392;1413,55236998876
"Heerstraße";1274,39381018293;2253,01553063892;1606,59246357282;1556,36190523122
"Heilbronner Straße";469,058948771428;715,655939131181;574,496430073784;567,988934550775
"Heslach";2815,52754817564;4279,14432788503;3379,39551198493;3325,92792499256
"Heumaden";2074,43061961308;4145,14222023193;2770,86666706175;2649,17452969535
"Heusteigviertel";903,460796055131;1419,2203142555;1123,22847366665;1110,05310720087
"Hofen";897,528647006362;1817,14354157336;1217,28978662325;1166,30241702396
"Hoffeld";566,682793697653;1324,67227261142;814,749980316874;770,702900262438
"Hohenheim";138,180754095577;236,514871138586;183,987892886739;182,239390905281
"Höhenrand";614,043026760313;1051,20054280068;766,657531495232;745,919584693815
"Hohe Warte";930,978655328065;2026,16274233349;1271,22345682423;1205,64636560081
"Hölderlinplatz";1427,06638132154;2302,13549860864;1762,35173567468;1726,70887367451
"Im Geiger";952,948228701897;1788,6142908724;1226,81174491836;1173,05552921687
