"";"Stadtteil";"u_intervall_1";"o_intervall_1";"mean_1";"median_1"
"1";"Altenburg";207,187073497052;576,347965965968;346,079319307576;328,792918911192
"2";"Am Bismarckturm";81,7190408451873;257,393040594715;146,100232170612;137,210304647591
"3";"Am Pragfriedhof";257,481303126823;531,55519029667;365,172574399582;354,596107039922
"4";"Am Rosensteinpark";4,71972622338105;9,81971713306537;6,90478551164287;6,80033947987294
"5";"An der Burg";161,373033372147;527,512151503304;304,588884115212;291,563548892159
"6";"Asemwald";141,449234403423;1000,37678065134;417,193654356645;357,201905506482
"7";"Auf der Prag";667,206158194815;1582,71310853957;1069,33389104233;1042,32141813134
"8";"Bahnhof Feuerbach";465,698304521341;1024,24217161005;687,012309182768;665,301125511535
"9";"Benzviertel";33,4775851120545;72,212328422017;48,7192991351195;47,2674827359557
"10";"Berg";553,049864954011;1128,97460033476;795,347431018757;772,466534085188
"11";"Bergheim";482,587566570121;1560,67345526859;892,239814777171;827,874617880986
"12";"Birkach-Nord";300,713180861647;762,40357159945;488,859712436;471,459831624333
"13";"Birkach-Süd";678,401074258363;1476,48165088712;1009,47153936103;974,824328503118
"14";"Birkenäcker";663,834506808198;1653,57577495042;1042,59490295744;998,68146442152
"15";"Bopser";653,814241504124;1389,10448950155;935,862275648983;906,547534407743
"16";"Botnang-Nord";559,740185377285;1743,81436112881;1005,89470025183;948,930344257324
"17";"Botnang-Ost";533,060017379178;1267,90149123306;829,378941045689;804,948190708005
"18";"Botnang-Süd";732,467923950804;2143,10945427113;1249,64130233263;1162,1759440289
"19";"Botnang-West";436,569033748651;1193,89416901469;724,911935073579;687,960087703877
"20";"Bruckwiesen";4,03964207278448;8,77851007879757;6,12861958474851;6,04921223803837
"21";"Burgholzhof";588,05214518811;1143,88249019359;844,281072417392;837,883820479979
"22";"Büsnau";363,208422779774;1114,31132375251;663,368558545198;633,205450014068
"23";"Cannstatt-Mitte";590,949764472291;1548,27368528959;985,980558121893;952,518590623111
"24";"Chausseefeld";151,053542706217;383,552481951245;261,062876820467;258,217529975582
"25";"Dachswald";680,623535780257;1813,64879143074;1115,99738866939;1080,04054159133
