"Stadtteil";"u_intervall_1";"o_intervall_1";"mean_1";"median_1"
"Altenburg";275,411985173738;383,976643928626;329,159135244034;328,263600417563
"Am Bismarckturm";105,588225716342;152,151907082164;124,91933267128;123,053026164256
"Am Pragfriedhof";283,439805768104;374,068093441344;322,322721211874;320,839759138962
"Am Rosensteinpark";9,57844670453918;11,9452010637965;10,8008420116757;10,824261382568
"An der Burg";245,569257231366;334,582395060443;284,482394368606;282,545768527874
"Asemwald";190,263571972324;300,580054200304;236,562978287398;233,942287411967
"Auf der Prag";889,374601477278;1199,24243278893;1031,44682101546;1026,69299317914
"Bahnhof Feuerbach";428,025690290202;602,791200425398;505,084983734273;502,068938383427
"Benzviertel";37,2733876678977;53,844861221653;44,8749298583035;44,4590688710924
"Berg";576,32880100732;785,232439660605;677,219587619712;675,482314317071
"Bergheim";428,371989140036;710,361761599584;566,828326974994;566,236756941013
"Birkach-Nord";349,567140961963;489,528522726294;412,096436549912;409,97058463955
"Birkach-Süd";776,186823685533;1078,27980867681;924,215028147013;923,258222675025
"Birkenäcker";724,922523586697;1025,09592648005;864,850336972446;861,230089021119
"Bopser";729,01639344137;962,855897343236;832,017259205644;827,212250685112
"Botnang-Nord";601,336106025547;876,491302283435;717,532349859055;710,771401167539
"Botnang-Ost";678,399657046856;901,220107109072;775,060592921457;769,566830948047
"Botnang-Süd";859,904595213454;1203,98396332067;1011,20979983975;1002,14571101091
"Botnang-West";553,454703131473;755,439067359744;642,71884759325;637,207620561874
"Burgholzhof";601,627922405027;791,381014517413;690,193398209084;689,430633204455
"Büsnau";467,151487551659;793,328827794643;640,752899514488;644,647325350918
"Cannstatt-Mitte";762,815623537413;1078,46649047853;915,751178680841;912,003132001163
"Chausseefeld";276,485963068291;385,404293802407;333,589767871084;334,045946082098
"Dachswald";1099,25840882644;1523,27749170401;1316,29784840606;1318,87333704507
"Degerloch";2068,75267390328;2772,07917377948;2379,00900090616;2366,5990656495
"Diemershalde";579,314807723632;747,003303313606;652,774754632295;649,372112030742
"Dobel";1130,98709667842;1442,09272635178;1269,43120230854;1263,74894477754
"Dürrlewang";826,897105320428;1209,6449433156;1002,52298212298;997,88284970881
"Espan";866,681595919743;1219,18694453064;1017,3769901003;1011,2348719752
"Fasanenhof";1252,89342705164;1842,41259685527;1541,20420312401;1540,11461178654
"Fasanenhof-Ost";14,6680409325191;21,6398249613085;18,2506925670426;18,2788363781753
"Feuerbacher Tal";1006,32594375095;1403,03101147105;1178,69831039176;1172,11717495252
"Feuerbach-Mitte";1324,55087690149;1891,07830343059;1579,43233537985;1574,78026816734
"Feuerbach-Ost";81,1282913668545;119,163909174461;97,9774902096962;97,0785424841738
"Feuersee";1736,45610956775;2266,74660833365;1972,01293985591;1961,07904384235
"Flohberg";236,916019086145;328,132653890542;276,318532510013;273,645358173327
"Frauenkopf";146,907750967772;212,054646705873;175,466368576676;174,014099025959
"Freiberg";1144,97318396361;1805,62107634383;1425,91072502777;1407,37194427462
"Gablenberg";2324,54224017181;3114,98917298353;2698,36067805761;2687,85981430036
"Gaisburg";1757,89220421035;2403,54094074959;2073,40662134847;2066,57619603458
"Gänsheide";762,075608306839;1026,56322761132;881,381602565252;874,526048131724
"Gehrenwald";601,489569973053;845,369354741416;708,320258800021;701,012746966282
"Giebel";775,83773799382;1309,11345401707;1047,84072648188;1050,39479770107
"Hafen";11,2684795960669;16,1527637954254;13,5403261203623;13,4656206739432
"Haigst";410,815353930626;549,674789273301;472,009812789063;470,05642909435
"Hallschlag";1207,59552439553;1732,60224317915;1443,68728331495;1435,40908845401
"Hasenberg";1161,07298634522;1530,95922738571;1329,67722542654;1322,30732237132
"Hauptbahnhof";55,5187866101892;71,5920072333272;62,3417420808348;61,9897225186084
"Hausen";535,141289838013;936,878358984364;746,609844538273;751,744567299868
"Hedelfingen";1071,21244417951;1516,93722080449;1272,42255280649;1261,74314613241
"Heerstraße";1146,10866498069;1614,09965885442;1371,08699882401;1371,95728096484
"Heilbronner Straße";529,748888979709;705,159524211433;602,933667040028;597,653557342462
"Heslach";2914,22490436828;3816,57316702032;3319,87385693105;3305,9994675722
"Heumaden";1816,30706095025;2582,67310865636;2168,80857022913;2158,9741001416
"Heusteigviertel";978,296075206929;1245,38526409398;1095,53444855306;1089,95122028359
"Hofen";807,771120656435;1247,22978872118;996,043192828983;985,39264416098
"Hoffeld";540,812685879726;766,799042599059;640,498274354501;637,839223742781
"Hohenheim";158,779234040595;243,937079673481;201,249192251434;200,829668537966
"Höhenrand";597,309815602449;792,259965724876;686,643152003221;684,57606897468
"Hohe Warte";833,947004186282;1207,51789541243;997,239245101726;989,921052309378
"Hölderlinplatz";1301,64417456191;1763,38488719316;1501,10694869363;1489,35816487609
"Im Geiger";867,508792949008;1216,04749471828;1021,24582066123;1014,75921004345
"Kaltental";1418,47030176246;1919,40837292352;1653,93317993313;1647,71730689822
"Karlshöhe";1425,41902413317;1838,5530736982;1615,54968142021;1608,24869969407
"Kernerviertel";1394,24579967251;1811,65093115628;1586,51431866647;1581,70053118589
"Killesberg";304,58801843859;418,931308157294;354,159314995965;350,900097108905
"Kräherwald";1500,47020332636;2034,28075440376;1737,56702539771;1725,74135083981
"Kurpark";1046,61890546147;1469,19629006599;1249,08785288911;1246,43582295452
"Lauchäcker";632,567454757724;914,500650370334;778,958638812452;780,938001515353
"Lederberg";128,495606604269;188,887225083929;156,460844732255;155,154850523342
"Lehen";3114,74238135182;3931,27385904076;3482,79950022251;3464,06318910178
"Lemberg/Föhrich";1458,96763782315;2060,92643746979;1737,00687406954;1731,97367007234
"Lenzhalde";636,798926349525;867,693342508365;736,705408519191;728,957993987284
"Lindenschulviertel";204,836402464309;282,655875340412;240,003602346773;238,739461769028
"Luginsland";508,063609477982;731,256372893149;603,668849027722;598,275270936079
"Möhringen-Mitte";1587,526720104;2144,29617248118;1851,55298790876;1845,06688149472
"Möhringen-Nord";736,311490793114;1021,81887819993;859,726174427005;855,13022710399
"Möhringen-Ost";1275,32784011795;1761,03015372238;1504,39948075977;1501,71227851306
"Möhringen-Süd";712,921355251249;1003,81083417416;849,152910453696;845,827422602175
"Mönchfeld";475,881715081535;780,997875293554;598,473623905215;586,531621695913
"Mönchhalde";615,515948881398;833,812588514203;707,302499265137;700,256112508378
"Muckensturm";507,798897320562;742,360851120512;608,886986730863;601,972871242251
"Mühlhausen";615,44036194404;1011,99325215388;777,642209441937;761,012584593051
"Münster";1182,81900282491;1651,34023091331;1392,49269702646;1383,04014763812
"Neckarvorstadt";709,270287732258;1009,85982039737;856,551109450684;855,866188108532
"Neue Vorstadt";362,235209012864;485,433153580019;416,749450850216;413,461172552263
"Neugereut";1325,55824368001;2148,12930932296;1662,9650924407;1640,74903512627
"Neuwirtshaus";113,141348687505;185,257601931189;146,580733421891;145,988571186451
"Nordbahnhof";413,855450343484;548,066907183258;475,621573920011;474,041721253833
"Oberer Schlossgarten";101,37187049439;135,8892905855;116,092035981327;115,071776618782
"Obertürkheim";1082,53461028487;1573,83024246741;1300,74959535999;1287,98574178155
"Österfeld";385,221539008071;521,838539731778;450,204846913921;449,876379403029
"Ostheim";2926,12281157688;4023,8793082944;3441,8016242052;3426,5030798879
"Pfaffenwald";770,768613640629;1243,40665316044;1020,43587640976;1022,23008697042
"Plieningen";1533,56267337808;2448,18599776418;2006,4318934516;2002,72821547062
"Pragstraße";62,8464230187196;88,9542694594258;75,9322944727845;75,9944884876876
"Rathaus";950,200888497455;1247,45011643455;1081,21221485617;1073,89686717502
