"Stadtbezirk";"u_intervall_1";"o_intervall_1";"mean_1";"median_1"
"Bad Cannstatt";13042,0047075051;17902,5726602745;15246,6256130742;15203,4545971336
"Birkach";1502,88064043322;2079,5645310789;1758,87483853182;1752,86986123088
"Botnang";2638,22591378356;3804,37003345396;3147,91176444921;3110,21954743834
"Degerloch";3705,49903938879;5017,47757170593;4289,94871607726;4276,04335144176
"Feuerbach";5627,32633515335;7830,37159587938;6602,01112129188;6576,59733908283
"Hedelfingen";1892,3823081771;2631,41489065595;2235,43522167319;2220,84980215934
"Mitte";5397,50064157377;7199,99995603319;6255,63061963396;6250,92888803021
"Möhringen";6569,15166710384;9029,52633952664;7701,27888223487;7669,3862526764
"Mühlhausen";4620,13426330239;6930,71387992535;5676,52383426555;5638,88270017465
"Münster";1112,01742348254;1663,02515877968;1372,71896437201;1371,68071024933
"Nord";5507,21594800895;7398,71931801393;6411,75487089767;6375,68211246076
"Obertürkheim";1699,24294657099;2512,45687282082;2058,61358338278;2042,15928670308
"Ost";10793,4722540055;14138,3398697642;12243,4683665255;12157,4931785043
"Plieningen";2733,5802629727;3907,59905567163;3315,45003378362;3310,09539567481
"Sillenbuch";4848,70829048564;6686,26025419991;5645,49808086061;5615,40353401333
"Stammheim";1721,79294877256;3128,47218348437;2354,69044402985;2322,30277841048
"Süd";11082,172391874;14178,5593600373;12467,682457716;12456,9625497365
"Untertürkheim";3272,0223097837;4516,09047641192;3814,56610982109;3786,52611410555
"Vaihingen";10527,2304848071;14174,6404962719;12182,0342426313;12139,9219579718
"Wangen";1590,27644539109;2333,7029005715;1955,98082752477;1955,45386367782
"Weilimdorf";5896,52541787149;8685,86479817393;7237,50158863197;7230,76335035517
"West";14094,2934496595;18205,1671739303;15908,9946069081;15832,2771573282
"Zuffenhausen";6801,50625120111;9519,22623258888;7967,31412772205;7924,54499018587
