"Stadtteil";"u_intervall_1";"o_intervall_1";"mean_1";"median_1"
"Altenburg";286,139269940802;388,05307845065;332,779868174753;331,583001126633
"Am Bismarckturm";100,178630216279;145,301169512731;119,652584532668;118,178839013468
"Am Pragfriedhof";269,566672780304;363,919568086271;317,093461802704;315,910305261608
"Am Rosensteinpark";9,68469194526183;12,055351793747;10,974824400151;10,9984832497049
"An der Burg";241,967240681566;327,967310021746;280,250276608873;279,576282224513
"Asemwald";180,904377555271;295,713500875068;231,752829984464;230,144116957395
"Auf der Prag";884,395627377862;1204,82673324806;1043,94441071739;1037,87950786284
"Bahnhof Feuerbach";435,613711951371;606,027579088164;514,212161172842;512,237306833435
"Benzviertel";38,6137906271943;55,4142477604954;46,2180093012373;45,8794337216082
"Berg";636,827914139947;829,328352564654;721,490035740233;716,942059820306
"Bergheim";474,664918354606;719,443172433382;590,290418415522;589,324673169277
"Birkach-Nord";354,809888124351;500,987378609142;419,104483908548;418,29800158162
"Birkach-Süd";805,764031587988;1113,63325030645;944,058124131461;940,727672376323
"Birkenäcker";735,421234016046;1029,34546718047;867,945221929369;864,718304248268
"Bopser";725,287899708642;953,770481340616;826,709389128145;823,150047283746
"Botnang-Nord";588,836084010868;882,900662210542;716,911064901147;706,681027351209
"Botnang-Ost";653,056510258281;908,514807799693;766,248772013913;757,139968519529
"Botnang-Süd";844,093689660668;1232,67014719539;1011,93710650895;999,983835154225
"Botnang-West";552,042996033517;782,987719933107;652,814821025194;646,805142508466
"Burgholzhof";602,399280768678;776,974316889955;690,584959442642;690,743532728319
"Büsnau";590,433182858105;814,565073986335;690,751495735298;688,54258784105
"Cannstatt-Mitte";792,189495821765;1085,12758430027;926,180232286467;922,488137909411
"Chausseefeld";274,569778043066;385,385448206326;329,38692660519;328,548474057144
"Dachswald";1159,32860605777;1546,21253170435;1333,08954925151;1328,3978976135
"Degerloch";2015,27683096649;2695,49737989246;2314,95507740774;2307,72540861981
"Diemershalde";552,170253645772;734,363454507742;639,058847286247;638,186587279511
"Dobel";1052,59471504735;1407,87220878883;1224,30399539467;1223,86142703882
"Dürrlewang";832,891357275583;1150,65408158737;974,650964574023;971,095448096203
"Espan";876,610906068623;1198,93840903463;1020,90238767399;1018,68672870204
"Fasanenhof";1323,99647851721;1844,7405371313;1565,55868779985;1558,72256640043
"Fasanenhof-Ost";16,1999952727902;21,5379130588059;18,7038753678953;18,6337178859022
"Feuerbacher Tal";1005,8144620325;1386,67497102394;1176,23177206828;1173,18715716897
"Feuerbach-Mitte";1352,28557456048;1893,27158298386;1599,26408169323;1592,02674398509
"Feuerbach-Ost";83,2876261378426;121,46634816671;100,625621873514;100,244772904276
"Feuersee";1765,17412338986;2280,3587605864;1988,06539537762;1978,63852617873
"Flohberg";245,263860315292;334,815324741232;284,610280082892;282,74277691397
"Frauenkopf";151,055650765574;214,382308992009;178,175838805029;176,088092270898
"Freiberg";1216,41313567261;1858,58710285542;1502,27082473999;1489,71633462682
"Gablenberg";2421,76489267046;3156,07739598364;2749,86181620661;2734,51592191031
"Gaisburg";1916,46975640136;2509,16377547614;2173,16246176019;2158,31519577634
"Gänsheide";764,60230799544;1029,31993622145;880,848507073465;872,647646946501
"Gehrenwald";624,531833400218;856,674370996107;725,055372868445;720,693011833858
"Giebel";897,474188702402;1326,08741649699;1105,86838664986;1103,90032385686
"Hafen";11,2859542608697;15,5145686719897;13,3133761666453;13,2724113150234
"Haigst";402,302935261016;539,542966823007;462,765500842863;461,33420145119
"Hallschlag";1246,75490551127;1749,77946787391;1472,96567816076;1466,74342564298
"Hasenberg";1172,12252237759;1520,1002286536;1327,58103277029;1319,79157252504
"Hauptbahnhof";51,8528428991883;67,6824335628956;59,7670346602701;59,767646302004
"Hausen";674,999081473932;960,133063504803;818,105343034492;819,170920771973
"Hedelfingen";1064,19270094668;1479,32264295316;1256,48819845309;1248,87939012383
"Heerstraße";1197,57530752031;1595,90941916079;1375,85082811527;1371,84535225439
"Heilbronner Straße";496,219349559279;671,153740157775;582,575782353783;579,854188745497
"Heslach";2799,6989563846;3550,64719481286;3140,21621288215;3131,7943482581
"Heumaden";1899,42891087789;2661,6908858962;2223,47210871039;2211,80214881337
"Heusteigviertel";903,704463717521;1199,16746272775;1043,03532538602;1042,91199289829
"Hofen";848,591277706559;1252,24916433144;1036,73977117245;1029,38734655168
"Hoffeld";531,084207357335;758,605089815567;632,218648619841;631,153756984387
"Hohenheim";159,092912446978;239,27997658397;198,624941158797;198,026328002586
"Höhenrand";588,248245378235;776,424538450993;673,903694982966;671,086463295094
"Hohe Warte";844,879055623849;1210,56040149603;1001,02109727257;996,943236188918
"Hölderlinplatz";1333,12464105493;1747,02554075083;1517,11374388782;1506,77300654043
"Im Geiger";872,171790922637;1192,77931350293;1015,89644421413;1011,68395791045
"Kaltental";1380,43121398279;1832,91708862432;1578,02643125815;1570,95626994072
"Karlshöhe";1379,85713845997;1742,85840195205;1545,06566659445;1542,27771177322
"Kernerviertel";1367,45862305991;1824,46495309948;1587,83829740041;1587,98643977626
"Killesberg";299,539133197298;408,117797175371;349,64757961344;347,04894266226
"Kräherwald";1523,5294754873;2041,3170022748;1755,76302302961;1744,50852728722
"Kurpark";1095,50793175872;1486,41967881109;1273,03031726859;1268,459508399
"Lauchäcker";690,463890165833;915,160265284637;798,678326926871;797,470833241579
"Lederberg";127,988172952924;188,204237880897;154,652619552197;153,385523093865
"Lehen";3012,5098810212;3792,6305338703;3377,38716443409;3377,54188933267
"Lemberg/Föhrich";1533,68801495366;2106,70408298735;1790,03517332257;1786,20988559138
"Lenzhalde";592,426630015762;800,897739869467;689,532075139003;684,556650274085
"Lindenschulviertel";209,699639574464;286,666434407656;244,267092521897;242,718626974733
"Luginsland";530,300781037207;740,9307518009;621,39539136854;615,771612984326
"Möhringen-Mitte";1561,80150972414;2115,1689835967;1822,26076401556;1817,01013892561
"Möhringen-Nord";711,291647345574;997,362267331917;840,423455377433;835,348672313263
"Möhringen-Ost";1278,88646591926;1770,06061239938;1503,92342141711;1498,1446147837
"Möhringen-Süd";718,076614164598;997,355954523744;845,846341923737;842,150774309329
"Mönchfeld";512,758384172949;746,490648103313;619,85347667779;615,533604542065
"Mönchhalde";588,422323667158;801,16047239382;686,371821624095;680,33981288664
"Muckensturm";519,504568215768;736,32417204921;612,633617435467;607,176122915048
"Mühlhausen";663,172398898035;947,96600160395;796,987810511659;791,571493009922
"Münster";1112,01742348254;1663,02515877968;1372,71896437201;1371,68071024933
"Neckarvorstadt";740,998749602287;1015,75770969801;869,733036016177;866,092826893193
"Neue Vorstadt";333,927884949969;450,452310074797;388,763777935523;388,773505918558
"Neugereut";1376,49339016279;2124,04792168536;1720,67195116366;1708,13472163003
"Neuwirtshaus";135,657955317114;198,5844505688;162,629005317528;161,250871643733
"Nordbahnhof";415,467345109629;553,827634155077;485,703362901996;483,188050711267
"Oberer Schlossgarten";96,7609191559628;133,387892607454;113,365219853506;112,72926154666
"Obertürkheim";1087,71880054243;1603,06912353632;1312,40332144756;1300,78763669176
"Österfeld";384,601164905361;519,271648089594;446,638109598494;444,760932890782
"Ostheim";3145,43844554733;4146,3356999866;3582,15043172817;3554,31801288507
"Pfaffenwald";854,914014170445;1275,17602470243;1061,95826913134;1057,81511779912
"Plieningen";1632,21497956151;2344,82971785738;1975,22054033038;1971,53434066397
