"";"Stadtbezirk";"u_intervall_1";"o_intervall_1";"mean_1";"median_1"
"1";"Bad Cannstatt";11923,9287879312;17933,1669489097;14599,5930902352;14538,2588396716
"2";"Birkach";1421,01648723027;2171,36596283694;1769,51431747473;1760,42757899045
"3";"Botnang";2365,29450089986;3825,56035913255;3038,85266129208;3023,67489194676
"4";"Degerloch";3534,64043357556;5290,69217445565;4352,44630230518;4326,75173756455
"5";"Feuerbach";4969,52885852056;8028,00746840131;6338,6589261986;6297,73288679264
"6";"Hedelfingen";1635,99095857543;2817,3616082727;2170,85242423599;2148,01873416422
"7";"Mitte";5203,73567256327;7710,97745008523;6381,88548837612;6360,75164175506
"8";"Möhringen";6083,29764188523;9306,58148582355;7614,66037900475;7574,09291515564
"9";"Mühlhausen";4321,13994176758;7477,13733184991;5750,9066131313;5674,76985203179
"10";"Münster";988,477265148194;1676,388497455;1331,33859374601;1324,07335779505
"11";"Nord";5234,2742736882;7936,98411908804;6477,01424370008;6450,49505508435
"12";"Obertürkheim";1670,9690188706;2707,75644694939;2141,31602055493;2136,96331518537
"13";"Ost";10116,9175364205;14730,8264095567;12206,4656603202;12130,8284166407
"14";"Plieningen";2475,81339770685;4088,43784533841;3242,75250475794;3230,89162815258
"15";"Sillenbuch";4309,55374468044;6905,7668151175;5471,26749110355;5442,26373465464
"16";"Stammheim";1533,09749201337;2983,85788699384;2184,52007570068;2164,7937590112
"17";"Süd";10176,037041333;14825,9940139589;12365,1919554126;12341,3247039395
"18";"Untertürkheim";3005,07662937256;4982,89997774311;3901,2319073245;3859,31748504179
"19";"Vaihingen";9991,94412046907;14700,1216160018;12293,97247867;12321,8509448129
"20";"Wangen";1320,3024661024;2431,39298296455;1831,98240239535;1812,25585356492
"21";"Weilimdorf";5112,06177712954;8800,31379356183;6732,08869680516;6648,06978498507
"22";"West";14785,0875843259;19939,2754870624;17187,539584906;17113,0768518934
"23";"Zuffenhausen";6368,10235693501;9889,11896268114;8009,75399051803;7983,9963449616
