"";"Stadtteil";"u_intervall_1";"o_intervall_1";"mean_1";"median_1"
"1";"Altenburg";206,781907394468;404,86315026138;301,499996202641;299,316536213077
"2";"Am Bismarckturm";86,3072070564962;163,407328975732;121,824289840391;120,754667372235
"3";"Am Pragfriedhof";266,419743575985;410,081006982811;333,501961348635;332,96450157966
"4";"Am Rosensteinpark";8,28148280528057;12,9117830137255;10,4708117705666;10,4208571928023
"5";"An der Burg";149,850537215509;355,382684720057;247,721953461385;245,169811029158
"6";"Asemwald";121,468813767084;325,634246511779;215,163828737159;210,327232969058
"7";"Auf der Prag";649,583914600047;1369,25505353668;994,853408333056;987,350831738703
"8";"Bahnhof Feuerbach";461,661939203695;797,46656556997;607,329754398035;601,062932489523
"9";"Benzviertel";35,0906431524223;59,0925446957612;45,8108402848338;45,5173838101955
"10";"Berg";581,710651121034;945,33627427216;755,886086761848;755,032119023914
"11";"Bergheim";424,117675423681;952,688725300201;664,7195383592;654,614234375414
"12";"Birkach-Nord";299,33530606776;547,988286938842;419,400989797775;417,889949903457
"13";"Birkach-Süd";731,231315901549;1224,06662265344;954,817916845095;952,421255924253
"14";"Birkenäcker";680,562284608896;1127,53428551526;889,010419071079;883,989693894139
"15";"Bopser";667,794533412432;1029,88125092081;830,27244074501;826,448320203257
"16";"Botnang-Nord";521,651886007603;1016,24132182046;748,941108988566;742,745445945203
"17";"Botnang-Ost";540,331528611267;970,785802590801;748,87120971758;742,520622481966
"18";"Botnang-Süd";682,904321236671;1263,94549699064;946,701259722593;936,078542163848
"19";"Botnang-West";424,239813679167;792,416766326064;594,339082863339;589,200630369546
"20";"Burgholzhof";565,44769124887;1052,19030470676;790,913972713262;783,010516194566
"21";"Büsnau";344,350815985245;791,008975668074;550,610840152813;549,452744699963
"22";"Cannstatt-Mitte";553,085641651955;1225,11691487891;861,160315958955;849,202913671749
"23";"Chausseefeld";147,413970587478;366,063049161745;251,893669060423;248,339053566088
"24";"Dachswald";673,778917980405;1337,35549145329;1002,13266406484;994,830767200179
"25";"Degerloch";1862,64557528762;2939,37909162871;2377,37068980561;2368,19488051289
"26";"Diemershalde";464,728799536573;786,251557619547;621,276527679598;618,9173815479
"27";"Dobel";779,575137714662;1533,09854783618;1148,62442960863;1141,75220366599
"28";"Dürrlewang";931,261209538344;1627,40022875314;1241,88317560016;1242,12429646332
"29";"Espan";633,814422666362;1362,39046847013;978,844636606609;968,592536729544
"30";"Fasanenhof";774,343201058641;1728,91432643049;1258,11930081148;1260,00737192322
"31";"Fasanenhof-Ost";13,1906211114907;22,3452730944705;17,3805670596831;17,2932004840625
"32";"Feuerbacher Tal";793,686239088326;1327,3576418816;1037,58086489767;1033,94459368897
"33";"Feuerbach-Mitte";1003,77463731349;2055,02839535619;1496,63682490118;1482,55738030083
"34";"Feuerbach-Ost";82,8073648592308;139,398332234393;108,392207457153;106,59725903235
"35";"Feuersee";1707,77212699588;2773,33624442714;2208,74097464662;2202,67420118336
"36";"Flohberg";225,97494897436;440,710260801155;326,417516612295;324,087466880844
"37";"Frauenkopf";127,850194650945;235,223937008395;172,560268966812;170,050411620993
"38";"Freiberg";1079,95299089477;2148,00614784462;1585,3706355153;1565,37664602326
"39";"Gablenberg";2178,9553954071;3634,8066142143;2866,40812107998;2848,3826860567
"40";"Gaisburg";1776,71714826018;2932,45987028416;2325,05501557915;2322,06939335011
"41";"Gänsheide";755,349562060699;1341,63355881303;1016,22384162485;1008,92163223611
"42";"Gehrenwald";450,22767699531;1015,83177760184;704,359843653715;695,430028412524
"43";"Giebel";681,995915152567;1509,81011891914;1092,60599371773;1084,61111508947
"44";"Hafen";9,92880302863353;17,7629069049058;13,438946370313;13,2749832637061
"45";"Haigst";372,467222842018;667,063255983815;511,113467017302;507,44448422435
"46";"Hallschlag";860,616478301344;1926,26738815913;1374,26033180562;1357,28922022809
"47";"Hasenberg";992,642868089815;1625,0838885393;1296,44318980397;1288,53900700558
"48";"Hauptbahnhof";52,516592525123;76,1190008322302;63,8762140820725;63,6175851831646
"49";"Hausen";316,756225206004;860,512427532247;561,130634025131;555,925599966188
"50";"Hedelfingen";863,821127583284;1630,30000449872;1216,62905636945;1210,95071242404
"51";"Heerstraße";1082,34638005958;1809,58019490344;1438,54417224272;1439,04072773414
"52";"Heilbronner Straße";466,429819695893;763,377469394889;605,709965672741;603,595641689511
"53";"Heslach";2719,70723176051;4246,59013857581;3430,07931757963;3402,77644051143
"54";"Heumaden";1280,74922537154;2649,02344967379;1908,2242943105;1879,08143173013
"55";"Heusteigviertel";912,205191717882;1535,05979608228;1203,95158989738;1198,70909005791
"56";"Hofen";572,266759714184;1153,146314886;841,77732728074;836,844761452746
"57";"Hoffeld";453,792581516033;812,79518611382;624,378688842318;618,40735469707
"58";"Hohenheim";162,856907171188;296,404466333009;232,061506557606;231,959083732251
"59";"Höhenrand";397,046418645077;751,794136919376;569,461058869068;568,407810942806
"60";"Hohe Warte";597,305078568342;1245,1117585545;887,960362523022;874,510423937326
"61";"Hölderlinplatz";1484,93553125565;2237,27021306258;1849,90131538105;1845,11674332211
"62";"Im Geiger";630,995964609106;1357,80559416041;964,018451625191;955,76731545034
"63";"Kaltental";1053,44980990451;1926,05188258872;1485,54202824393;1484,81853524389
"64";"Karlshöhe";1267,94910442801;2195,30074300158;1688,24986463081;1678,13941360265
"65";"Kernerviertel";1184,10142370446;2046,03679846545;1589,97883716269;1580,95485798834
"66";"Killesberg";248,281949897294;438,525435402916;335,024836240148;332,351441632278
"67";"Kräherwald";1208,11284742963;2006,12448243104;1574,08535487133;1562,02707113909
"68";"Kurpark";1006,98982419648;1978,22489852872;1464,76742958278;1451,56461921734
"69";"Lauchäcker";493,048998335058;985,46720373481;717,823640094826;712,85538080891
"70";"Lederberg";81,3138004743637;209,212729754403;140,341280743727;138,421925502036
"71";"Lehen";1990,30871066058;3689,09399744017;2793,7508123541;2792,56836070893
"72";"Lemberg/Föhrich";1388,53307044415;2295,47001943282;1800,81390985006;1786,04266876056
"73";"Lenzhalde";515,485467246954;898,99870252223;692,852389287387;687,68292167468
"74";"Lindenschulviertel";190,777241913682;340,872823604529;261,117556280151;259,632585871448
"75";"Luginsland";516,709170892506;1053,509828528;773,653292881782;771,638134964323
"76";"Möhringen-Mitte";1386,50855497073;2430,27660087525;1891,00406060264;1881,98431124432
