"Stadtbezirk";"u_intervall_1";"u_intervall_2";"u_intervall_3";"o_intervall_1";"o_intervall_2";"o_intervall_3";"mean_1";"mean_2";"mean_3";"median_1";"median_2";"median_3"
"Bad Cannstatt";22104,065302796;8838,51372202892;10911,1779841575;33664,5860956788;12400,7090903127;19681,1085813174;28537,9774849041;10794,654000906;14374,3685141898;28854,7840940251;10874,0798280914;13993,1270054231
"Birkach";1823,43518775313;831,77679099412;1110,16722429649;3048,7023039868;1181,31247014201;2084,13606801379;2477,90831515589;1033,47611375355;1505,61557109056;2515,51987714524;1047,36384300203;1454,73542515983
"Botnang";3425,93062599039;1623,8604022206;2236,80516148287;6560,01701534533;2484,28474904239;4766,33100075471;5166,59288031753;2122,84275387991;3173,56436580256;5265,14156198824;2171,04717452196;3039,17380103335
"Degerloch";4347,10884254509;2104,49890487412;2976,86909724676;7829,4586497464;3062,61719318362;5750,80267375387;6201,62966900663;2663,51894522954;4071,85138576382;6284,08865464422;2708,83377640808;3924,97943931114
"Feuerbach";8735,47650696642;3621,86980442732;4696,72701690392;14147,6716235346;5270,36587309233;8804,7192631253;11699,0651340863;4546,21774376505;6321,71712214861;11851,5378813378;4608,95992198909;6105,2308725975
"Hedelfingen";2810,80018887689;1214,63386857652;1570,52590358257;4686,69277019616;1760,32214796516;3009,02417001615;3816,08064788257;1526,14975805291;2153,76959406453;3862,72597348469;1550,95167903447;2092,43389195773
"Mitte";7314,34119472316;3325,89625672873;4402,35856248916;10558,9281195953;4297,67677872751;6957,57515888613;9062,5402451436;3858,83641198389;5492,62334287251;9138,33097169062;3885,58849756229;5428,0963491397
"Möhringen";8335,17988809645;3856,10254962359;5238,5582697316;14852,1467799887;5674,01126993723;10440,3153396016;11873,7243291219;4897,01927415841;7260,25639671967;12063,8729442886;4978,35159225172;7005,84091392293
"Mühlhausen";7672,90378961648;3130,22194031936;3821,55300969812;13671,9208579086;4850,98165468571;8391,0422840674;11030,0556349678;4104,36815090296;5577,57621412921;11216,3417012773;4182,98728331188;5327,55539787102
"Münster";2059,5778553166;818,745654091203;1015,84459682234;3310,14753116853;1199,35302311935;1961,41035466653;2766,36156872868;1027,18624077902;1372,4521904923;2803,63926345453;1036,97968782572;1320,34172175204
"Nord";7582,74626985002;3362,77519988712;4558,74533731116;12039,5584626382;4693,75063817459;7977,64628960632;9990,35022428463;4113,10397572538;5921,54579998998;10111,5199859367;4164,62929141031;5755,39501868518
"Obertürkheim";2410,65838809858;1075,04923040506;1362,12149325042;4036,27044199791;1528,44054094087;2647,58099620338;3287,65510537865;1331,19534328633;1889,14955133502;3315,84669083645;1354,12335701989;1830,25006706794
"Ost";14994,475824898;6362,06721066364;8296,78645086616;23268,9668152919;8890,66206114585;14651,5868936189;19533,8964234051;7788,78687024202;10822,3167063529;19808,0073439025;7864,66864295038;10513,3470518103
"Plieningen";3680,20051354129;1672,9224803698;2168,79486890748;6327,51458033578;2410,9404433691;4306,84381697691;5102,30681722725;2096,58531916904;3031,10786360371;5145,99277664578;2128,09760088332;2942,27032196619
"Sillenbuch";6324,08154610892;2858,72838686077;3831,94314236924;11688,2770699087;4360,96967184872;8011,4071103035;9211,98194073556;3738,15176735584;5469,86629190861;9343,82517509039;3794,74343679076;5265,52905718107
"Stammheim";4079,44490183542;1492,71888276736;1659,45069009068;6600,63148581646;2248,47106439875;3512,70375680241;5386,90913721448;1909,27214283871;2443,81871994681;5453,61681112886;1922,1320215728;2372,45459466938
"Süd";13190,5621118906;6410,26191171039;8952,45212724494;20256,5212577283;8426,70123058367;14541,4406143467;16952,8860988582;7528,24878435139;11306,8651167904;17099,6864800938;7593,29392764156;11105,0748415713
"Untertürkheim";5048,90238518469;2081,30654277302;2622,25737184121;8203,6005470233;3010,7565114007;4984,56866167487;6767,82878751695;2605,93110095252;3565,24011153053;6846,63322538507;2645,32496879098;3438,71265441993
"Vaihingen";12586,2415915758;6114,54534135936;8297,2569758194;21159,4469960889;8401,09420413206;15245,3747166316;17090,6021748322;7424,8502918284;11215,5475333394;17367,3872926984;7518,73482532717;10879,9172844856
"Wangen";2780,58120936671;1127,64466602733;1412,87223664768;4427,06621142561;1622,17023087557;2630,46057412009;3682,27696759587;1402,35244383865;1897,37058856548;3742,55225019428;1420,41107714259;1830,78976428402
"Weilimdorf";9482,83276807177;3913,07816038338;4963,8864838456;15879,3376295852;5818,23619788767;9791,61845341761;12986,124494222;4992,53377743712;6878,34172834085;13199,53448615;5054,65374528011;6646,45903605779
"West";15088,7978859741;7568,58777622847;10568,6524373002;23544,3842435546;9885,06588190402;17496,1945098075;19514,708903005;8863,88721937513;13536,4038776199;19678,6749003572;8950,25528850726;13279,346157553
"Zuffenhausen";11898,4449728506;4541,63222727391;5558,26554175431;18219,4302526939;6572,74322817095;10262,5433029957;15339,6530269975;5640,29537909991;7420,05159390263;15519,4069978609;5693,90210905486;7208,5655630633
