"Stadtteil";"u_intervall_1";"u_intervall_2";"u_intervall_3";"o_intervall_1";"o_intervall_2";"o_intervall_3";"mean_1";"mean_2";"mean_3";"median_1";"median_2";"median_3"
"Altenburg";428,048963547333;174,40531905726;223,539084496651;707,280504799244;260,290845771872;433,81811223626;583,981363811996;222,630252544688;303,388383643316;592,406877223598;225,210399669005;291,038732389157
"Am Bismarckturm";132,563860426665;58,4010630592401;78,8830465941561;272,64416329996;97,8923887907162;188,728418898099;207,003312568302;81,8409409239438;122,155746507754;210,68615345771;84,0506547977278;115,549597354038
"Am Pragfriedhof";433,34072970247;180,158917569866;229,328500583217;644,16465636375;245,339306225679;387,16793355573;548,24708986769;216,510191490406;293,242718641904;555,365473984024;218,342365970897;285,305532614834
"Am Rosensteinpark";10,4600215047403;4,0699918677552;4,66394885723251;14,1712811202656;5,28241757592385;7,45023414097034;12,4366687450278;4,7040172770855;5,85931397788674;12,5126544857351;4,70971238060468;5,77517056255104
"An der Burg";310,57100498287;142,496217772935;201,194841553262;566,912868016712;217,797872228304;404,731563011208;449,158403150933;186,34115948445;280,500437364617;457,580861166376;190,041956686254;268,199506309918
"Asemwald";410,446006486141;149,838977062269;182,23997774081;1141,38367060008;351,906509783761;748,859767325873;820,52165802684;271,02069619787;383,457645775289;853,894333320007;280,168906972866;339,009154048231
"Auf der Prag";1381,41221458256;573,863369711045;735,403568418627;1966,16497657306;760,510623725926;1162,84618130033;1702,83802289441;673,157034220032;910,004942885554;1720,37930606637;675,675700850829;893,265465654596
"Bahnhof Feuerbach";748,748696977852;292,528437944179;369,999220967938;1126,99908674016;412,971137036152;648,513091047574;960,307457704459;357,834185498557;479,858356796984;974,21540007903;360,948096160576;468,36298398193
"Benzviertel";69,950533377987;26,4748657370131;30,9879021996777;103,140904450771;37,0991681611193;54,5420477476698;88,5409757934995;32,0697140034402;40,3893102030603;89,4034728334829;32,2751578048866;39,469387414252
"Berg";830,655434027047;353,137403566887;458,007323692327;1235,04533290421;479,854589966716;769,41182608029;1051,533585953;423,795129123897;582,671284923105;1065,74330335445;426,987878191342;569,130273805987
"Bergheim";816,483144285872;331,987885549686;410,085195457397;1587,49240307482;553,937226124069;1005,75900019162;1252,99473474857;458,463202706446;634,542062544979;1283,43834663511;465,729525525629;599,01082777593
"Birkach-Nord";476,358742815431;210,072771397654;273,312062436795;819,724409223832;308,10631740508;545,879508517695;663,181371238357;266,845657693563;379,97297106808;673,837615092116;270,854155869505;365,606460659221
"Birkach-Süd";969,466197620495;442,716687631463;576,095879410216;1567,68538527468;611,464862506812;1049,48605671429;1285,16109035671;539,190674044874;776,648235598421;1297,81542121917;546,117308156331;757,804217905647
"Birkenäcker";1246,78535474223;494,755468394957;610,511413865459;2022,15140474691;732,679894863125;1189,63993863817;1670,16772198598;628,927848351222;837,904429662796;1692,31455758759;636,921242468483;806,107664161539
"Bopser";830,020654487189;400,74285451374;561,619957547423;1369,24293908878;555,286452726221;994,362212829215;1116,92286775941;489,402758096847;734,674374143742;1130,29964224174;496,054074766288;714,621892995492
"Botnang-Nord";880,875155596065;397,238066684376;522,908227043009;1788,10309831287;645,123068087997;1242,3536330066;1386,11820327641;541,562572106727;788,319224616864;1416,9507510527;555,542045765873;743,470580158666
"Botnang-Ost";777,723719552347;370,014937719465;513,697860704084;1343,02786302068;528,00147291437;966,446100734751;1088,70212653554;459,765483235594;688,532390228865;1104,72347149784;466,825124612599;664,857989058825
"Botnang-Süd";1108,56788249399;536,617762538526;742,044449333365;2228,99670242121;835,729542669941;1642,97797575433;1726,2462166583;711,781723814098;1073,9720595276;1755,92639478712;729,060913864028;1028,76332164276
"Botnang-West";648,077344214776;318,370615352562;447,648710863731;1225,50582615476;476,185118152257;914,879577621104;966,081536118782;409,756897709766;622,161566171452;980,310613976939;418,246949023238;597,484236761117
"Bruckwiesen";9,66786965483733;3,33790972977714;3,43405687696786;13,1641508589917;4,49753442603043;6,01262024646284;11,4736714569244;3,94948962266463;4,57683892041099;11,4943660384067;3,95638279624117;4,53472122830483
"Burgholzhof";801,732863972598;369,810013680417;500,077065247311;1074,04927272425;459,039519697824;708,725237405836;941,606717660629;415,896611054614;595,496671284756;943,1198782688;416,400693313261;592,85489172656
"Büsnau";787,789008845576;353,669798412716;448,578169963143;1383,28527858292;517,943283016871;930,289247625375;1114,72106712235;447,814172375936;642,464760501717;1131,76979856827;453,546268969791;620,314349658513
"Cannstatt-Mitte";1427,72681932333;550,491488833927;665,446138224177;2065,84511732987;753,197616732603;1139,84324637245;1773,07890733772;660,834582505009;861,086510157274;1787,977142828;662,938063873531;843,660069537841
"Chausseefeld";340,279973256175;164,257817899002;212,266910447164;471,204733319736;199,995552807717;318,648555236711;405,206752727828;183,134196745539;263,659050526633;404,314271942462;183,986159121747;263,940899550866
"Dachswald";1272,72393311553;639,824357071409;888,429184903574;2114,10852007619;868,810595093599;1585,56211979265;1711,28924615679;769,325183493566;1177,38557034964;1734,43322621536;778,634959883183;1142,12263853983
"Degerloch";2322,95324878509;1135,39468022517;1613,89818845461;4021,78259971791;1610,02697480323;3000,84484292472;3236,98529673435;1409,22383740409;2158,79086586156;3287,49058266166;1431,79980309766;2088,2430118559
"Diemershalde";697,914524815169;325,489981394677;443,055650344839;1035,69741265584;426,093499059677;710,777880802922;879,110711674767;380,951593222142;554,93769510309;888,625872923829;383,406027457759;547,545954371937
"Dobel";1403,08390928631;647,314355926585;874,335818798283;2076,34064496055;850,300161991557;1412,31740806466;1766,51350963057;759,093218370264;1099,39327199917;1788,6652367155;764,343298695283;1079,87700774819
"Dürrlewang";1005,62742581599;489,591463411955;669,448290678599;1835,47850892299;711,734298742222;1332,69813380238;1456,59546829194;618,367171087657;934,037360620408;1479,27644220252;630,051041295283;899,261155213759
"Espan";1384,24311557667;577,674383329132;721,162965432248;2148,41259872787;804,16829292815;1302,11275220665;1807,24960161995;702,31522198553;952,43517639452;1818,40681777518;707,239478795609;929,557592050956
"Fasanenhof";1873,74770341495;796,625749599365;995,782841305196;3490,36883338453;1246,24107253765;2290,46671681988;2749,93763381823;1053,1576415154;1496,90472466637;2799,28872022619;1069,0182294606;1436,03059356282
"Fasanenhof-Ost";14,4426072136302;7,18652534617239;8,99186283941455;22,6857987460335;9,28595222477277;15,7300061369104;18,5274918774733;8,36990400696594;12,1026041155607;18,4837739911402;8,41668621187891;12,037645238426
"Feuerbacher Tal";1500,88491027652;642,128412529691;836,386647354714;2399,97098130422;911,807387890118;1532,52332858952;1989,74917933483;794,308153840253;1114,94266682492;2015,08807207706;805,683660760776;1085,90839272724
"Feuerbach-Mitte";2189,84310844552;876,189832366465;1112,64950768347;3444,58890311277;1267,02681804169;2065,35449872976;2879,03366030216;1093,53830343562;1485,42803626222;2915,52000148441;1106,23057263427;1438,90797690289
"Feuerbach-Ost";155,208787822692;58,5481850742693;68,3691454651713;216,584835554604;78,3817033779743;112,906390619608;187,880770309068;69,2332764765858;86,8859532143459;188,860447847242;69,5909146821208;85,6712784352056
"Feuersee";1826,27475338131;891,604394277827;1220,69851948872;2734,84251788894;1147,41608853121;1962,65209915472;2300,77770782087;1032,25021181761;1542,97208036152;2316,42198386404;1040,22653191173;1518,70782864121
"Flohberg";328,085195371656;146,493287032718;190,747214970436;547,335847415528;209,337327636269;364,13996158463;447,32229098549;181,767489116504;258,910219898005;452,403659324558;184,940997264866;250,141754332254
"Frauenkopf";209,872594513191;91,6169364764713;121,13026355634;413,987740234444;149,347952298916;278,98640814925;321,262932170947;125,576179670713;181,16088815834;328,621049018546;128,494390864739;171,848420632512
"Freiberg";2205,72321146586;850,633773199866;1022,13703165219;4032,69933752491;1383,23806583127;2369,38022212424;3238,35715172137;1153,26897638475;1530,37387189388;3305,75293610532;1175,91557455854;1450,87907886001
"Gablenberg";3338,32190456716;1434,94064895499;1903,8400350281;5192,61288540853;1998,61208443962;3335,04898089677;4333,67687746447;1753,75607212846;2470,56705040706;4386,45293657932;1770,66468256695;2406,53770333892
"Gaisburg";2657,96252650878;1109,1647138118;1442,13188445164;4136,19110082821;1561,32395012881;2570,1198628843;3467,04864873399;1363,49233286623;1876,45901839978;3509,7684544786;1377,90184204899;1823,77974729625
"Gänsheide";940,966123577341;427,941429789691;586,280185304486;1664,32959768031;635,861393944811;1142,44572114639;1333,83983765854;548,221857604329;802,938304737133;1361,70760460709;557,536681651719;772,716273741684
"Gehrenwald";883,37433919099;379,447504250633;474,415439951514;1490,58721892598;551,177881063684;935,356509917624;1212,52888354992;476,77468497901;659,696431471069;1225,09233023949;485,752219128997;634,602856069639
"Giebel";1513,74715614997;605,639772567827;737,134461451764;2663,26715861112;943,42700737835;1613,71656677122;2167,52250873559;794,733464675965;1078,74402658845;2206,93183245575;803,628668403787;1031,11553120085
"Hafen";15,7824330770762;7,2755967363777;9,90882415481462;22,5467776610469;9,28087412051251;15,23247474818;19,2768009446808;8,33325214353796;12,3899469117813;19,3416356384793;8,37551672928506;12,2730675599078
"Haigst";455,719682207027;227,239089667951;326,364608133777;836,826749880262;331,849159888224;638,945892608073;662,764816230405;287,773188346175;446,46199542342;674,07823011267;292,671891083449;428,873138349886
"Hallschlag";2421,66163499729;892,239272121834;1054,1934413753;3546,87275656739;1260,24161271907;1868,57100202268;3038,05523732466;1088,11362211966;1386,83114055568;3062,63523938331;1094,48170491553;1351,57597003683
"Hasenberg";1293,71945573712;658,231414552094;940,247364164558;2135,75396769211;887,594953458146;1633,69111832305;1739,50396588527;788,178237211441;1224,31779690329;1757,19972023667;797,649919000038;1192,86310851875
"Hauptbahnhof";65,5045873133678;31,1032564486885;42,5198370179976;93,2132053431144;39,4161375515237;65,2023595917856;80,0963892684931;35,6507839826624;52,2528267488445;80,6454148398004;35,8416408995195;51,662861639523
