"Stadtbezirk";"u_intervall_1";"u_intervall_2";"u_intervall_3";"o_intervall_1";"o_intervall_2";"o_intervall_3";"mean_1";"mean_2";"mean_3";"median_1";"median_2";"median_3"
"Bad Cannstatt";22139,646564497;8838,39195833732;11014,7895791094;33644,0700227766;12414,0620379706;19801,6065914101;28420,4457096457;10824,3274947985;14462,2267955558;28695,3390700164;10943,1497983975;14029,0941026027
"Birkach";1782,99843666213;834,139219543999;1116,02615304187;3032,02985007384;1182,71980762625;2130,22103520952;2457,19670323714;1036,52982889244;1523,27346787043;2488,05493298122;1048,50809508177;1477,39991371623
"Botnang";3397,03149223375;1606,78466919838;2149,22079936406;6650,96069280538;2482,24308231704;4764,344283628;5197,34775485584;2119,42583290693;3146,22641223723;5298,85910595265;2166,2913763883;3020,95579126023
"Degerloch";4374,18867543979;2086,85994572996;2888,54191951592;7919,64483924908;3067,75183358433;5701,94590096297;6287,78355095738;2654,9838251841;3994,23262385852;6409,67127129812;2705,98363385716;3862,55147640338
"Feuerbach";8627,66674583565;3646,13172140292;4830,03903685374;14021,2403108249;5283,30526772048;8954,22980009596;11582,1248170138;4567,48644702848;6417,38873595772;11778,0096903673;4636,82101313104;6187,90093083162
"Hedelfingen";2764,5799807614;1216,90877452624;1603,58553863506;4666,76928136755;1760,50456995127;3059,80914671574;3796,53842679585;1529,78127065532;2169,68030254883;3850,60695201998;1549,86330000715;2100,16984596405
"Mitte";7466,6831747644;3308,32338279995;4277,74619996919;10695,8553128382;4286,46369649486;6858,63804915111;9192,00537650783;3839,34877787725;5382,64584561491;9281,54043547514;3848,95365273971;5308,5740939896
"Möhringen";8391,12331091007;3825,67201967348;5207,76227792488;14908,0901572359;5684,8836514002;10414,5731587341;11964,3141512852;4892,33044648989;7174,35540222494;12191,9398532168;4965,28754279435;6882,54705773683
"Mühlhausen";7328,7028334645;3176,25407763712;4039,60726990617;13440,6225324447;4875,75738153579;8709,01511857323;10721,4050662778;4160,52573541934;5830,06919830287;10886,0942643796;4230,3302731151;5574,91740716374
"Münster";2082,86317883727;812,901924404512;961,941487194444;3348,60044892416;1197,57934769144;1939,30666220254;2788,73204166817;1022,23655111114;1355,03140722069;2833,4726630889;1032,87274823199;1298,28794055917
"Nord";7723,44721081871;3338,09812100731;4412,6485208518;12171,472113821;4679,42100407553;7849,19058233411;10170,5999481371;4090,79637374708;5763,60367811586;10277,9325233732;4130,22554159602;5584,08628421615
"Obertürkheim";2385,80182082106;1076,97859218898;1404,0419621299;4002,56678801212;1525,78570328512;2664,46695902769;3256,44011249618;1336,35786302476;1915,20202447906;3291,26496646411;1357,30705553164;1867,85819881463
"Ost";14871,5186429973;6449,78167879789;8522,72372596074;22991,3591732166;8907,5135721085;14768,9092414089;19223,7313815145;7841,55515998214;11079,7134585034;19538,3305974604;7913,22921979893;10750,6502005863
"Plieningen";3737,42125344532;1671,0458988699;2146,60136090837;6376,89434653153;2409,1825019748;4287,08603176563;5145,08577736328;2093,31235625702;2991,6018663797;5225,21834728793;2124,4233411336;2901,02577768376
"Sillenbuch";6242,71397945991;2879,81415389549;3913,36976719735;11588,7503314783;4368,5946424572;8092,29647351163;9137,19362890822;3750,36664482913;5532,43972626266;9288,30037675721;3814,34606387796;5301,15068779486
"Stammheim";4149,33074514261;1419,03818923451;1488,05563980805;6800,96011026957;2230,72986135643;3398,77079471103;5600,19405649313;1858,41328035332;2281,39266315355;5669,06181893651;1873,35612355983;2224,16113999798
"Süd";13652,9463919889;6355,66123009457;8706,12942480634;20569,8352102483;8384,57366712292;14142,1281308085;17396,0892344953;7477,40717049925;10914,5035950054;17601,4504414633;7528,32732382744;10697,4334500102
"Untertürkheim";4892,14676535141;2104,94939945911;2728,07422646699;8060,31085556053;3026,41932622519;5126,70394069903;6638,79829859818;2628,40339984574;3671,79830155609;6739,21253269434;2660,27528670145;3551,36689335535
"Vaihingen";12629,9273237528;6088,87257262596;8359,03812056899;21191,4952602043;8409,3753158754;15140,6147791392;17195,3488726358;7426,37161444351;11109,2795129207;17454,2800475665;7519,12794703218;10750,5989397858
"Wangen";2850,99417088925;1110,20994998443;1343,87968689037;4491,4425624613;1613,80006103967;2570,47144081086;3770,86423460177;1385,84088291403;1825,29488248419;3821,22056288299;1400,71057660895;1768,95887166311
"Weilimdorf";9232,75335692917;3980,378045899;5253,42221050712;15538,2704097628;5841,06786816511;10143,9948172001;12710,3940129738;5044,22463414306;7102,38135288309;12920,871976361;5100,05391057353;6856,89560171254
"West";15036,6190035957;7590,13045312814;10655,7092840145;23406,9428907885;9894,42478132831;17621,0829644068;19466,7396352252;8871,74303878833;13576,5173259865;19681,4628924552;8960,61665036927;13339,3150922604
"Zuffenhausen";11588,1227906059;4620,38290336496;5819,45337036755;17830,6169217909;6583,99222948031;10563,4095788703;14987,2359146942;5709,623883722;7703,14020158376;15158,124374456;5770,82908776632;7490,43370279361
