"Stadtteil";"u_intervall_1";"u_intervall_2";"u_intervall_3";"o_intervall_1";"o_intervall_2";"o_intervall_3";"mean_1";"mean_2";"mean_3";"median_1";"median_2";"median_3"
"Altenburg";426,924040971905;175,705406029889;222,707784467374;706,38297249319;259,91303115346;438,067898312581;581,310721351556;223,181928195581;305,507350452863;589,231363642505;226,357694232103;293,939057945387
"Am Bismarckturm";135,002631714904;57,3862516282598;75,9594282489237;276,528831263715;97,6070026334732;183,176116560341;213,077615132756;81,0466366950906;116,875748172153;216,774911479197;82,8838425542334;110,383898787842
"Am Pragfriedhof";441,007302280066;180,216024747675;226,793345809699;647,596946686871;245,162763081019;386,542723905544;554,248975650942;215,44023678024;288,310787568817;559,396859598545;216,838960076907;281,105194033385
"Am Rosensteinpark";10,2969609884846;4,10439165680303;4,71583478153721;14,087494465343;5,29787428791022;7,6021575829907;12,3312095942053;4,72888110249106;5,93990930330363;12,4008120479319;4,7405727523348;5,86192611069503
"An der Burg";313,135014071059;142,367565030712;201,714227535017;567,676817316948;217,11842942805;401,429144466436;451,521357371717;186,124785886031;278,353856742252;460,938655208356;190,063260578745;264,976067759775
"Asemwald";417,639548461649;148,487350824765;176,039510937751;1146,93742769489;350,992723382259;745,999170614202;826,680502712884;269,906507797924;378,412989489192;853,585641727227;279,954586965192;338,479644058155
"Auf der Prag";1373,47875805698;576,595664187537;739,296677847354;1955,17772057422;760,350242820402;1180,82805461794;1696,84764964995;674,217447246103;914,934903103945;1712,8070640915;676,302250912987;898,071907015479
"Bahnhof Feuerbach";738,555635730181;296,161981652944;381,130708314172;1114,47263763199;415,605532679427;662,739607913876;947,110884512274;360,336727777462;490,552387710264;960,706864931358;363,798889424554;476,617332845767
"Benzviertel";68,4862029008392;26,8234844434886;32,0846906907316;101,569015831206;37,34352957514;56,4791080177308;86,9480315402116;32,4147691268048;41,6371993329836;87,9252620887182;32,5327458594221;40,680459846981
"Berg";805,776113954459;360,086033805354;482,674527472597;1209,49306598275;482,043634046516;790,927300366871;1019,23333035175;428,852970148112;609,913699500138;1031,74590420278;431,81518776365;597,427006632338
"Bergheim";814,446234575725;333,848913444289;436,833816298034;1568,05809865067;554,358286973558;1026,78784577465;1232,95061808808;462,824465771982;650,224916139935;1265,7940893235;472,395034192574;612,049640832976
