"Stadtbezirk";"u_intervall_1";"u_intervall_2";"u_intervall_3";"o_intervall_1";"o_intervall_2";"o_intervall_3";"mean_1";"mean_2";"mean_3";"median_1";"median_2";"median_3"
"Bad Cannstatt";22736,4021887144;8658,49022639305;10436,5890585726;34291,4164322718;12645,798690444;18679,8381814697;29441,000959145;10749,4335814932;13516,5654593618;29678,0466738108;10870,8944782321;13158,4286471442
"Birkach";1636,26546051218;839,215553218957;1077,37495342259;3081,41966935903;1229,53048358819;2216,59311060255;2430,61036624449;1062,69000095128;1523,69963280423;2443,47817440414;1080,42986125824;1492,90555805981
"Botnang";3608,36955382811;1552,72134059271;1924,88816810323;6928,19591831357;2550,78563550576;4432,56354515574;5513,79696876835;2106,05526389308;2843,14776733857;5607,56849403857;2141,15843510943;2722,37205636145
"Degerloch";3953,52533152955;2094,13958080567;2915,72971877895;7906,88707563061;3182,40058686742;5956,54974779429;6116,4079647484;2728,92367188413;4091,66836336747;6164,6786396368;2801,88439464253;3968,88323769042
"Feuerbach";8745,96471442935;3586,16281284378;4356,32620240617;14536,9238144961;5453,31295741334;8553,92332273019;12039,8870404956;4572,09355393986;5955,01940556451;12213,5706389569;4624,08434737058;5763,44872047291
"Hedelfingen";2814,75227784116;1191,78066776079;1450,38306785604;4824,01576418892;1824,41420299204;2965,20129768246;3921,41644018704;1536,35490668117;2038,2286531318;3948,25515495472;1566,30796053375;1997,19405333911
"Mitte";6990,10356120221;3388,4260488503;4195,3167856403;10745,82556583;4494,31315562049;7052,97868008224;9007,42328238575;3971,57208915824;5435,00462845601;9065,35021284756;4001,31796417622;5391,98462916341
"Möhringen";8701,49932208839;3696,48706482675;4769,96816639781;15495,7770905139;5779,70483750688;9818,66314682845;12626,7989024201;4829,62190316687;6574,57919441306;12807,8842605186;4905,46447605711;6312,18577655236
"Mühlhausen";7140,9279925828;3166,03755518506;3962,73063164116;13483,5954722206;5066,96705043043;8705,64102015797;10777,9096601812;4213,66923337365;5720,42110644515;10853,5333390198;4314,28768014974;5542,38119136014
"Münster";2113,97965108869;789,849071885575;847,088793323797;3509,93321921209;1240,02810711633;1862,48126926792;2928,57087509781;1018,29250047909;1219,13662442311;2975,88598725752;1026,70080137403;1175,86323091892
"Nord";7500,48430193638;3359,63015124972;4259,81669860751;12368,2259236211;4879,99374584615;7790,3830220468;10267,8361556485;4166,4103289535;5590,75351539799;10369,3894853224;4209,23429751653;5445,74224504583
"Obertürkheim";2436,98181098449;1045,75898223649;1293,66185014575;4151,30619230179;1550,37827703117;2604,31310877561;3392,86555848955;1312,75503287083;1802,37940863962;3423,47011339384;1327,43984742757;1758,19105291508
"Ost";15326,3956921925;6335,54001951906;7951,81120572935;23785,2399228892;9116,71904553439;14076,7655802871;20001,1842134263;7811,2873746145;10332,5284119592;20248,4936063344;7866,7726523458;10083,4481193763
"Plieningen";3418,73241255252;1677,1143099184;2173,79583967341;6293,8171043473;2509,22522048341;4418,8028460605;5049,62957201692;2134,93422548571;3045,43620249737;5141,91932251048;2167,34557467718;2940,32482780389
"Sillenbuch";6386,37752708196;2763,75488016917;3497,8905117773;12078,428031984;4490,943951973;7760,20486039211;9665,09082279793;3713,33900364662;5041,57017355545;9772,60270786396;3793,59658205839;4867,54062052224
"Stammheim";4455,1000361295;1352,98740037167;1295,05763860539;7034,31723322566;2250,32245794475;3018,89298397452;5997,25562088781;1792,40547053284;1950,33890857935;6089,89676141738;1786,10827752398;1885,68660469359
"Süd";13144,5783704753;6379,74327880184;8464,2366151345;20802,2376973086;8696,69725367617;14292,0821757888;17443,8387804025;7617,31125787029;10726,8499617272;17532,4108957091;7721,16731102489;10613,0889547934
"Untertürkheim";4613,94176665005;2124,5881503204;2712,77736862331;8044,71473563795;3124,99317722791;5318,65415874683;6508,57907903142;2680,59915750734;3749,82176346124;6574,40675530511;2730,41314453759;3658,31538770441
"Vaihingen";12760,5026041205;6047,06124318865;8109,30346664517;21389,8355461127;8609,65774846701;14770,4950105897;17528,5329644145;7465,85590132819;10736,6111342573;17715,6160988398;7585,27197379324;10478,1338216043
"Wangen";3244,07642957946;1010,32369462317;988,32860891186;4953,39571154748;1629,57446922531;2156,07760235083;4191,54598113197;1323,58858711104;1466,86543175699;4228,35683695858;1332,1164028544;1430,51483244871
"Weilimdorf";9671,10961690165;3808,76411407681;4389,74213021649;16534,5439358476;5888,62617178525;9387,28486717893;13702,5925296958;4923,88447970313;6230,52299060109;13906,6510962488;4983,58607845214;5975,32230540704
"West";13772,6328142614;7765,48584354593;11510,1977449093;22287,4374125164;10191,7495059318;18576,2966099338;18509,4929477071;9064,48108972236;14341,0259625706;18688,1024438637;9188,72316367329;14090,510576648
"Zuffenhausen";11481,1396340318;4541,90982677657;5319,50982695024;18421,3057748735;6819,14755108515;10352,7265548089;15401,2493646124;5750,95299250069;7247,79764288688;15558,0128742506;5826,77814313195;7054,28385994057
