"Stadtteil";"u_intervall_1";"u_intervall_2";"u_intervall_3";"o_intervall_1";"o_intervall_2";"o_intervall_3";"mean_1";"mean_2";"mean_3";"median_1";"median_2";"median_3"
"Altenburg";441,079427711658;159,03818436809;155,164910327082;789,108215059075;267,48269675959;399,987376079607;641,616532297422;215,641692210859;252,741775491719;647,96261363986;216,99326781198;244,263892735332
"Am Bismarckturm";129,568860759108;55,273133242378;70,931716657695;283,897267777284;101,223892840217;184,970139279065;217,18649812325;82,3399388756236;111,473563001127;220,429893858614;83,8737559564896;106,047032642008
"Am Pragfriedhof";433,543429872749;182,968474260651;210,713821396533;657,205106125638;255,633062716241;377,546318485602;556,952191543676;221,908716970929;279,139091485395;563,371716513443;223,743674853693;273,400439542895
"Am Rosensteinpark";10,7548022681556;3,91663556305409;3,70955411330671;15,3171623887844;5,4543683561727;6,94445885398828;13,1073593967084;4,70805870555032;5,18458189774131;13,1031602981689;4,72255644181531;5,16913446519798
"An der Burg";324,296928200117;130,811543951351;141,884583382346;638,649412275579;223,813231954651;378,58582306285;499,912524161436;181,825661549206;234,261814289358;506,061949317;183,480878692149;227,146555000617
"Asemwald";397,503464004973;121,621329069857;116,876658065337;1234,79672955654;363,679974037537;743,589407702439;906,506502236887;255,332155925836;313,161341837277;942,938778889995;259,969318027704;273,588977937422
"Auf der Prag";1276,7001922432;546,303738080409;545,652609368732;2186,4078842369;790,169314868498;1237,4123882355;1751,23562183411;679,747923480271;855,01645468562;1766,34277962857;681,881638767332;839,152608220078
"Bahnhof Feuerbach";641,043265439633;309,348817146969;379,730362692786;1097,95790383486;436,419257240648;746,417329663813;895,046753898368;377,692507478152;525,260738623479;907,586015788073;380,187974384215;508,287203676178
"Benzviertel";74,4156439960189;25,9001112165354;28,0490659675483;106,143330415385;38,0542873775607;48,9877137873225;92,3606155130673;32,1780060921571;36,4613783947756;93,0915750973649;32,1699114151201;35,674873913505
"Berg";888,623212406362;329,879970696388;352,411890549621;1365,80423518687;489,621519713067;690,183881233501;1149,34998896602;416,723616720971;491,926394313006;1158,91205226971;416,49183618934;481,816221494908
"Bergheim";586,053390169668;350,989391602084;461,356116626526;1511,87836413262;580,509107912334;1267,61709542985;1104,58234563398;487,471387151753;753,94626721427;1128,70514541437;500,043286016319;716,381276181196
"Birkach-Nord";417,833470743221;210,182133462535;246,73670973628;840,725292503487;322,314600706209;589,499058777688;651,801707121416;274,399950655897;383,798342222687;662,454713436574;277,835164058802;369,486636388696
"Birkach-Süd";837,609458702159;453,416614924557;562,933355602361;1564,26733193164;642,469445174508;1174,98465505631;1233,59994555754;561,306891092431;806,093163350025;1239,25226151552;568,431530769115;790,528229377432
"Birkenäcker";1200,76946609351;498,280897149628;568,849287874928;2058,3439079892;765,524728844074;1195,4439906102;1681,4535804093;644,207229197918;811,339190392785;1701,68036724789;648,364721711577;787,231250620213
"Bopser";752,223984774356;402,940519547972;536,561462994795;1378,59679254161;580,110889483675;1037,45135706458;1110,42000025029;505,028841837047;725,551157912667;1124,30824117998;511,222442559671;703,749153603536
"Botnang-Nord";718,790279000819;397,632406469784;488,343334379779;1807,01590694991;672,897347310927;1384,90185822852;1343,17952171441;556,443485703036;816,376992582552;1365,63364921105;570,536872624606;779,560547644505
"Botnang-Ost";876,094009946759;330,844439055423;331,995013143966;1566,95067255101;538,275543401035;827,03016893892;1263,35429426857;439,69947007282;533,946235658606;1283,41604871155;438,400585541156;515,337035534806
"Botnang-Süd";1097,92829843416;512,056817803367;625,411506894392;2369,28826885572;867,123870222572;1599,89406487398;1795,87643318624;717,338360710383;998,785206103378;1817,42846421988;731,567108486198;963,329442509204
"Botnang-West";728,110831317858;297,65937910676;313,936676987898;1376,76890047451;489,057586696508;802,341437271044;1090,83712988279;399,732198625494;507,430671491719;1106,76867724937;405,183729001384;486,030793212356
"Bruckwiesen";8,85236043821234;3,73143868602963;3,69378931800664;12,4448779757999;4,82448933099512;6,44993247900522;10,7709899285706;4,26809157128778;4,96091850014158;10,7831867721795;4,27000579630027;4,9463534391171
"Burgholzhof";649,953356648219;363,905832151793;396,391080738066;1180,65759942522;475,815035618539;843,929210258246;923,853314813922;426,678541092377;602,468144093701;931,450544074416;428,797301562831;591,860934485155
"Büsnau";923,092893763625;312,075891950188;295,341482899713;1585,28871875058;524,778050012948;772,089810813979;1294,88094350031;422,608286708618;487,510769791072;1309,07592158947;422,420914914786;470,322975476995
"Cannstatt-Mitte";1211,37820344044;533,538007108609;522,203888111389;2229,15211571613;797,799315402547;1314,31330877228;1742,16597068735;680,221064540449;872,612964772206;1749,12633793311;686,585737419808;855,776235270356
"Chausseefeld";319,45781964055;155,108043739789;156,098027733643;537,788171311507;207,798523161305;335,629323420569;430,687792136313;183,969024358334;237,343183505352;430,239354901246;185,505595028937;234,631617824497
"Dachswald";1582,46691759503;540,07654094171;516,426446085197;2590,69949987961;866,694002983918;1230,79484479251;2136,07054407486;711,690853385602;810,238602539535;2159,3387763476;710,200182572972;786,842260377392
"Degerloch";2006,46727544673;1152,77577337578;1557,72974689767;4019,48442928244;1680,96096324506;3250,73602648426;3147,23323180557;1455,33581791982;2202,4309502746;3199,72369482051;1481,33270246519;2118,45359021355
"Diemershalde";653,126498805437;330,797137884287;412,046907452409;1055,08799613904;445,924066393054;736,960730805867;872,522205881544;393,637230832454;548,840563286002;881,829013069434;396,674828068254;535,49127644223
"Dobel";1240,20700195204;647,43313720796;725,751559350963;2234,96983120876;886,695893901766;1541,96663288215;1766,00697663205;777,259199862732;1081,73382350522;1780,83286727677;783,309184321996;1069,93784026027
"Dürrlewang";788,245381404949;507,523587917766;707,22271001617;1781,92424605266;740,02209733873;1573,63194599879;1319,79716389034;643,289084325786;1045,91375178387;1341,99488457842;654,67346898758;1008,94106638738
"Espan";1138,39188000425;570,600099693017;613,55095715932;2266,74775520998;846,533235456998;1543,78323744508;1743,32403909349;725,628731425968;993,047229480546;1757,86025444415;732,772535030412;972,49453025633
"Fasanenhof";2293,11159229904;665,749916334081;612,038287893929;4016,18634506341;1234,53481893962;1789,80632834428;3312,64033669214;950,39423339197;1036,96542991589;3373,4207939274;941,790665882735;984,991528965505
"Fasanenhof-Ost";16,157117652274;6,97392010698837;7,66908664758536;24,2014024378803;9,57999094205773;13,6566849988887;20,2444895094058;8,3795292692207;10,3759812213735;20,3142540921218;8,41973651866486;10,2482354109274
"Feuerbacher Tal";1663,6768289914;605,92619046219;670,073931253469;2608,53165212736;927,643737299619;1322,02146065825;2198,49566810456;776,567786233148;923,936545662296;2234,41134682287;776,970102778205;893,383854219118
"Feuerbach-Mitte";1743,93994833157;900,51800444263;1056,15556703042;3472,72130388674;1335,701269668;2417,42676359141;2701,61263528052;1143,24879339878;1613,1385713207;2741,809808337;1159,50294548691;1563,19580541013
"Feuerbach-Ost";146,571023003116;61,5003081285197;68,0499772874769;212,845987908639;82,4553420118108;116,834715841853;183,000996310758;72,6287513890023;88,3702523002393;184,227430777219;72,7378362363172;86,6668734343911
"Feuersee";1387,59590632695;934,51840420091;1334,27418924005;2547,49514494852;1197,31607882845;2375,53357371556;2010,68236127549;1079,76711297492;1785,55052574958;2020,96330997068;1088,17310124019;1763,85692586662
"Flohberg";256,250384661574;150,048797494738;187,012256846412;545,397916138911;218,176562376673;430,358093267739;408,417913163759;190,335108544893;289,246978291347;410,816630500263;192,472209698082;283,465965243234
"Frauenkopf";198,980016376853;90,2270821249694;111,190790006904;422,171427288776;155,636111754146;283,558396586715;323,440148480133;128,292609403277;176,26724211659;328,997382820922;130,899640580495;168,419660159272
"Freiberg";2191,43253209653;827,305241136083;873,069113505037;4182,35959645119;1435,46494371669;2334,13715631692;3355,84595687608;1155,2462182931;1410,90782483081;3411,77375575758;1163,73667989128;1345,17937599035
"Gablenberg";2721,55643474947;1488,03567110828;1948,79840190834;5083,07727546608;2104,39556534644;3881,54975429245;4022,83489595869;1840,4887792455;2694,67632479581;4073,98868610686;1859,88898268232;2636,76860947712
"Gaisburg";2759,79048841334;1057,98495777621;1125,23336763981;4489,98136372019;1610,72546017296;2336,13816856435;3705,17476310173;1354,5278295556;1647,29740734267;3737,19681391899;1358,37385085554;1608,74991188547
"Gänsheide";611,246296419607;453,358895695399;726,533267931642;1467,24862702671;656,528274768807;1521,18901974055;1056,7914828434;575,321205905032;1052,88731125157;1072,18367238633;586,563004254668;1028,66136708595
"Gehrenwald";816,791372217262;354,732180073382;353,799234020414;1632,08238357823;577,405333687615;990,25436018459;1256,14802782076;479,275208083558;613,576764095686;1274,43923070964;483,088872702525;590,003786142105
"Giebel";1144,5175924991;634,666951460436;741,267834694813;2622,65390281855;996,109448901693;1977,14618214804;1963,57275345739;839,845621554518;1237,5816249881;1987,58828714985;851,046644621764;1201,37929821189
"Hafen";15,0282610113393;7,30927972918879;9,45948486733317;22,9286563581113;9,54523619757018;15,8758893126659;19,1432914075733;8,54101674384436;12,3156918485824;19,2381047382381;8,58541004897494;12,1710772811242
"Haigst";386,454503344419;226,698585852325;302,99020736773;859,848372894818;343,987356816327;693,519882690104;648,192705549035;294,724377733872;454,082916717093;659,043994175775;300,364865288963;436,943068061976
"Hallschlag";2443,88129447809;767,442942412687;681,602627814535;4053,12268824358;1297,65766261792;1785,08054846855;3336,19862507235;1035,40111975559;1141,40025517206;3355,67434704733;1036,06479848377;1113,09397373318
"Hasenberg";1307,57859589626;641,983642334774;719,318325614039;2363,62745394965;920,963143232285;1565,34508472478;1870,61252928853;791,971279744327;1089,41619096714;1884,66463054682;797,092788474289;1065,88677066472
"Hauptbahnhof";66,3450279397085;31,8738833195581;38,6671380297447;95,8252830960148;41,1087527502723;62,3675265524903;81,9872029222666;36,7302020820897;49,2825949956437;82,4342291777456;36,8421782881937;48,7893217909097
"Hausen";1057,49905088337;371,731240397522;342,576030050613;1631,86380626739;550,327106140243;753,349369191541;1350,68057648394;467,645733580616;534,673689935445;1352,47012859055;470,37217092602;529,263931905615
"Hedelfingen";1718,81246570872;660,523158825215;717,160112546169;2862,21940018126;1022,42234156255;1533,95371046638;2364,95292389759;853,639813032857;1039,40726306956;2385,62594687749;855,997436197176;1010,13954082979
"Heerstraße";1282,0896014279;684,083522118576;862,361598136411;2507,40649035081;1006,90320237062;1875,7092592208;1947,62882898165;868,506470160795;1260,86470085755;1973,86186569288;883,632935481914;1228,257270058
"Heilbronner Straße";684,802703926594;294,237504351211;335,155914627876;987,502251555162;392,654884427006;556,475268464275;841,89453339742;347,581143878312;436,524322724267;846,160226196649;347,82959938024;432,393708932529
"Heslach";3006,29391913847;1657,15939705756;2148,15260304719;4972,10855975268;2176,83977371994;3818,70118991286;4059,38957624808;1942,30142530534;2868,30899844658;4080,70396290035;1956,31574027334;2840,53933839359
"Heumaden";2888,5973136164;1028,59262459642;1045,77085326191;5570,6349204288;1862,47418789162;2945,89406148926;4439,46032988618;1473,26014445622;1765,2795256576;4531,92069442885;1471,87061535538;1682,61464955162
"Heusteigviertel";1052,14856278933;562,564750680252;694,351984896841;1740,77202223104;745,237097127726;1247,64731203207;1408,92560843121;663,315794524969;948,758597043819;1412,19132133382;667,52697748372;937,734556174283
"Hofen";1303,65347713897;528,998608167355;613,234122726155;2327,87739916596;853,599266214832;1361,58354552564;1872,06847865352;709,126076571768;905,805444774716;1893,53122776781;719,866992775954;879,406283464198
"Hoffeld";647,44220558781;325,584392209757;417,316375796562;1521,55174612783;564,346867873817;1115,37545607068;1129,19878667277;468,955017318948;679,846196008279;1154,17466911283;481,08663545987;647,423381613758
"Hohenheim";189,437670941833;106,35981719233;115,683882665834;293,172922928819;128,988510625195;204,70453369149;240,106214507662;118,453120111081;158,440665381257;240,464542576301;118,784349390712;157,557443666953
"Höhenrand";733,660458345547;297,508858341084;312,189725344506;1274,975050606;457,823562906173;708,650005276261;1029,1528576547;383,635397724571;477,211744620731;1040,80373302653;384,694255094152;465,761855031134
"Hohe Warte";1528,4583304898;493,152115171923;469,945168639766;2867,90394687201;920,28911666664;1424,01388465893;2296,14453945503;718,943441577323;830,91201896765;2326,2370460263;722,526311727346;800,348947197156
"Hölderlinplatz";1101,14334783603;776,663212561293;1218,08909776765;2155,81831823091;1033,2731790686;2161,83593824048;1653,79887145041;923,872585913481;1623,3285426361;1653,11777768652;934,814844166719;1604,48696934498
"Im Geiger";1042,14596195052;605,22581432277;757,074747291544;2286,44327558174;901,934344110789;1820,04789760516;1719,67882248514;777,004408940285;1178,31676857458;1740,86474091715;790,401906623947;1139,67835585309
"Kaltental";1546,18547770503;808,583064977311;959,11130278863;2959,95257928564;1176,71591106998;2144,20493898893;2328,83252974901;1010,32874793348;1420,83872231751;2346,26647095728;1024,97834458681;1389,60828677436
"Karlshöhe";1453,41272800778;819,731008957969;1009,6117543045;2585,74278242139;1086,71624392107;1947,39221151735;2057,15053178337;971,527666124466;1415,32180209216;2067,6869821435;978,757204106854;1390,39689405416
"Kernerviertel";1770,7408411936;847,484535895624;933,399756572822;2836,12757048326;1131,96080520638;1774,11992480846;2314,71294940315;998,679423002135;1324,60762759472;2316,33518972979;1005,16771185464;1313,04829982024
"Killesberg";370,284001208316;168,958699493733;207,813751856133;729,446606601184;272,062737076689;480,131343239684;578,259235504244;226,585269320106;305,15549517565;588,339998331639;229,262285096558;292,635871111598
"Kräherwald";1937,0649141552;774,900617028692;871,554662762825;3369,1512332829;1212,60099955202;1908,40235927565;2768,00541627278;1006,45045431463;1246,54412941259;2796,35502153208;1012,13486461527;1207,66867224915
"Kurpark";1330,87771555766;719,439151234192;815,020185522259;2552,95308506476;1012,40704337812;1828,02884885958;1972,60636455899;883,424321454374;1264,96931398663;1976,85674780031;892,582594576485;1240,69710227733
"Lauchäcker";678,578898963217;385,712750017464;468,714875719457;1229,47600674196;514,76136432934;957,577601095855;960,677565478191;458,014614979416;691,307819542393;966,032343710321;460,506599000311;677,358449291976
"Lederberg";151,84224483683;71,958004912085;71,5923935756779;334,173938949435;118,568487331712;212,919643655872;248,690578635646;99,4083632994528;131,901058064902;249,484375276256;101,299704946694;128,105357488432
"Lehen";4089,2434942444;1546,17012577017;1517,26388092811;6212,59904328195;2193,09171660318;3013,85181748192;5199,23313429025;1878,33415172241;2203,43271398734;5229,20266721457;1887,38883004821;2160,29827805455
"Lemberg/Föhrich";2142,21874689192;962,753460106876;1177,85390174439;3609,74843941201;1407,02614780157;2250,81038943848;2979,51613167516;1204,28261646308;1601,20125186176;3032,19541892955;1209,78367545768;1552,50159230567
"Lenzhalde";600,9843752518;320,970015010761;428,781405492673;1240,96403430839;494,426661391502;943,166171485346;954,266036294764;423,10762442687;627,626339278366;967,51001619054;430,62381203623;613,039793655922
"Lindenschulviertel";285,315135335693;126,706563791674;134,702007237599;431,299212457754;167,792896136013;244,509466456431;359,751786077682;148,346963850681;186,901250071637;360,228707512727;149,202270612366;185,688758519491
"Luginsland";457,715932515077;342,397475504073;515,227372567238;1366,9753855322;551,026871974032;1330,60822292208;920,971486833893;469,609628415008;851,418884751099;935,701178849941;478,715501371944;812,141244014947
"Möhringen-Mitte";1854,84628802578;928,165259908867;1120,20718650355;3283,93638376005;1320,52208467208;2278,91111244655;2616,23163101232;1146,63425645555;1601,13411253213;2638,6947908267;1160,07901088003;1563,88094464151
"Möhringen-Nord";703,513414108118;405,36186710304;567,304996190917;1600,84554514423;638,010757556258;1306,82599598371;1201,36441488455;545,630184250314;843,005400865134;1215,76777242929;558,800340064049;820,8248065097
"Möhringen-Ost";1632,55224182345;740,686962008979;850,401730596324;3235,43357101416;1190,28098220912;2070,97714848981;2522,81883307301;991,896195440359;1334,28497148663;2566,50022290337;1004,31165800251;1278,19489629553
"Möhringen-Süd";1099,59879338196;378,075967197813;387,252906520836;1927,23667862538;646,990977648388;969,232716543733;1586,16567083371;516,635693949013;604,198635217275;1612,47299305304;516,879686126571;579,067575313356
"Mönchfeld";699,770740935252;325,737138660353;340,253549210207;1651,23412387641;568,94111576819;1095,66073979329;1239,02522491684;464,036533019481;626,938242063674;1260,2282093567;467,422735810478;597,390005494836
"Mönchhalde";695,737896548549;358,609471416343;442,091234061239;1424,63015848026;551,043984193956;1037,62729685121;1088,49865032321;471,214513457074;680,28683621972;1100,4009777331;477,796925875834;661,923152234107
"Muckensturm";847,87788732082;312,947060309495;341,622605954091;1472,53766827927;513,364680786993;784,338310456121;1193,91983057728;423,308826822269;517,771342600446;1203,43853208488;425,878763436002;502,64286275992
"Mühlhausen";866,877725157975;422,514006652506;492,206587349412;1602,32130824908;623,778678402926;1079,01297210578;1282,72430605054;532,889296901344;728,386397048119;1299,03945376418;535,088681477945;707,463754186672
"Münster";2211,58062182448;784,621688763176;842,958084844263;3509,50403688495;1226,94072014233;1754,92615880416;2941,84362078731;1017,73273173615;1206,42364747654;2972,66464123891;1023,16126952244;1176,73222959965
"Neckarvorstadt";1336,37428013796;535,827300377593;607,268944915905;1902,61048848649;727,207965313815;1007,1713213172;1646,82978825651;636,31289070215;773,857321041335;1656,86268928954;638,994281127425;761,262249189401
"Neue Vorstadt";398,312073138627;187,153390992533;224,360242337303;603,109802069318;247,005720022426;381,003552444929;506,892146200844;220,009312108757;291,098541690399;510,15070902365;220,614338211428;287,682466975239
"Neugereut";1684,95827924601;1024,89412029118;1236,51591154317;4134,20324477217;1585,99375730777;3276,16622961068;3011,93390908959;1358,83318881681;2058,2329020936;3055,47566209461;1390,08987985647;1964,68165832459
"Neuwirtshaus";209,55737262745;88,8146403195701;96,3829778124372;473,126333800279;163,109952523412;299,053832802459;363,873185944733;129,992038843035;169,134775212232;373,348218812596;131,564971617053;159,048806314929
"Nordbahnhof";696,514295588081;289,817875885741;329,917532528603;1025,14296304185;397,380654171942;567,254072357725;878,64160091739;345,555062805821;431,803336276789;884,766915396171;346,651592483903;424,532449429219
"Oberer Schlossgarten";162,088542612702;73,4170120236674;85,9370033877173;266,321833989059;104,663769290381;164,951424758346;216,739336377014;90,8069678226503;120,453695800336;219,108842184213;91,7111693833415;117,340320363483
"Obertürkheim";1293,23481886934;734,549663662162;967,554601650573;2362,26413075877;1011,90212539938;1875,7272956874;1858,43342339502;895,525991958561;1356,04058464641;1864,92848744842;906,550516038541;1333,69364436697
"Österfeld";344,70950465297;220,752549463784;317,77131693947;742,138716644244;321,385288338706;671,79376408464;563,782602889012;281,202107189448;456,01528992154;572,971084518524;286,37390130361;442,55946137939
"Ostheim";5085,73984124822;1706,13034008793;1686,81462153992;8014,56995766892;2683,3464169499;3764,48928156185;6724,84807173511;2225,02177261001;2533,13015565488;6767,47023329776;2224,50828382325;2468,84934123486
"Pfaffenwald";1332,80187255425;583,630481434013;579,982396047131;1939,44692202781;758,621257739531;1042,2990163295;1631,82736638827;679,922340877171;798,250292734564;1625,1251037807;682,944631507634;796,268699228317
"Plieningen";2001,74871129675;976,53085262758;1216,64892789792;3596,36443570248;1438,75508097791;2431,66511944047;2854,80624664064;1239,07339974927;1719,12035361008;2877,49593718977;1253,77725503274;1687,95042512793
"Pragstraße";129,867757250232;54,4448767853231;58,7948839497461;189,326523449058;72,8424107142911;101,836840525119;162,019272356708;63,8574972271682;77,1232304161242;162,707405585829;64,0719733672699;76,2688704698328
"Rathaus";1198,45306590675;575,113276651584;619,320041456438;1998,53515840924;780,441089003704;1258,12235225914;1608,31909779913;688,126479468173;909,554422732702;1616,20923405471;691,984448485545;894,781291723413
"Relenberg";1552,63556027821;755,224494988933;895,908887101257;2749,98167349257;1091,97730671267;1839,13447908194;2217,98096698456;939,622835253753;1283,39619776168;2246,28722707605;948,804653473906;1245,29722031145
"Riedenberg";1500,87849655669;705,309053257024;818,137171545358;3019,47220233686;1119,75921194805;1985,53000648344;2346,32346515299;941,160111249688;1271,51642359732;2380,97484009812;951,047309540839;1225,41018138656
"Rohr";2060,6840119866;997,416406407129;1152,61267701163;4281,62977887051;1591,46442639116;2894,65924113645;3262,49368000958;1337,09229449535;1858,41402549507;3303,98841860346;1353,94314991917;1797,90092919296
"Rohracker";821,799906033346;447,477316856592;595,98001828598;1658,00466741211;670,083109595048;1258,07360467846;1275,6149235971;580,32870868379;862,056367719114;1294,7463525411;589,096150598095;837,231566483165
"Rosenberg";2059,32723888081;1417,1244965842;2065,45617778962;3926,74958650318;1845,99125190386;3792,92063849224;3059,15708238774;1660,7644747799;2787,07844283236;3075,68231867808;1674,83185352862;2739,60084856111
"Rosental";929,444844886328;428,909836020974;461,622050740829;1764,12822421745;651,960315827473;1122,61503716505;1369,56429184383;555,600672629896;751,835035526274;1383,06520759917;562,08311981674;734,590125802412
"Rot";3124,07039549671;1209,76238118363;1267,528167447;5638,36037626268;1981,83455718424;3082,62864947278;4565,28109784401;1613,91659471352;1976,80230744246;4647,12966901901;1615,19924607057;1896,83542980427
"Rotebühl";3363,77992713708;1673,70926062867;1982,90157620776;5368,36909438946;2222,65461036374;3560,77225240569;4464,83259789902;1965,86009672194;2656,30730537904;4525,81055549926;1971,07951212079;2600,38500260015
"Rotenberg";162,023366174839;100,161593657358;128,275942599648;361,114784654649;146,541851337849;303,186378389919;270,459921526459;127,260111440968;196,279967032573;273,971753899776;129,625101060047;189,813354579
"Schmidener Vorstadt";2060,94557187906;773,2608637617;764,208278849693;3353,65069460116;1166,25009547209;1695,00545046454;2788,45711921024;974,472100093949;1140,07078069582;2813,29379838273;974,405637056182;1116,45560037862
"Schönberg";348,716657313485;173,768071374297;204,791884460263;719,569098721031;270,154369549093;502,80676793263;554,657798670584;228,85913777103;322,483063558385;560,417036267266;230,843809038939;314,143431817303
"Seelberg";3047,77577792145;921,06831023084;849,539416696707;4551,28549109133;1447,62297387129;1863,86008154927;3883,40494499628;1185,0254905127;1266,56956449101;3910,95066465356;1181,33207712832;1238,43797899631
"Siegelberg";202,583797518343;81,3938316764035;89,1303587890588;349,314820372256;125,356977538018;197,818488127356;282,447250523091;105,73141437639;132,821335100519;284,505721064178;106,344604356858;129,199545284206
"Sillenbuch";1716,08766823934;988,527227748704;1321,4707891562;3812,86458252072;1524,33481668055;3068,50011824225;2888,93527369476;1306,0146421684;1988,05008413684;2919,95413202863;1334,46028037444;1919,31319518945
"Solitude";20,9742180201659;10,1695969862288;12,0693097481754;33,2692948119122;13,5692063878249;21,7658042637831;27,8950009172094;11,9943093743902;16,1106897084004;28,0320781915586;12,052944834027;15,897425713356
"Sommerrain";695,50250485741;407,325177058316;496,009056036085;1727,83613144896;653,125348907628;1365,43755693543;1254,89118172844;554,672926088686;841,43589218287;1267,26677374006;565,631596032202;815,826699512202
"Sonnenberg";658,341278963401;457,201219851058;637,568130523273;1700,01571255937;695,760148656275;1553,22797853034;1206,32798494397;600,161348326804;1019,51066672923;1212,23233248133;612,92371314942;995,818529305931
"Stammheim-Mitte";2449,06357176204;782,78390323425;756,589522195341;4093,93444524663;1339,45229369802;1878,3648283437;3363,37431584243;1072,97084239937;1211,6548417582;3392,79842451222;1073,10376451003;1179,60999957898
"Stammheim-Süd";1984,54948352487;502,806904894833;432,467725340505;3152,42242793993;933,141690315991;1172,17105526543;2663,59771612598;713,800481974445;714,601801899577;2708,0355767166;706,71891941864;682,793324028594
"Steckfeld";400,70824342402;286,454034343948;419,327746900102;855,468302733884;384,640420627471;830,386108357376;630,675833573433;343,437852766454;598,886313660114;635,119570036706;347,013122163862;590,226862301303
"Steinhaldenfeld";1329,81758918636;329,293896104698;284,237342054394;2175,41315010385;645,478595488748;851,10463964286;1820,37507145224;486,606905113036;500,01802343472;1843,00795396225;483,532101440852;477,168269820746
"Sternhäule";25,7191201161327;13,1568784516791;17,517962879681;40,3777267776524;17,7694584680327;29,4126154356947;33,7189654124804;15,737663604015;22,5433709835046;33,8444306977162;15,8723598144846;22,30587738589
"Stöckach";1454,56852457207;719,161678560742;861,3405730797;2334,88915936895;964,250090547793;1559,75742850122;1924,27316241572;851,598073633816;1162,12876395046;1926,2856505462;856,465720570248;1144,9774594271
"Südheim";1422,05576114427;772,618164893088;1009,23621197978;2492,27995606291;1061,4029609295;1886,2433795326;1998,37547945264;933,740245260824;1379,88427528654;2011,38839158811;944,455555053343;1351,36244169095
"Tränke";55,7263474058999;30,0884232573211;40,9956120985849;101,864503307405;43,2635959479157;77,7172901779497;81,7809463478472;37,6826070915107;54,5364465606421;82,6323037036235;38,2878904066517;53,1452783603784
"Uhlandshöhe";766,294470436218;353,332105085491;398,939169375049;1322,85074721261;506,647734405474;825,340506040698;1072,19190549641;437,916089935778;577,892004567811;1081,87716851261;441,378880162597;564,654916140495
"Uhlbach";1121,94179326385;295,645361513859;263,801811550213;1834,59240221517;551,429958549643;732,748923458743;1551,29570301;417,080158230903;429,6241387591;1578,28921945156;410,547471714377;407,860466577333
"Universität";182,545536383314;93,0805928097912;102,580992202627;297,915954139833;121,718806194251;195,011255869282;241,83412298154;108,55467832507;144,611198693389;243,252964396899;109,208353791727;143,086489844708
"Untertürkheim";2315,93407065719;965,181555913047;1092,82403160063;3870,23938045643;1446,53936757949;2247,57406648486;3196,30059606142;1232,36180937115;1561,33759456743;3224,91800337711;1243,98566542213;1520,18463719672
"Vaihingen-Mitte";1128,48793089055;866,238686258598;1431,68640930056;2464,5865874953;1177,31846410517;2629,68072516258;1816,71324717084;1048,66630352786;1951,62044930131;1817,4031889533;1060,20591058287;1923,95535928301
"Veielbrunnen";836,969225831873;277,243829413633;271,364364079398;1175,00990682414;397,172797860805;513,622794174869;1022,11129256177;337,670954092113;370,217753346117;1027,59971172594;338,345218181884;365,289688222756
"Vogelsang";1823,49319239842;1433,17815727257;2422,45718836815;3384,50046045877;1810,27865336827;3981,45879307217;2662,64807259885;1644,44037546107;3096,91155194008;2685,82703739743;1653,10312094605;3057,55044104523
"Waldau";701,753514038923;375,642641753016;472,220496957801;1417,89798900004;564,520011520759;1059,94286465482;1094,26649610303;482,382140658282;706,351363238687;1107,682368279;489,479212961174;683,841953709332
"Wallgraben-Ost";104,188427853109;48,6455483822762;58,4733794780385;175,661170633319;69,6858639219896;111,864522826985;144,07478930584;60,1319392044121;79,7932714897484;145,640412989924;60,6150438779341;77,9699588268312
"Wallgraben-West";159,586856611522;73,0321335536826;82,9574578895378;259,795028281891;103,11002173737;161,331764169288;213,750860779447;89,1069284024224;116,142210818131;215,888048912368;89,2825606848301;113,009730797384
"Wangen";3200,09357606671;1024,84764841587;998,317259644228;4935,26953660075;1624,57672455783;2146,73774669627;4203,06391054961;1321,31328054624;1457,62280890414;4269,23701604429;1322,35244170576;1403,12584552108
