"Stadtbezirk";"u_intervall_1";"u_intervall_2";"u_intervall_3";"o_intervall_1";"o_intervall_2";"o_intervall_3";"mean_1";"mean_2";"mean_3";"median_1";"median_2";"median_3"
"Bad Cannstatt";19790,9955624465;8414,66318486008;10568,6580513252;24608,3151692399;10118,491266087;14252,8867989654;22289,252273389;9295,28418979438;12321,4635368166;22346,2395345558;9317,32479332563;12299,7985451286
"Birkach";1665,92407590516;826,681960598013;1118,76458241461;2181,32524240043;982,776438043804;1558,10647287208;1919,3487514168;909,833375807023;1321,81787277618;1917,85613056522;910,213168496334;1316,85923079394
"Botnang";2898,43229640871;1502,19635419631;2081,80982131044;3953,54281450821;1809,27527818696;2965,35853629296;3437,11304489539;1665,1422502486;2488,74470485601;3446,24455837477;1668,90056792795;2472,44158903029
"Degerloch";3752,85211985435;1995,56302534603;2924,27378909254;4969,43947701941;2371,94630947243;3948,42461968051;4371,36394974737;2199,19589978897;3382,44015046366;4375,43881426584;2202,34366858639;3369,38001961271
"Feuerbach";7625,38646629068;3473,22856241352;4548,18797487885;9856,23838108951;4199,16476919677;6253,68359961478;8801,07881662604;3852,83552882728;5323,08565454668;8798,08494175001;3859,95405725819;5295,77548958492
"Hedelfingen";2483,90971527033;1161,56907644649;1511,77626437722;3300,44352099152;1410,4441830891;2145,0928023506;2888,10748730645;1292,0010910274;1809,89142166616;2894,68309116382;1295,46089978676;1797,26586364073
"Mitte";6596,6603411377;3229,56524593633;4528,8308868924;8150,81489027141;3782,45950652896;5772,12567585514;7386,53647717578;3513,69969690163;5105,76382592259;7395,29706821999;3516,02683008196;5096,71608520223
"Möhringen";7241,5793660655;3647,42873022309;5052,53423356824;9568,73163998526;4357,17507197917;6973,23149699917;8385,1969880914;4033,31852369722;5971,48448821138;8385,41569799864;4042,97842111251;5949,5361866178
"Mühlhausen";6499,13128902999;2914,83179728646;3584,54299939351;8874,97013434028;3602,56774996223;5434,33799143616;7718,18906817809;3277,85882174222;4414,95211007969;7767,11927125272;3290,65557268496;4359,20050905359
"Münster";1790,48445451449;764,654262436558;942,057067657152;2266,15443399503;926,350753269768;1311,93976675811;2023,58217214637;847,282792894379;1125,13503495925;2021,7657339562;850,096317733531;1123,76861879016
"Nord";6861,52992491002;3315,81292203824;4582,30994238312;8707,81947451893;3945,25982749303;6074,45322658212;7823,39980796628;3642,01949615501;5249,58069587871;7825,36068039759;3646,6881812032;5239,49721529672
"Obertürkheim";2165,46067540975;1037,24669907951;1319,28115507319;2954,09019623264;1257,26573848286;1949,600522223;2574,73158000154;1152,33115654235;1617,93726345612;2585,54079452358;1155,29623821891;1603,19792085144
"Ost";13377,2043680092;6166,9645974646;8175,64601820451;16914,4453846023;7368,79749219086;10951,8484792462;15173,2093638908;6793,70304242403;9491,0875936852;15182,9263561827;6796,12832583808;9475,74890962978
"Plieningen";3172,36218743577;1620,22784414739;2085,90214777314;4343,37758950257;1924,27972156383;3102,68490883926;3754,26375406187;1780,55039000805;2583,18585593008;3752,03782411888;1782,62087320605;2569,30942328182
"Sillenbuch";5306,70393202449;2663,05772408808;3642,43675336208;7160,46400694555;3210,62740033246;5151,64192940635;6239,15334241032;2959,58731373298;4337,2593438567;6251,19888920762;2965,1674119291;4308,63615237429
"Stammheim";3599,17093253472;1411,86239792507;1552,57124005904;4895,65052790762;1810,41787109961;2511,9379516399;4199,77742567781;1624,77305323506;2045,44952108713;4183,26576868551;1631,54681594379;2053,28586118639
"Süd";11832,1300337665;6107,790616896;8910,52029577761;14937,4214235475;7163,33373673683;11501,8258501216;13417,5020463726;6664,41580702412;10140,0821466033;13406,9651070832;6666,79981622968;10123,7333244539
"Untertürkheim";4469,40077377306;1989,94395129037;2529,83026425237;5763,35983870192;2407,5063939876;3529,06229422409;5136,29437238408;2203,24880112691;2985,45682648901;5143,85685218776;2207,12860929582;2973,77308983585
"Vaihingen";11266,3166160384;5897,13887490184;8190,07216997403;15053,2028832104;6948,29785358946;11458,9275552478;13188,8484899833;6459,0353439632;9698,11616605349;13217,5424190364;6472,20167688654;9648,69418748998
"Wangen";2507,25557949574;1094,78451842687;1392,59768994916;3202,20993824034;1328,57648038216;1924,31853599684;2858,8890854421;1216,04974983813;1640,06116471978;2864,28114001475;1216,89223312022;1632,48009282293
"Weilimdorf";8404,72134325648;3725,53666996226;4609,97373210218;11223,9425894231;4612,05853015144;6800,59812714855;9816,46479566296;4188,60095606393;5653,93424827311;9810,27369896188;4197,67929461276;5632,06974317022
"West";13480,5205699645;7324,62335540112;10748,7468141961;17470,2071777453;8539,30029542307;14215,6687146504;15534,2629677015;7953,19035918182;12330,5466731167;15598,9730611932;7956,25502680047;12272,8949974157
"Zuffenhausen";10366,1446087754;4293,22560154355;5239,05558965384;13093,1689611396;5236,61909917463;7240,41888096884;11752,9314143925;4775,76031135964;6211,30827424782;11748,6578714587;4779,4016703623;6189,92994136875
