"Stadtteil";"u_intervall_1";"u_intervall_2";"u_intervall_3";"o_intervall_1";"o_intervall_2";"o_intervall_3";"mean_1";"mean_2";"mean_3";"median_1";"median_2";"median_3"
"Altenburg";393,537992803625;174,04777259187;221,995479442409;494,054269216321;209,872910277128;300,537387638674;442,717875827717;192,737080723826;260,545043448457;441,489040529191;192,892102926607;260,364982912688
"Am Bismarckturm";108,071115429322;56,5082127408674;81,3569096420499;157,689058057289;70,8934837189123;120,903609901732;133,36749243016;64,4897949814426;99,1427125883978;133,397533949382;64,8866993520865;98,4319294014344
"Am Pragfriedhof";385,014749623311;175,038656661006;230,652935787835;473,863070668585;207,259004071832;300,356744453038;433,144602140557;191,377586474656;262,477811384787;434,258796062161;191,462205967663;261,775586182817
"Am Rosensteinpark";10,7831987169473;5,34272527505679;7,43574894990466;13,0341039754789;6,21456070683511;9,29257094430117;11,876154597794;5,7709842878879;8,35286111431807;11,8691027241113;5,77212097356255;8,35722641634192
"An der Burg";267,592397165279;136,372842369483;194,088260705716;355,72892596924;163,491280473255;265,264922201157;313,490164481495;150,800973927689;225,708861590816;313,163753876884;151,17169316102;224,506255233612
"Asemwald";207,420037592183;109,828543757437;151,315943015698;310,442686950807;137,080509160414;236,380181087591;260,493819214867;125,48567571842;188,020505066713;260,672008116156;126,185693029868;186,202228260904
"Auf der Prag";1297,69656252902;567,495928971538;735,55861224185;1602,33444767499;679,600867973508;963,010800622273;1458,79604541559;623,462469873943;839,741484710472;1458,416910717;623,850637185152;838,653518546758
"Bahnhof Feuerbach";672,524423727276;284,468700849835;362,465298381282;850,378480974079;345,911819290045;492,276513711597;766,727671882926;316,121657619483;420,150670497591;766,735432058853;316,467631502653;419,12127132626
"Benzviertel";65,1434600566049;26,7624087345537;31,6313073250904;81,8966516652579;32,4053373486928;44,3859469810037;73,96472501218;29,6786897866642;37,3565852011558;74,0533527858611;29,6991789031132;37,1557010955902
"Berg";788,899054767157;360,411879182484;473,9888685815;991,093733243615;428,264054549738;628,147963907822;888,920486856956;395,953619262108;548,125893880937;887,682152625006;396,235820308811;549,120192458444
"Bergheim";644,089472488989;296,241003433716;360,033856967437;909,736276558777;372,860354829119;569,07507337473;774,66280811811;337,642932256695;462,694259625195;774,065767994157;338,483777210642;461,649507751645
"Birkach-Nord";422,05681100098;202,161666584441;268,19001454171;562,328901042555;244,715308272787;380,823012759314;493,698563480148;225,523461955386;319,777974564466;493,28843246427;225,853843227502;319,040753946796
"Birkach-Süd";899,62426896234;446,834855817028;591,309839649507;1178,99137199444;527,793036363416;833,238455264113;1035,50751974577;489,61271846582;703,879761788406;1034,98379781018;489,979259341013;701,05242808378
"Birkenäcker";1093,95398815222;471,595376768898;589,44090247634;1393,94019644182;575,797271308978;816,071087984955;1245,9067090171;526,304400158539;697,788890824359;1245,6799042957;527,450640259552;696,673314082025
"Bopser";755,282421861416;389,38406454756;556,823698279283;987,148036982081;462,076248204198;745,004850523383;870,709017862417;428,641069029122;641,649913108461;870,146053281289;429,424367661894;640,311525953876
"Botnang-Nord";710,277580063425;356,236548309826;475,042197336383;984,659981546706;434,348276262707;698,426712459411;853,456856713715;398,521534605862;576,021608680423;857,640377680592;400,224038660203;569,184199739828
"Botnang-Ost";707,324390425163;368,811656505485;524,742508664175;928,404750794833;437,319667202868;717,990954744784;824,895482560177;404,78479054771;611,319726892114;825,549514184161;405,342582273695;608,706408615682
"Botnang-Süd";902,200004443446;476,324787692192;662,726564274143;1267,13568159215;576,63502316557;961,365157928696;1083,55422484308;530,393378204089;800,052396952833;1086,42422414947;531,827906943322;793,714710841215
"Botnang-West";564,987952137927;298,533533059359;417,95623263908;783,217199587265;360,329476408409;602,434780921457;675,20648077842;331,442546890936;501,350972330645;676,621434934595;332,452066928832;497,491020985718
"Burgholzhof";799,191113907933;366,564868573066;481,918305698801;978,800676758673;431,369335146754;624,259841166738;887,858498194929;399,505136575073;552,636365229998;886,43601643168;399,685015559422;552,619626235617
"Büsnau";674,874587849672;331,575109446315;400,161582839236;963,383992620306;403,993052376857;642,664903849715;809,889335617215;370,121136402922;525,989527979863;807,062072706236;371,030374060983;527,582044523174
"Cannstatt-Mitte";1248,89936385824;519,773791410318;636,605449016139;1556,69963893456;625,590278106598;867,338676558469;1399,78002471877;574,617202587657;753,602772693574;1397,37327354754;575,950023486909;754,970687249802
"Chausseefeld";330,377669595316;164,709279022997;215,67927912012;426,322683938476;192,02453254444;297,006200997887;376,486625172859;179,131419423059;256,381955404081;375,298216696049;179,353272853209;256,700931601791
"Dachswald";1168,92410186497;622,331332175651;889,706243150515;1552,50295657782;734,549559513764;1216,36067757968;1356,66585052761;681,568363995383;1042,765785477;1354,44337163898;682,280882140242;1042,1516323068
"Degerloch";2027,56436969211;1086,98167425074;1600,01423266917;2676,74772449;1284,50242025665;2138,1939494506;2361,04805795721;1193,20795603361;1839,74398600918;2366,02642729496;1194,80220155914;1832,30861586632
"Diemershalde";629,616000366976;317,731560863954;455,683438849488;783,991330981185;371,319352309977;580,734225311687;708,288118490827;345,248610519661;512,463270989513;708,67740494868;345,155162367375;511,329521789797
"Dobel";1238,69991914607;618,535230510953;878,165286475253;1540,96625288845;725,237865859431;1133,17754023481;1393,36975292217;673,632768224391;994,997478853435;1393,19775160442;673,323641919864;993,664728422154
"Dürrlewang";887,381915567805;472,028941523663;654,115878892937;1237,83803820906;564,859255519029;953,290432332859;1066,32897337175;523,49185412448;790,179172503774;1068,57132474526;525,032461414776;784,796743386595
"Espan";1279,32848640022;551,628351044089;684,003377171608;1628,65988155344;668,78877366535;969,382826713225;1450,06278485654;613,140861117291;822,796354026165;1446,46058736819;615,112087214923;821,271043004453
"Fasanenhof";1544,83570404941;748,842368042586;924,257728443603;2164,27041621396;910,387466452418;1433,0069579511;1828,90955273547;836,387110707783;1188,70333655675;1819,68970556854;839,95901395072;1191,04571309693
"Fasanenhof-Ost";18,4568979056191;8,9665924303293;11,1025501199724;25,5082727637744;10,927871313302;16,9504373534;21,8225942011028;10,0279798301368;14,1494259687604;21,7544774501929;10,0749515353473;14,2068602925934
"Feuerbacher Tal";1330,00079799454;617,715883383015;819,620330700577;1711,30304202013;742,727649365475;1119,05475901904;1530,75740253802;683,042536599191;955,200060862793;1529,17785283495;684,826399528003;949,541897837364
"Feuerbach-Mitte";1953,55607085804;865,548186411541;1112,86955034313;2512,89369848965;1050,79582358572;1532,08050135478;2249,44246068254;960,718262395671;1299,83927692179;2250,11361169001;962,4621719017;1293,21658024289
"Feuerbach-Ost";150,409959367864;59,8073070965808;70,0568453060808;190,229833060975;73,1707953621649;98,5074100282694;171,913744028334;66,6778364408923;82,4084195307733;171,856891608851;66,6466509566237;82,08254624271
"Feuersee";1746,33496010775;930,226632952497;1345,83015772869;2223,53972092295;1080,27404055775;1756,60954731208;1994,53353091217;1007,46114947111;1531,00531961672;2001,36933589235;1008,1716743224;1521,96059972263
"Flohberg";292,843445539956;139,31264360094;181,207272352126;388,287039939669;168,443312466701;256,506760614476;341,994493507597;154,597289960791;216,408216531613;342,044648093842;155,012278930528;214,946948886553
"Frauenkopf";174,318108246813;84,052075971197;113,98659896234;242,683213067544;105,084425714415;165,9810007149;207,991456851814;95,6640107690904;138,344532379095;208,72359308666;96,0018512560042;137,45412756349
