"Stadtbezirk";"u_intervall_1";"u_intervall_2";"u_intervall_3";"o_intervall_1";"o_intervall_2";"o_intervall_3";"mean_1";"mean_2";"mean_3";"median_1";"median_2";"median_3"
"Bad Cannstatt";19823,6470628348;8408,62486631282;10672,9457787433;24619,4922721277;10153,5673523556;14314,9313186903;22187,6579044812;9318,32900278454;12400,0130927343;22149,6016121209;9338,80744863175;12387,2480050185
"Birkach";1637,91057086582;827,311974133899;1124,13766133052;2165,54322276462;985,166227324283;1579,78923228052;1901,17070585686;912,058823542536;1337,7704706006;1899,3903921472;913,810428850294;1334,85200129958
"Botnang";2876,05467985023;1496,49652758596;2023,57069805738;4029,39905587792;1803,5052750817;3003,30174980482;3463,45417100089;1661,76957589303;2465,77625310607;3472,81795816971;1668,38361768475;2441,23553286141
"Degerloch";3785,8744194706;1987,5782919304;2832,44348332124;5082,10346626767;2366,06457779421;3898,01268573881;4444,32221199787;2193,10643177449;3315,57135622764;4447,05287915769;2197,40176424117;3303,4180505401
"Feuerbach";7616,78220809742;3491,28543727796;4663,18114161645;9735,47684272245;4205,27335964855;6250,06565645866;8700,20719107149;3870,07629648073;5406,71651244778;8716,00562835743;3880,36972071838;5378,73193889
"Hedelfingen";2475,37071932499;1161,50595827831;1544,44040043003;3257,74850193417;1410,7225298874;2163,8542847265;2872,50193445618;1294,7020358793;1822,79602966452;2873,57134414729;1297,06726612468;1808,5225006517
"Mitte";6684,38994163755;3212,52514316913;4382,21570989584;8294,89165104427;3771,01718723927;5668,70478264364;7498,66002226549;3499,22581264509;5008,11416508942;7517,26828394831;3499,74814457805;5003,86513110991
"Möhringen";7331,8107863628;3642,89407075817;5038,28262337381;9598,29357536526;4352,87196413524;6883,29382637065;8465,17495183132;4029,31207625076;5895,51297191793;8474,68797274243;4040,4440259503;5880,58600604903
"Mühlhausen";6308,33352305501;2952,62152325689;3814,03000767654;8566,87948712345;3630,41949749374;5599,20963112557;7479,46710221852;3319,8754854492;4611,65741233229;7522,79738190737;3325,36698719095;4567,22308563744
"Münster";1783,48183091024;752,168395160454;899,37689480251;2320,28529776954;922,983597754106;1312,42748868302;2042,54974638234;843,078552180903;1110,37170143675;2039,78174520094;846,184114863598;1106,75950647807
"Nord";7050,2803330887;3300,20240235637;4411,37158977551;8909,20578261884;3929,84639408559;5865,18401988085;7981,43642519926;3624,93658591811;5108,62698888263;7984,58082025421;3626,22633401488;5104,84647210304
"Obertürkheim";2158,14965944249;1038,5770501502;1347,33950445155;2924,04703978131;1260,83916750083;1971,37751759825;2548,34413266763;1156,28238503436;1640,37348229801;2550,43845836122;1158,79233464228;1627,72031040931
"Ost";13173,9026863508;6200,52636403965;8511,85001388818;16510,7500470982;7387,47215752172;11154,5479269995;14902,3377352248;6834,39942509581;9721,26283967934;14919,384197658;6852,7514277887;9713,77481190456
"Plieningen";3260,41622194651;1610,55832310471;2135,60521837807;4324,02781608418;1922,66543956267;3010,27087659497;3789,37052961329;1778,60924849317;2550,02022189354;3794,88875352028;1783,34802532993;2535,99828085371
"Sillenbuch";5250,14414472723;2662,3319278584;3724,76780622955;7098,24187315414;3212,69627561883;5178,02640077155;6182,21345150988;2967,11205388739;4386,67449460272;6211,12032839693;2973,24874113073;4355,22988203689
"Stammheim";3668,91512340385;1330,59067999789;1385,66792697081;5125,1101137488;1786,9982127406;2456,25202069838;4381,9921708715;1580,52200693003;1907,48582219847;4388,8564946041;1584,8391768063;1888,94795124759
"Süd";12225,4152225087;6067,74040918521;8659,70671716196;15328,7255289243;7137,97104971353;11125,0495819705;13799,3316335743;6627,54732859214;9795,12103783356;13797,1239106329;6631,14321259852;9787,20853877337
"Untertürkheim";4383,50382046571;2003,25945673957;2623,97389998809;5652,86783889099;2412,50920382708;3611,54785431165;5029,98278920754;2220,96665090004;3074,05055989243;5041,25324168492;2227,39523211303;3055,46054109427
"Vaihingen";11451,4133229575;5901,92722513747;8245,19135066429;15059,1599939479;6957,08867648377;11237,4632700438;13270,348719813;6462,75313782879;9612,89814235818;13326,2669711055;6471,75781221014;9559,85248597145
"Wangen";2583,89561684511;1074,0950810579;1306,84951244151;3285,65273545271;1316,58537052724;1868,70597558384;2935,70375431717;1201,96084528577;1577,33540039706;2939,73658107007;1203,75312390189;1577,82256409686
"Weilimdorf";8255,79065328615;3799,37801902626;4936,90834845078;10814,5963508435;4613,6660327862;6914,61219905134;9582,77356697822;4231,73063792855;5844,49579509323;9613,18325767851;4242,98092787011;5806,28780287888
"West";13527,5093670527;7320,20646590202;10860,2284858806;17320,8365895835;8543,63750903629;14185,8529852221;15483,3747824321;7959,19883743893;12375,426380129;15484,3528881315;7968,75672638801;12328,6043075528
"Zuffenhausen";10134,3411952801;4365,56199945814;5523,95718059606;12736,1167485814;5263,78061479089;7477,94359773307;11459,414402699;4832,16290967891;6448,42268762209;11467,8808591647;4844,41195896801;6428,52934715531
