"Stadtteil";"u_intervall_1";"u_intervall_2";"u_intervall_3";"o_intervall_1";"o_intervall_2";"o_intervall_3";"mean_1";"mean_2";"mean_3";"median_1";"median_2";"median_3"
"Altenburg";391,39946784719;174,558613079584;225,430423444801;491,650559169825;209,582773238873;303,657419610986;440,472427855712;193,1446120631;262,382960081187;439,372356628249;193,536692564739;261,910798197178
"Am Bismarckturm";113,970879233276;56,1573464333894;77,6348417544304;161,395796459208;70,5790236214908;115,222949225711;138,006648127409;64,0550956308839;94,938256241707;138,468734353666;64,3282366530316;93,9994230614444
"Am Pragfriedhof";394,621616500774;174,211531799946;225,829784184472;481,636313997539;206,273817750982;293,686209667143;438,452539056027;190,512116858004;258,035344085969;438,614923325475;190,44909538113;257,969999942192
"Am Rosensteinpark";10,6722929345993;5,3729267692388;7,38789129293809;12,923377428408;6,21872837755422;9,38549224565793;11,7753267355521;5,78294875252963;8,44172451191829;11,7718810425353;5,78517218556861;8,45690250484572
"An der Burg";273,908124476832;136,064858701179;194,194104266097;357,247553139642;163,249321227548;259,061927623218;315,356016145736;150,643947926995;224,000035927269;315,475837335314;151,154487709044;222,486381289226
"Asemwald";207,555165537561;109,25561827715;144,848423538035;319,303183314158;137,080381462151;235,729503616737;263,717204042551;125,076827732565;185,205968224884;263,921500253883;125,793013445778;183,802600185666
"Auf der Prag";1302,78759295956;567,752851905659;733,783238626136;1600,31527743552;680,083280036389;960,335078464103;1452,76658807716;624,390968924539;844,842442998301;1452,54888280326;624,339977628984;844,931619341715
"Bahnhof Feuerbach";666,418577205896;287,262398278349;372,716225851582;833,875644910847;347,772773940411;495,317935682531;755,023302861026;318,242700664934;429,73399647404;755,371475102485;319,006186197821;428,472665110814
"Benzviertel";63,8353209455244;27,193886890458;32,7053162667838;80,506402659323;32,7312507270901;45,349375906144;72,5062175152337;29,9763950708713;38,5173874138951;72,5502000503288;30,0570322676331;38,336812262126
"Berg";762,97534396715;364,768075425279;504,08625571156;950,603884077513;431,994692081158;655,347548237435;859,14378313997;400,152809008283;573,703407851747;860,029484096164;400,898228284973;572,97800861569
"Bergheim";645,725331000397;303,104707167512;394,95481335385;868,986992092042;371,990134737717;568,022496519039;760,685686025974;340,488237781069;473,826076192956;763,713804858044;341,584180977877;469,789521296464
"Birkach-Nord";420,940895070851;202,822758657789;268,973632975887;561,444883741544;245,330227857666;386,743710404484;489,552758858254;226,052919662818;323,394321478928;490,456906296892;226,731821662753;321,975827632618
