"Stadtbezirk";"u_intervall_1";"u_intervall_2";"u_intervall_3";"o_intervall_1";"o_intervall_2";"o_intervall_3";"mean_1";"mean_2";"mean_3";"median_1";"median_2";"median_3"
"Bad Cannstatt";19428,7245282119;8506,7343410159;10096,3593829483;25112,0064548456;10418,4509769565;14372,7872167584;22299,2476075033;9534,91619821962;12071,8361942771;22337,6587347594;9543,50982761749;11978,5649033723
"Birkach";1518,48623094028;860,387911938882;1144,38104241999;2102,93734641152;1021,63385060282;1658,92206568414;1819,18584938535;949,36860796981;1382,44554264484;1821,82096756835;950,039951100321;1372,60465930491
"Botnang";2844,48284692266;1500,67632825943;1864,42128037328;4189,24749498427;1861,35310838869;2977,78062807739;3487,29075364405;1711,31695818339;2392,39228817256;3480,15722877444;1719,18696695585;2386,62096891013
"Degerloch";3485,52232356145;2073,87941497542;2864,36079955295;4935,26114228462;2464,96852840503;4103,25135438977;4204,45416349697;2286,8611583241;3461,68467817893;4205,4433679179;2296,54575524414;3444,52988093493
"Feuerbach";7488,32073090095;3553,82699329351;4286,29976435258;10008,4782231092;4340,02199214387;6300,27223966139;8777,26723721512;3977,30454096396;5222,42822182092;8783,09861248224;3992,68134510057;5190,50687321328
"Hedelfingen";2296,24095115903;1194,97340854055;1446,52540639319;3322,82462156838;1462,71299615798;2263,29798250286;2824,62188187928;1341,32116089319;1824,05695722753;2825,20858067872;1347,92326777758;1812,77717774332
"Mitte";6161,23295192186;3347,46558146752;4409,71505408983;8126,31596292434;3930,68821530781;6089,82997194823;7159,43210108165;3648,08618639566;5198,48171252269;7160,85841711949;3652,58164796506;5185,00349395505
"Möhringen";7068,66231669218;3723,54050024332;4901,4381250894;9696,90268821131;4465,69006158655;7069,08284744866;8373,93012886513;4138,41550225157;5877,6543688833;8384,94989972092;4144,79149361557;5860,72534114791
"Mühlhausen";5945,51886180808;3024,99796532564;3632,95241154942;8602,57623538738;3745,35324704983;5864,42001697503;7296,94763334978;3438,59364188954;4675,45872476069;7303,57425984079;3462,27907038395;4623,64881958173
"Münster";1721,16951454712;764,712583226413;835,147129909189;2390,05656791271;961,878978109377;1333,78308476726;2052,97912518166;868,676591471578;1074,34428334677;2051,75360674373;870,462541948265;1071,90808970345
"Nord";6630,73979753297;3410,26591254679;4404,42006938433;8748,63123910211;4079,54013930966;6136,54045738507;7703,16998678971;3776,09340298586;5235,73661022444;7690,64155676729;3783,99530802311;5225,44554549299
"Obertürkheim";1981,30598920834;1070,41297910001;1383,93186484223;2848,79593972657;1298,36124164715;2121,75192225015;2414,1786863239;1195,3227928076;1735,4985208685;2412,4660030138;1197,60452388446;1735,96549527271
"Ost";12585,463957298;6377,45022394638;8205,28549166834;16677,5550646052;7632,91819123698;11517,7439968355;14663,5176862611;7048,46085772969;9746,02145600919;14700,5717713801;7055,20423436908;9684,34791225624
"Plieningen";3087,72589505511;1645,25889638656;2058,92434837198;4360,08823606607;1986,19534085043;3123,24981506217;3722,58651336366;1832,47251670858;2562,94096992776;3726,43968194235;1836,80891468721;2558,89813418238
"Sillenbuch";5082,07619019917;2711,53001701163;3442,77483995408;7295,713304374;3316,87294798484;5283,68345438274;6162,96282441697;3052,88225739512;4320,15491818791;6131,46700260517;3066,48842670972;4308,94568780137
"Stammheim";3628,46283439019;1368,96914241069;1342,94787056;5123,99851086131;1840,62531702671;2434,99838209907;4423,41785821028;1618,99836486539;1827,58377692433;4426,42429195384;1626,32426353957;1812,87571910859
"Süd";11814,4671709488;6237,69706584445;8360,86329682349;15337,435165913;7359,22230777618;11272,723203968;13582,3916790457;6840,34330742051;9799,26501353377;13610,7674105377;6851,60409891334;9771,1481966901
"Untertürkheim";4012,46043808384;2046,55702380333;2524,25784279055;5695,56675134429;2488,19339318804;3905,2936890888;4883,86104844813;2293,47202427947;3147,6669272724;4898,35763693243;2301,01693903639;3117,7198267064
"Vaihingen";11028,7950693364;6037,54349395742;8449,89084097989;14747,2687617972;7170,00772419985;11506,6415108538;12817,6904384856;6650,46169143437;9877,84787008002;12845,2130360488;6656,40626439168;9846,2752977196
"Wangen";2524,63919987832;1087,18580796833;1203,19533162122;3384,83001460637;1364,02616571216;1870,44966383507;2973,5605688355;1232,39011444689;1509,04931671761;2974,37883598687;1230,73068540202;1501,75549363525
"Weilimdorf";8107,1335182343;3795,074104706;4457,17959849758;11259,1063146399;4757,2191965408;6959,46515427029;9727,95244167026;4325,07056424967;5605,97699408007;9732,75798041426;4337,21780300145;5559,92204790498
"West";12291,6295622655;7586,90620388245;11671,326593181;16071,5190846467;8810,8718670553;15274,6579840995;14218,2110745982;8238,32257626828;13361,4663491335;14192,8490730762;8245,66883110308;13338,1468219003
"Zuffenhausen";9636,67716047228;4452,55985252541;5317,23013593937;12771,4557499296;5477,77344111065;7837,47594477738;11252,7673812853;5014,69882938973;6472,53378932493;11278,0766670829;5019,88544759498;6411,98813971102
