"Stadtteil";"u_intervall_1";"u_intervall_2";"u_intervall_3";"o_intervall_1";"o_intervall_2";"o_intervall_3";"mean_1";"mean_2";"mean_3";"median_1";"median_2";"median_3"
"Altenburg";366,096410499119;172,644815416861;184,661764093091;535,027545076636;218,248630690402;319,075533723126;449,723962596423;197,360580262428;248,915457141149;448,703362103644;198,020637062774;248,79243938972
"Am Bismarckturm";104,729926074067;58,5012820458048;77,3926391933069;159,690926847314;73,6869548229861;121,980038253001;132,508837669294;66,9705132333349;97,5206490973711;132,453410362014;67,4219488561172;96,7875290403353
"Am Pragfriedhof";366,366527332663;184,326140477721;234,31052760376;461,037730740019;216,194733184842;312,780445061989;417,400703659144;200,053938959327;269,54535738153;417,360722580776;199,941396860736;268,623409577245
"Am Rosensteinpark";10,1067851392432;5,51899044530966;7,1724942132848;13,0138507769077;6,472222118963;9,7136584542151;11,553622125339;6,00296693399848;8,44341094066253;11,5531624086443;5,99776947200616;8,46438933165978
"An der Burg";262,03465844755;136,027156040763;156,804864238518;393,681002306191;169,566993475358;267,313436656407;325,195662112442;154,017850206878;210,786487680681;324,506842487073;154,577958516958;210,480405628056
"Asemwald";195,419624112312;100,343660598549;101,114557058658;372,584079150823;141,362355636752;244,233740899581;281,846986326852;125,513838385493;166,639175287655;282,448090622166;127,408309242108;162,899890325207
"Auf der Prag";1188,4404013791;558,625050388646;588,821872782797;1757,53655933464;705,34580332951;1061,69698682315;1460,87561436596;639,066828747447;822,05755688659;1459,86452390515;640,620316203101;815,759804617899
"Bahnhof Feuerbach";564,493350810187;305,851633733159;392,333761055443;799,220995334729;368,382189556186;588,692834906618;688,577001611124;337,726338691682;476,696659697194;691,247598958305;338,499729439365;472,803428773756
"Benzviertel";63,1440676122839;28,0796442366378;31,5717405542691;80,6022786706164;34,1425764477711;45,0538602026005;71,8927100530702;31,0953279039547;38,011962042975;72,040551630857;31,1018220511591;37,8290068336488
"Berg";654,914736525226;382,465461505867;485,345863295157;950,91080233006;451,922822891363;747,107045268992;813,132695415095;418,239438665883;601,627865919022;815,676982570437;418,514268758632;595,821606072575
"Bergheim";499,539320053744;321,399686642891;400,32841676658;839,672575702847;391,878804361737;710,408727184008;675,258750926211;359,835533933749;539,905715140039;675,904852095038;361,052655058965;534,151578248883
"Birkach-Nord";371,254304849632;208,969815679319;256,124174516205;568,35533863944;256,530489571855;424,304172880705;467,21390514663;235,787283395549;335,998811457822;466,175402286383;236,861758670144;333,298561828636
"Birkach-Süd";802,72690349709;464,975771271018;589,06035247724;1163,03282227114;553,032064594251;894,222883735436;981,549610015293;510,534523518995;736,915866465712;984,048884021892;510,718448262614;734,46901169473
"Birkenäcker";1023,26165767695;482,509665193487;553,949623155233;1409,82040042929;601,581260313097;861,190179389341;1220,28442887793;546,428351301347;703,287219820721;1221,09704030685;548,250195587358;700,510594285141
"Bopser";706,404134816684;407,587656795699;545,584628496983;974,551048821443;482,678900092772;779,903557348648;837,821297387985;447,017375661988;656,161326950027;835,722753845795;447,186908723965;654,288438368645
"Botnang-Nord";616,873253006585;367,265663873351;438,372804955301;1007,20875109047;452,454425301614;795,506077864977;812,908450440238;414,96753422713;600,124015332631;812,832091007326;417,03500265307;595,721727998921
"Botnang-Ost";672,102168970284;366,497051565974;411,608382723905;1051,37102760812;452,530194122198;736,545374644934;858,60063772302;412,965067280717;569,434294996263;856,112201278062;413,997761098311;567,404840719748
"Botnang-Süd";877,436308065767;468,676121114879;534,57100871452;1397,89463479165;596,563144218075;976,070812482414;1111,72469513764;543,967239491692;758,308065370666;1108,39890610143;546,692055990979;755,621367480811
"Botnang-West";548,013565014208;296,230121298908;343,104238655776;860,367148780515;372,686882620681;600,570034049735;702,390528775621;339,017683925533;466,591787298846;700,959322998442;340,185104040852;463,525770895243
"Burgholzhof";624,629356576188;385,381986901112;469,952315226436;977,064129211795;455,439769674553;785,67542316988;800,798625681331;421,380918969233;617,820455349436;801,432526651228;420,832140915249;614,801637397331
"Büsnau";701,487323418847;315,631807198991;322,889202433706;1063,63235353573;414,488023187772;603,455769894765;872,336433638147;370,938995522139;462,724570839714;873,135537620502;373,471022401078;460,175534378161
