"Stadtbezirk";"u_intervall_1";"u_intervall_2";"u_intervall_3";"u_intervall_4";"u_intervall_5";"o_intervall_1";"o_intervall_2";"o_intervall_3";"o_intervall_4";"o_intervall_5";"mean_1";"mean_2";"mean_3";"mean_4";"mean_5";"median_1";"median_2";"median_3";"median_4";"median_5"
"Bad Cannstatt";13119,3585101008;20062,349010178;7588,84319020534;1522,84812708505;483,354534981642;23313,6388075719;25545,8292007429;12057,8211580981;2958,38738283594;1172,32408496564;18063,1182199434;23336,5735543363;9430,59012961026;2109,3135983376;767,404497772411;17934,0037604235;23641,6248848654;9330,25987894179;2055,69198764878;735,720887632203
"Birkach";2425,84222647542;1262,5879482634;238,069534306398;39,1575083926126;11,926376922428;3435,54044361103;2001,38649340041;469,24009721097;90,2707699341666;32,636636239371;2978,0844668821;1622,59628368646;336,225291023837;59,6318119662623;20,4621464413417;2993,61476495884;1620,21564681988;328,930898941934;57,4013907125162;19,5367376011343
"Botnang";5284,34191329789;2312,77906795611;398,952743927291;64,3330087915779;20,0249271948113;7634,16409309826;4125,5216770679;890,1389478651;161,362537162927;58,5518269022428;6596,91450516891;3129,97891031584;596,410193244573;103,939911987173;35,7564792835023;6636,1117120738;3117,58330216584;579,763778120569;98,8275583227462;33,308363255636
"Degerloch";7375,18236731751;2538,10240840565;393,310539555654;63,2329518102717;19,0544250191951;9908,76166303605;4484,33886663585;888,684020467123;159,675235637493;59,0193002481453;8805,8278627048;3400,6939786355;594,282765473422;101,497426679265;34,6979665070167;8880,52184156479;3355,84432534729;573,671576007002;97,1960247197178;32,8763598854291
"Feuerbach";7202,61839152764;7377,07214004424;1802,43541941903;313,597800188261;100,6105139082;12837,3552460482;10697,3550427702;3602,9996372979;754,520587275313;291,817803813835;10042,2661315362;9242,32409375457;2605,57539143969;501,54737504921;175,28700822029;10017,1858622686;9316,08150657827;2557,73362161852;489,464486925057;165,761695124729
"Hedelfingen";2003,41285586896;2593,35834585373;878,410957218929;166,004084190393;53,4950105781278;3702,03589768244;3491,21114790946;1627,72612794759;391,885619106494;154,504166867755;2815,28329807567;3130,50483241703;1193,3332421277;262,008795134214;94,8698322453842;2788,09141526475;3176,94869806693;1183,15298467822;255,093244893013;90,8013058575659
"Mitte";5889,64276466181;6921,21768289884;1933,29406695462;349,315191231307;105,83487673352;8919,71313899791;8653,28203002221;3099,73515838055;676,506487921068;264,439386956306;7403,42399257373;7891,94530097522;2455,11212066465;490,471753906923;173,046831879476;7403,61287481028;7927,56550740986;2432,31193523227;481,198313745962;167,842164994646
"Möhringen";8425,66105551262;7428,65846577951;1798,88668140804;302,774418848195;99,0451132537311;14280,2740627464;11075,5098467565;3560,87024587531;763,198392005122;284,435777376684;11464,3668586195;9386,87341786585;2526,62913822124;483,908243623753;169,222341669667;11526,0934649598;9437,37788717206;2469,97532529145;463,104797380249;158,583860065383
"Mühlhausen";5544,92929330126;6759,88351763516;1824,44082782176;320,280132662313;104,05395886464;11446,0412286519;10034,6255139462;3979,80039668535;912,094138550614;323,972785880452;8636,84739464771;8689,88383401169;2666,21652726145;531,624589023591;187,427655055558;8635,30786605182;8805,03491087482;2590,59908974024;500,483028553665;174,275971368637
"Münster";1410,37405165135;1838,08261481902;505,702002859916;91,9495247100705;28,829792974015;2670,98352022149;2519,62508085827;985,874898782167;210,074411398298;79,4368698113651;2033,93459574163;2239,40846783159;703,912305954493;139,587623334272;49,1570071380178;2021,62219833801;2271,47249375162;695,438311878382;133,720152517588;46,8307244307126
