"Stadtteil";"u_intervall_1";"u_intervall_2";"u_intervall_3";"u_intervall_4";"u_intervall_5";"o_intervall_1";"o_intervall_2";"o_intervall_3";"o_intervall_4";"o_intervall_5";"mean_1";"mean_2";"mean_3";"mean_4";"mean_5";"median_1";"median_2";"median_3";"median_4";"median_5"
"Altenburg";216,038013962925;413,097033031481;148,045766250209;28,3014180538573;9,38639633795277;496,95248009135;551,385523080091;278,671823594487;66,8846991294126;26,003864578578;347,693610148358;501,362894448138;201,50091288238;43,6958161010507;15,7467664200729;342,505488658185;510,385099063129;198,459534521615;42,5440195302456;14,7228097587743
"Am Bismarckturm";157,761147269941;105,163266342284;21,25120520603;3,51866006137863;1,08823156663516;278,444622300147;187,400491267983;53,8578882791479;10,6658205868193;3,82111865604623;219,658074451549;148,554499881288;34,342974515146;6,26810810092783;2,17634305108882;221,212989703721;149,08790133587;33,0418163116373;5,85278829513289;1,98439503182129
"Am Pragfriedhof";208,846545941917;421,679213654608;153,114862437995;29,3627109231166;9,45591918637446;416,643394356587;525,218330875272;263,408357270668;65,0131002308352;24,8668816976917;308,113206405865;485,33441996347;203,793368553889;44,6736316917705;16,0853733850049;303,697833045668;491,052913623282;202,308013756652;43,6010382900236;15,4628513232713
"Am Rosensteinpark";3,66120283668076;9,82828739188596;4,14714992717057;0,824984585705128;0,274197199981086;7,0764188736928;11,3331741364431;6,65148082251475;1,81185419623505;0,714338300999995;5,23502037611877;10,6509157758425;5,38337864438803;1,26722490119859;0,463460302452102;5,16791550733243;10,6785627936247;5,36827633940242;1,25244160907391;0,44532794002695
"An der Burg";330,492435406174;267,121160938618;57,5118359904057;9,55027077111478;3,10673410902078;574,980606793403;424,560894071442;129,840599572706;25,1853616836658;9,373915077361;458,041098722846;349,862520422041;86,5157800869034;16,0174063515733;5,5631944166369;458,030080959794;351,9180724377;84,4634858533119;15,3849778432621;5,16042906734966
"Asemwald";809,712314081066;165,548434799463;25,1202007804158;3,9550414393726;1,24801238947941;1277,50189060275;526,655619648445;103,63441147479;18,917173462475;6,56572579413905;1099,86237454651;311,992504419132;51,2855884925475;8,80839955858578;3,05113298322591;1114,36991883393;303,635866910607;46,6171607742041;7,74487822075579;2,56168617602332
"Auf der Prag";539,7400365203;1354,55462821812;574,474632518209;114,251091434886;37,3735208905154;1103,83017856533;1621,14659971099;935,490120022553;248,274555567189;97,9330398023569;798,093146033673;1512,70527711292;739,868484140079;172,369824306887;62,9632684064425;783,048682330555;1522,31556320282;735,028695287675;169,123539713884;60,4860201668406
"Bahnhof Feuerbach";473,497520237614;671,138559717579;190,292649924058;33,8352527426448;10,9569820751683;872,723106414066;884,636088789511;358,663695558607;80,3163614542986;30,3390002304903;664,409028007688;794,663484795234;266,180327172555;53,7678567443534;18,9793032801692;657,320682914301;802,038045725479;262,336557607135;52,4930184252486;18,0212864468055
"Benzviertel";20,4566827441245;64,0977509178267;29,7637430563698;6,20191515458187;2,10233973822765;52,0572668817707;78,3020588515323;51,7022866467561;15,6459043671334;6,3343104326636;33,6995829172644;72,3437861238751;40,819811151854;10,2842974427983;3,85252236420818;32,3347263931307;72,820259754323;40,9056045243826;10,12216210568;3,73416209909726
"Berg";224,584181876752;787,916306809527;476,836846364073;112,364461983034;38,3067584603097;560,366251269373;955,512399873702;708,062908112197;222,112224215527;92,4278190759425;366,003431603437;885,03377511569;585,312197516644;160,196321162559;61,4542746016698;350,162830373748;889,740796367473;584,387194756828;157,694508499787;59,0803602681223
"Bergheim";572,653972231311;730,632578992336;188,848515793337;34,5875033337128;10,8542005394462;1350,67145872726;1146,60355748287;498,240189186061;111,310900837779;42,7210934150605;975,76942463494;978,743435946613;307,627470652678;61,8018329777171;22,0578357880515;967,687946968906;996,700925608271;297,560432728716;57,9979831423515;19,9663335229055
"Birkach-Nord";671,641211000815;295,23688607412;49,6134263527054;7,89228803768699;2,46003200995022;949,032490201108;505,135013989501;109,292481235601;20,0730704834566;7,16391764441627;826,748747278133;392,354351367234;73,757333617378;12,7746165042636;4,36495123299131;830,520444700176;391,119123605899;71,6730485073664;12,2153583973078;4,11038657595677
"Birkach-Süd";1104,0654630043;751,512234607652;149,514731464547;24,860454045193;7,58789417501674;1662,96863670387;1134,35097964358;295,292486246596;58,6988113495964;21,0934030403024;1393,86511498425;942,285303531069;213,137130898706;38,4718188636433;13,2406317223333;1403,07865993233;940,902852261292;208,676993940227;37,015412238934;12,6821561596301
"Birkenäcker";670,63131831628;1159,96091767021;385,069311131301;71,4703146171307;23,8745367642921;1448,4960407156;1554,62878574848;743,222796915698;173,334266994352;67,1879759366805;1038,44162738464;1411,92468418146;533,189865489029;112,990565977699;40,4532569671644;1020,67868759912;1436,45621679906;524,064744952816;109,902158763035;37,9837919069969
"Bopser";1067,30082343525;653,946888788447;120,383938135552;19,6959424047439;5,9260989137069;1528,62847816098;984,122190947158;244,417720538346;45,3533840558356;17,4431332005774;1318,25377720785;810,137542414757;171,672083975034;30,4496141985095;10,4869822038467;1328,37779083125;807,725372378228;167,765160497091;29,4703142109505;9,91522064980177
