"Stadtbezirk";"u_intervall_1";"u_intervall_2";"u_intervall_3";"u_intervall_4";"u_intervall_5";"o_intervall_1";"o_intervall_2";"o_intervall_3";"o_intervall_4";"o_intervall_5";"mean_1";"mean_2";"mean_3";"mean_4";"mean_5";"median_1";"median_2";"median_3";"median_4";"median_5"
"Bad Cannstatt";18091,4056668354;20992,6190189519;7556,4137286923;1666,4708234123;445,091155507098;23007,6438046564;24340,7790697574;8526,16622413273;2114,43254326897;784,916743177857;20726,758900599;22432,6714767859;8036,68533306082;1860,87999168763;650,004297866661;20935,2696827791;22157,344926705;8031,26810558824;1826,08976621351;691,181178483346
"Birkach";2743,13049743093;1425,08516749049;282,042213138459;59,0492168225243;15,3727828500131;3228,17114560129;1776,08088038769;388,724464813727;83,6332982862185;25,4308590814363;3043,92073756149;1548,38715049349;336,012457720274;66,5540406815388;22,1256135432042;3112,47357996782;1486,9802405575;336,752597419312;60,9220208311474;24,1536048108271
"Botnang";6257,82119853217;2630,26098776801;522,52052834399;92,2718064136195;28,2044599633323;7166,43619347544;3258,2468415222;731,672989265127;159,145671611181;62,7761435405225;6810,37808229359;2893,48334674105;600,011929898745;118,826898425642;40,2997426409739;6925,9655955757;2833,75326685392;568,14742530367;110,730615382397;34,1932025104403
"Degerloch";8464,78968326732;3036,19189379041;558,851943207013;102,851053607904;26,8513455420471;9189,78080383436;3631,79614184704;662,73332369339;138,003516392441;45,0200754287478;8940,20628910254;3239,79449137308;603,120277526339;115,592908333624;38,2860336644203;9073,05457798689;3128,97151908408;594,093976439442;109,905406372978;41,0511197573884
"Feuerbach";8775,50151146553;8161,909508916;2379,64814315325;531,799276949439;141,451094953118;11198,6303900188;9837,54134248922;3018,93909203521;713,302712360624;224,199538843002;10284,6984282303;8803,30976225258;2689,06339645265;588,860485172246;201,06792789222;10634,8542840987;8572,23251113491;2677,02784216844;549,224591663087;222,529823179466
"Hedelfingen";2670,89318849445;2787,02363383894;918,381212802543;196,353036586574;52,3881892243785;3536,2453920195;3356,75557218502;1115,64919402744;272,287686767727;98,9564397727417;3118,62248289782;3042,22773559749;1021,94360076724;232,228580377173;80,9776003602769;3136,33212129882;3007,3314209922;1027,7417152993;229,76766120073;87,2191131387672
"Mitte";6474,49382201545;7717,24344534564;2706,6406924524;585,980935971396;197,059573424024;6988,57350430765;8285,23129550961;3208,23845313382;745,68983852859;273,980458952453;6723,26972455777;7906,24419569795;2886,37579744863;668,4229106089;229,68737168675;6713,54744384744;7794,48751954538;2802,77135586688;671,467055737025;222,825436979116
"Möhringen";11242,0147817461;7702,47713781659;2027,33117268906;369,833790969723;105,159113256632;13772,8140625724;9604,03457239223;2454,71212892632;564,118288894234;224,080858551228;12652,1986209292;8504,2553958807;2239,59330322983;473,431914407182;161,520765553058;12822,5329724233;8328,96073797045;2237,91289431471;481,027060848597;157,874623963798
"Mühlhausen";6181,0748950889;7543,17297906852;2178,82964556286;507,147129799194;152,146417291924;10153,8317735338;9514,69861875078;3742,18756472704;966,293209167732;307,745712265554;8573,69838348322;8277,02476058176;2939,61516940585;685,591412609605;236,070273919568;9051,63373545014;7980,65883313719;2915,03465677161;625,439933934477;243,275225849954
"Münster";1871,2538626427;1842,09141926176;555,384983879367;115,986925017813;30,9123181425226;2618,71636251509;2299,45950703655;755,489102845731;182,954002955349;57,1807030246145;2323,24368303162;2023,9403218262;631,229690738859;139,738472332225;47,8478320710987;2415,31258944658;1968,84015556391;602,750452358047;128,289070385924;52,3199749976047
