"Stadtteil";"u_intervall_1";"u_intervall_2";"u_intervall_3";"u_intervall_4";"u_intervall_5";"o_intervall_1";"o_intervall_2";"o_intervall_3";"o_intervall_4";"o_intervall_5";"mean_1";"mean_2";"mean_3";"mean_4";"mean_5";"median_1";"median_2";"median_3";"median_4";"median_5"
"Altenburg";395,350333386627;407,112962539418;136,514634391738;29,2487893011384;7,83514886021846;528,490428877839;496,209657993709;165,790745641752;40,6404160090165;14,5949152281262;468,107946824838;445,264154241495;150,425511798458;34,2734501022836;11,9289370329249;475,387435874961;437,738088329651;149,570008012239;33,4838588637025;12,7688252549867
"Am Bismarckturm";191,356020046995;122,914290153565;26,5956899194873;5,68468744267511;1,84605526500769;253,544065894434;165,091098914436;42,228409899079;9,49262371297782;2,86765895406195;230,104660671258;137,381163877239;34,1330787130546;7,06207998813472;2,31901675031382;239,110093260133;129,59112781046;33,8048773057269;6,44257929437972;2,27449868064206
"Am Pragfriedhof";413,607565611053;402,666451712783;109,156493434034;24,1913684554015;9,18403020851831;511,694320941296;460,054441235558;158,132076516411;35,2275917834681;10,0905439159931;461,660577596892;423,843683217091;133,418778791334;29,3300432916109;9,7469171030726;460,495441503619;415,000432326408;133,153477398523;28,8836470235828;9,87589362168071
"Am Rosensteinpark";8,0349182306365;9,32258094203041;2,48914663100014;0,557366589088331;0,22245639676488;10,401619718041;10,183096641735;3,8849511531991;0,877444609888114;0,250091362128668;9,11298498947484;9,78048234849404;3,17298474109269;0,700658374055745;0,232889546882685;8,98912147787024;9,81300417980147;3,15643868108454;0,68095575589989;0,228907979160227
"An der Burg";377,244204836538;307,409020036119;85,3182606633642;17,3561435256042;4,59224116089426;500,570060288998;391,168104305359;113,194021036524;26,3249967824488;8,14703240092443;452,37674879561;339,879296356009;96,1412765009537;20,5980718323794;7,00460651504818;468,223356128365;328,80957186809;92,4767302080237;19,1363091010299;7,75162973168211
"Asemwald";868,737231954776;278,075456803016;57,2280779555451;10,7020380408595;2,79235898603527;1126,09369439777;481,180357192626;97,9714361275355;20,9073043262637;6,31204421556983;1028,64433955779;355,402703676083;71,9165024400772;14,2921292953916;4,74432503065894;1065,38419412428;326,902464474038;65,2303205560028;12,5126682504857;4,97035259519588
"Auf der Prag";1265,60486354096;1274,8879173347;339,224194575747;75,8618727557353;29,1619078490388;1565,50991942502;1441,46684354414;505,078779397369;112,084832638487;31,6454877526246;1395,3059581592;1346,11258702816;421,621898597603;92,3364397824315;30,6231164326132;1371,48074248415;1331,91871242667;420,998853434128;90,410659882808;30,8812559994149
"Bahnhof Feuerbach";664,123598040077;689,972471331135;209,957857285412;49,1791346397779;13,3224010991235;815,185804092859;796,184440669313;256,878135996221;61,5757819563378;20,5170025698138;760,639210074972;728,52448653379;237,761105939852;52,9427493533924;18,1324480979932;785,326867732037;711,402169514456;242,870646291658;50,07838588908;19,5592084080221
"Benzviertel";42,2651011683712;66,6559096289429;28,2585601458434;6,2409114114473;1,8318526179282;57,3554635973378;74,5668475498711;32,5293938066879;8,8326874743249;3,16269359672294;51,4113858295591;70,0335478696774;29,5989057013068;7,358391420501;2,59776917895571;53,2950369433292;69,3537470229368;28,6635277307669;7,14849962945971;2,71599985146176
"Berg";554,8790253223;837,656778680743;326,155658186122;75,7962941783592;20,6812476397557;793,887039914721;951,700738950474;408,134510076898;108,598952497079;35,7258911630442;688,93381890343;886,149646047695;363,078536760412;88,5551117208483;31,2828865676154;706,052391003335;876,115395732502;358,294363382649;84,2698039362943;34,9056126455158
"Bergheim";893,114693769909;771,831344493439;211,635962818261;40,0972762771117;15,2659733636268;1304,97663210428;1029,15321256658;323,596447905598;77,7517189415491;24,2519311233835;1135,40365439068;868,125597683596;263,742383681028;58,9536774646673;19,7746867800318;1178,17776198313;830,047149628992;259,18494640938;58,98800670624;19,7931979994748
"Birkach-Nord";720,445602405457;359,665227081002;69,8198763177371;14,5530733167855;3,94883858718824;860,39253211712;461,054741364672;100,371825927279;21,5715963040373;6,55623399855477;804,994245382473;396,766648228776;85,6718221636788;16,9491195222055;5,61816470286651;822,141513760338;380,774488235763;86,3494351532918;15,6394544772574;6,04831577344886
"Birkach-Süd";1406,60429143332;769,348903426262;155,707097206589;32,1614371839503;8,34777771914007;1630,60474916945;930,738602191009;205,793633238939;44,3592356292921;13,6978762032123;1546,08508064865;825,094166164372;181,703261183683;36,083271203784;12,034220799511;1578,41515164543;795,741711288767;182,824315255353;33,5220180239755;13,2240959034343
"Birkenäcker";1108,33726307142;1164,90264346912;393,030111939874;85,0073476189452;22,7472013544635;1469,28446814945;1406,75350470732;471,978879429122;115,497468464937;40,939475971583;1304,40089113941;1270,00300357076;430,331227645172;98,127586770577;34,1372908740836;1322,74209764407;1251,38527355022;427,774441716553;95,6277970395606;36,8360581812136
"Bopser";1164,72753005103;835,765787230863;208,107023603937;46,0598830708243;12,1541738671303;1220,61800311826;889,871703194331;247,206630052788;47,6636536773235;18,9914863273123;1193,69487997416;858,538618414522;226,031026733301;46,8422862708899;15,8931886071294;1194,89736631476;853,503175122669;224,118320739111;46,819366149497;16,2700809717272
"Botnang-Nord";1674,38562681828;655,886557073612;132,828416220522;23,2090177352118;7,11485441851513;1893,00944215747;810,782134787425;178,402504471828;38,6696282117902;15,2334645590383;1803,09754837539;723,8026487496;149,4941641681;29,5951466294658;10,0104920774455;1825,92109412541;712,588887360285;142,292639252718;28,0137626953066;8,64147159352635
"Botnang-Ost";1247,41273413882;620,289260709027;120,986167986333;22,6208671464828;7,08815638326534;1455,58606402829;754,861053360383;179,715573352857;39,5324997510088;15,618093910033;1378,83213547273;673,188291252123;145,948169979131;29,1271402084371;9,90426308757642;1410,98829593059;656,262566802027;140,768522107996;26,8335599257209;8,19971948866731
"Botnang-Süd";2140,19495692564;849,574684108044;168,893285642841;29,1301885052003;8,8011451843134;2451,87199528116;1067,13081970379;234,989331727914;50,9996952859508;20,0965808053246;2326,7499490862;942,709383847011;191,811823860804;37,8822240388791;12,8466191671079;2362,88697612479;924,305421424772;179,894782890717;35,3143206780598;10,9616264286242
"Botnang-West";1192,57204347084;503,771721712874;97,9588939867577;17,2577025491303;5,20030397723843;1369,22452918712;626,211597835062;138,565579712528;29,9978788400253;11,8280042661266;1301,69844935927;553,783022892311;112,757771890711;22,2223875488599;7,5383683088441;1326,16922939492;540,596391266832;106,281930762555;20,5689720833093;6,39038499962242
"Bruckwiesen";4,74406799337772;8,49402342007777;4,38971056546857;1,05635755695131;0,298196970851696;5,71143219081782;9,20976186284798;4,54325087131211;1,28029087792855;0,545608240596825;5,20210099178897;8,76089901208113;4,4483354388482;1,16655231037487;0,422112246906833;5,17192557966097;8,65384768339672;4,42698805115156;1,16446771382775;0,422358883592214
"Burgholzhof";620,591610039893;840,119298263174;307,536254779119;69,1175867298957;18,3509673220173;710,209907438634;899,555846735658;337,213916305421;81,6781685238685;31,5205807162724;665,809837014157;865,493766271208;321,244323651528;74,4608610287492;25,9912120343591;666,291105572855;860,383406002727;319,914015544772;73,3584885603576;27,2329038169642
