"Stadtbezirk";"u_intervall_1";"u_intervall_2";"u_intervall_3";"u_intervall_4";"u_intervall_5";"o_intervall_1";"o_intervall_2";"o_intervall_3";"o_intervall_4";"o_intervall_5";"mean_1";"mean_2";"mean_3";"mean_4";"mean_5";"median_1";"median_2";"median_3";"median_4";"median_5"
"Bad Cannstatt";17757,140533628;15282,9997914616;5668,43646668508;2314,8806086722;1602,72727117862;28313,2086452155;21181,5088956419;8664,8645798625;3789,14984039864;2851,85744041744;23503,3974840847;18308,6550020523;6877,21655928812;2896,3550909355;2121,3758636394;23678,5799153636;18369,8327034908;6733,51855604266;2839,54760902844;2080,58354872488
"Birkach";2446,61732848626;1090,03391049858;303,161701135611;101,096393696023;57,9619144985923;3418,97450273775;1717,35340412154;534,697693085349;198,028641820757;133,622499129424;3036,00334377113;1354,51070288691;394,900897460074;142,609648268222;88,9754076136697;3073,38828174387;1332,77944560374;387,187434643123;140,208685551364;86,4750738433331
"Botnang";5421,9204200889;1912,24505201434;442,263176870939;140,71717357141;80,3889566967793;7856,36116625942;3530,61354035763;991,175058818898;341,714334433436;202,800267895218;6933,74926841876;2566,39916872778;633,00567515652;207,721835771247;122,12405192569;7027,43872231164;2515,90355550276;609,554304285043;199,626111541128;116,312394929244
"Degerloch";7256,95637757153;2372,71786608302;538,275332844134;164,357393480601;92,3068229164008;9734,90426577324;4099,47975110413;1068,20124257725;347,916065842588;211,691000860971;8731,71210621143;3083,37611063338;742,525235517749;239,931936813117;139,454610824323;8814,4413642523;3021,42473587739;721,623701981857;234,751559043656;134,982212057105
"Feuerbach";8578,01215460697;5652,1182986884;1697,77019006359;600,986207821994;378,285726923919;14032,5906677998;8749,86097351288;3194,03040836899;1250,9132699098;853,518897005493;11684,1088123635;7149,40719067549;2285,97070782927;869,69399025717;577,819298874523;11825,7115578523;7086,84536473218;2225,3459390309;852,452713579663;560,868942411483
"Hedelfingen";2552,8747427454;1953,51771163258;637,556477075296;237,417344366346;150,954761345064;4418,31483061626;3009,50486415847;1163,23448782516;477,732530989909;335,345695730863;3576,88458418734;2497,5730721526;853,642576608933;337,173348687159;230,726418363972;3623,97083763763;2499,31928718823;831,694501858684;329,833212541796;225,25828740598
"Mitte";4653,85133983802;5723,60749986555;2479,36462134675;1084,90607393092;762,746547749122;7939,75318929107;7363,95969093654;3595,49740243074;1722,26876151348;1447,58774691168;6447,28718269274;6567,43365841771;2963,79515432789;1367,85683428796;1067,6271702737;6506,0152405837;6579,47129594345;2934,87671868183;1352,49252436675;1047,4647546591
"Möhringen";10397,9832621417;5449,13902537585;1591,16147490853;562,603235766229;346,893628541813;15879,9920830426;8882,28772638208;3016,65180869723;1114,72313801507;735,986830891193;13581,5402552287;7055,45613540029;2109,0117250191;780,085909140615;504,90597521129;13752,7188024554;6968,67933945574;2063,26619180352;754,984759951314;489,447914255871
"Mühlhausen";7057,1225757911;5246,0475584528;1663,41291010487;614,985017569283;395,179529277853;12602,0466689848;8309,29133557675;3272,05128713824;1316,79897327162;912,281594677878;10169,9483023235;6836,3293388227;2257,2117281521;871,126120448552;577,384510253159;10293,854960835;6874,76449667082;2181,44310728832;835,684294369611;552,799483233822
"Münster";1799,04795603994;1354,59127110506;426,029325695194;152,386369603697;94,585870488492;3073,14339333585;2083,01973058865;784,130934856357;314,101931173217;208,152161674593;2526,57519720844;1712,56850208822;565,419316535284;217,313415062918;144,123569105143;2560,10401096816;1710,30593904026;553,535998986098;211,128117290558;140,514979802815
"Nord";7642,10974947099;5200,60427420155;1778,68897636819;697,448868624948;450,794743089853;11626,0896324317;7511,80351530592;2859,52856569531;1217,56067712661;952,254819796057;9877,77234321032;6298,34831091259;2249,76691266749;929,613004657553;669,499428552052;9946,87592351221;6249,63767048334;2221,64496751717;914,862871745889;655,467972335521
"Obertürkheim";2809,23136604942;1544,44542305534;451,161066414367;161,656500214184;98,793365413954;4202,62962868843;2325,55475748238;826,402679135196;337,868455519212;226,038865077617;3609,95254714773;1909,09043090499;607,956573991258;230,110707208384;150,889740747643;3635,7887084693;1897,68003510615;596,842349634338;226,193686736657;145,840775118136
"Ost";10646,1225018439;11200,0940677054;4437,25991534984;1826,25905815082;1285,42316518914;18734,2696839143;15423,5514121971;6995,63108631295;3149,28745062948;2385,48346813059;15074,57612076;13474,7356039713;5468,19393720729;2370,53050031755;1756,96383774383;15152,9766549435;13536,6822226334;5385,27311404405;2335,31438965114;1713,98537882435
"Plieningen";4046,38100656833;2463,5870371485;844,779709717985;329,500342265534;214,131537791725;6281,25181442391;3788,07703930998;1433,62568712751;596,333766421685;433,316396931493;5341,13412781215;3067,87964814175;1067,20532908954;442,561340401253;311,219554555298;5396,63979061818;3035,13630521523;1048,13525026592;435,368686116644;305,332797691837
"Sillenbuch";8646,32013053412;3768,16259131953;982,024956919809;328,506567048065;194,373286800972;13080,3258658486;6486,08235825669;2026,36069682625;739,026455311798;469,062382142151;11289,2263316058;4968,18301940512;1379,57866131889;483,657750090407;299,354237579833;11412,7777962366;4910,12432705962;1340,45037756228;466,850393528727;289,152723887918
"Stammheim";3871,2621869116;2388,64250968946;680,904891157472;234,319255483388;140,812635799173;6197,09605056718;3794,16403483051;1276,34169407794;484,554669175449;314,671757107683;5190,77750703752;3067,96067894204;929,358371726614;338,151732466138;213,751709827685;5238,26051100281;3039,07107356041;906,845535982162;329,540976915824;207,679625383565
"Süd";13888,9023579053;9980,43658111435;3250,90195684642;1224,77743559072;776,148619844898;20150,4672411669;13709,4078743261;5120,32562836872;2099,39751703612;1485,61084955886;17319,0618975538;11743,1848958907;4045,39679857642;1594,72640602802;1085,63000195112;17431,1199185823;11697,5603952395;4004,77262135975;1581,15024308316;1063,82339389731
"Untertürkheim";3866,93983336453;3514,68278317635;1300,96746442819;520,515613818107;353,144545890667;7106,30605559622;5075,59122107326;2293,91774783267;1062,4144876657;850,134336910055;5618,98451542737;4332,14523689153;1698,05303441254;735,945278759313;553,871934509252;5674,08970035988;4349,71694712639;1678,81257056842;722,391094584411;539,943295392373
"Vaihingen";15350,0426788069;8802,31773049658;2806,46006285225;1028,91948604631;633,244149146773;22049,6953577637;13114,699360417;4480,73159951714;1791,19063900943;1232,34750991647;19236,6348921025;10756,6141286003;3490,34260032218;1354,3582682207;893,050110754256;19454,4685624615;10646,8816390342;3434,98491973968;1335,44296704629;878,176794203804
