"Stadtteil";"u_intervall_1";"u_intervall_2";"u_intervall_3";"u_intervall_4";"u_intervall_5";"o_intervall_1";"o_intervall_2";"o_intervall_3";"o_intervall_4";"o_intervall_5";"mean_1";"mean_2";"mean_3";"mean_4";"mean_5";"median_1";"median_2";"median_3";"median_4";"median_5"
"Altenburg";358,976512799522;276,529922198024;77,5932421205556;26,9683753749662;16,189043160202;700,927417336965;458,962606778317;178,961007067972;73,6564311960524;51,3544925590401;549,21614781597;364,500877097416;119,767925751989;45,9160253517564;30,5990239828684;560,32589744803;361,281111546681;117,110390361897;44,5636271134584;29,5293452160707
"Am Bismarckturm";204,427799299454;62,6059028116813;12,738038107922;3,77254645303126;2,00877512708414;328,759443425496;144,168539273562;39,391587346341;12,9962284078331;7,68390464923674;281,935283201669;95,4846634032891;22,442639678417;7,09167459795722;4,04573911866715;286,302474895889;92,5950770026696;21,4503807319886;6,68068125526323;3,81094824232999
"Am Pragfriedhof";285,266872703721;316,536784020626;110,052930402679;41,2170110378153;26,2342871107981;544,248577139289;430,552914680361;199,028617041964;90,4653850160565;71,4525314035895;420,147071573245;376,743520713367;151,140570256697;64,0210108218335;45,9478266348581;419,461115685287;377,608803293972;150,793545729883;63,7763257001822;45,6398590277783
"Am Rosensteinpark";6,36812993099594;7,41757150925085;2,26608457245132;0,862028481980945;0,544039176540194;11,6869596197047;9,42861532280773;4,26597698291529;1,87283299281174;1,41102102468929;8,82197268376555;8,61640827961469;3,28746518998631;1,33463791842217;0,939515928211288;8,72462315987793;8,67661273590395;3,30260894116091;1,3296749237719;0,936357548387859
"An der Burg";368,988571753864;167,129273213123;38,4787439569851;12,3719311301135;7,11380392213398;689,941676306771;356,342049879744;119,466196105224;46,62271203023;32,5809227954791;540,715396239477;258,762634519262;73,0355679277693;26,4589676127803;17,0274337007115;548,363974407911;256,406529925242;70,7138950714959;25,3714503431584;15,9019271701471
"Asemwald";799,250852005669;129,61462944761;23,2323029436192;6,21505077431475;3,33113638273508;1310,60905598977;493,653654536989;121,576575397198;38,6575967747044;21,0861342517009;1131,1827180757;268,102654393966;52,1412746443206;15,2143760239466;8,3589768620695;1165,53976166373;245,753628177225;44,5107371351157;12,7686383377824;6,85786116919358
"Auf der Prag";495,358378318397;1053,87969555759;391,739528744524;159,205793737817;106,615621205644;1476,53577487305;1357,56746294475;790,942181404903;431,409968719536;401,365666401691;955,84474800284;1225,22912779992;594,864165402792;281,835641207137;228,226317587314;940,36488541802;1233,10885442792;592,912053421672;280,593961573913;221,235198866753
"Bahnhof Feuerbach";554,973812801112;478,047863746985;136,681244025557;47,7941038594789;29,7682946619017;1095,36416168645;729,676950813957;308,016802545667;130,793487278192;98,8769226017144;848,936598383947;600,891301196119;209,066454254207;82,6780531489982;56,4275930167295;863,091439488544;599,927878817886;203,610470131753;79,7252165396173;53,2180953899903
"Benzviertel";57,3465905397404;43,4281165364905;13,2909578930217;4,65852270051724;2,85111014173031;94,9626575172465;64,7057999373731;24,0416699427778;9,90011818044312;7,17437485168562;76,6895450170237;54,003634452237;18,3021023141357;7,18292146383912;4,82179675276452;77,1268263668368;53,5323690282093;18,1982271350506;7,14418051850206;4,7417440143592
"Berg";442,059251345399;650,194731524678;259,45916695137;106,194788696282;72,6706381985514;930,275298679632;859,269813298536;434,162245429603;207,511240231704;169,919253621389;695,57999907585;770,663820372906;332,717374502606;147,433518732903;111,605287315736;697,349708843146;778,441930667997;328,372605832462;143,772070099572;107,501551082961
"Bergheim";987,079731857598;435,947507231435;103,825434593044;32,9557762781786;18,3245510808185;1747,3651030711;901,392850465276;287,147900670747;106,258421621892;64,3294229124437;1439,78074857427;642,630056563848;170,292089942398;58,1334404570754;35,1636644624098;1461,84226333764;632,476778190214;162,311370605076;54,3691833613401;32,8694461482304
"Birkach-Nord";502,922989775701;303,079395365247;84,9580166607795;30,5558078357945;18,3017325645667;865,127733253281;509,560538813927;180,419496106479;71,1744334503537;50,0227760863835;703,272174236842;402,724676012149;125,033025475889;47,5887127289698;31,3814115461512;710,503029285382;400,87249585126;121,809384676055;46,2526590650481;30,2164618153205
"Birkach-Süd";1259,52499499565;566,553176199558;154,508326156038;49,706626329133;28,5235058407762;1784,55398310466;874,064678605088;287,470602104627;113,800868038818;74,7004536677529;1564,93789349916;694,097661689543;214,878592503662;78,5914306632992;48,4944216443344;1575,28585688642;683,069666360607;211,979264398352;77,3428879774696;47,1524932845171
"Birkenäcker";1002,68400954069;823,018694125129;257,299076257023;93,6091128441657;57,6633420158843;1883,67721719459;1282,90579903872;506,868702646184;210,655558427289;147,358012363507;1498,49353653108;1055,37417386395;353,940785290293;137,471197105015;91,7203072096603;1513,67077077911;1054,18321415287;345,09813731583;133,464955091059;88,3549207183519
"Bopser";1115,43774332568;501,492463110952;130,702898198282;42,8947785299357;25,1482810420339;1625,80923357518;827,391844345775;253,349827773174;96,1720864870548;65,5459224695269;1398,96983417384;649,949882988588;183,926963105644;66,3898851750973;41,7634345568351;1411,60814927261;643,293958268097;180,481016655337;65,0340279351483;40,4724545780224
"Botnang-Nord";1079,1791856583;528,457608909375;125,65531630242;39,5323954486633;22,7003304174944;1989,66475202683;1069,24998539426;354,01850513969;133,04401982801;80,8344063683916;1616,38821659285;776,364359984527;209,274584561357;71,196375019094;42,7764638421718;1643,51243613782;765,499626159419;199,419993411597;67,7760246224143;40,2682983502751
"Botnang-Ost";1095,97590494979;463,110455112777;108,615183368804;33,5972812398637;18,8335502855669;1606,10183209394;784,44454379306;232,647704235404;81,1513190633675;50,8165945121945;1400,26792647876;595,438591638082;156,810809884396;52,9005295497462;31,5821424490126;1415,56791711954;584,25656309078;153,201292790329;51,3666395684772;30,7268900813937
"Botnang-Süd";1992,14946955954;474,755375734617;91,3874446074525;26,4580203882426;14,3371821458528;2897,0084354202;1117,36292789068;271,002695012254;87,2269647002927;50,3908926701929;2553,54061314145;725,871035396946;156,47491085362;48,5212850931945;27,5921555147915;2583,24237757519;706,442228305914;149,249990831818;45,9359204762798;26,122713715151
"Botnang-West";1072,38519921745;334,105648683032;66,3200166193568;19,5752909044196;10,581087207664;1564,09228261828;666,38542932594;173,780850513461;57,7213861209652;35,239602420885;1363,74840763213;468,687205438617;110,361715105548;35,0665374191951;20,1361344045069;1380,3337812782;458,223369877274;105,955361408048;33,5899662795757;19,2503563377905
"Bruckwiesen";4,03768756203227;6,12608613074336;3,18021066880731;1,38338652591316;0,885635862818225;7,54906649799826;7,60020145824735;4,43794663583393;2,65586831936628;2,39896782269818;5,71018096212292;6,86542930072006;3,84259204205085;2,00294960912548;1,5788480859807;5,66554930811147;6,86250045138785;3,86575920823087;2,00340676893296;1,54599945987309
