"Stadtbezirk";"u_intervall_1";"u_intervall_2";"u_intervall_3";"u_intervall_4";"u_intervall_5";"o_intervall_1";"o_intervall_2";"o_intervall_3";"o_intervall_4";"o_intervall_5";"mean_1";"mean_2";"mean_3";"mean_4";"mean_5";"median_1";"median_2";"median_3";"median_4";"median_5"
"Bad Cannstatt";10635,1724290917;18891,824646877;7227,8785969065;1449,83009241214;457,109259116781;14943,5226011312;21177,2680211947;9976,81298412446;2473,24728183007;993,778650692119;12665,4913897538;20103,9220003067;8528,43910545635;1914,43655975174;693,710944731329;12589,5239831162;20127,1328551143;8512,19846212622;1890,34839056522;676,997517029979
"Birkach";1959,10672142257;1300,40652391931;242,902604541251;40,0788787086046;11,9006105148462;2543,26465947056;1700,79278104448;415,011871656746;81,2435421801714;29,5370437641239;2246,16094861663;1505,40489350592;322,658899963747;57,2433476893027;19,5319102244004;2247,44515772374;1509,93725517342;319,077258160725;56,2892479276515;19,1415350113049
"Botnang";3666,38069583852;2210,46091153464;374,846642835301;59,9475081839886;18,6058273446781;4902,36258224683;3077,90045246646;700,409710784818;131,041578072158;47,4475262794893;4311,18907184727;2637,59100213993;521,118118528758;90,4159886969085;30,6858187871331;4313,23776097466;2642,602666299;514,20768887565;89,4498336987641;29,8561919605452
"Degerloch";5494,45190949937;2459,00362914184;387,717277233987;61,6945429038246;18,4775307832964;7010,12408044401;3558,91700017139;707,484929832385;128,547478962868;48,1983737290397;6293,66057546261;3001,14380019524;536,105773851877;91,1791096137585;30,9107408765085;6299,15818077262;3001,6389708783;529,908434593581;89,5587652459606;30,2469077430041
"Feuerbach";5512,13731862706;7168,12306004721;1769,35213845394;308,224197495355;98,1597849642331;8484,03004501394;8680,61256619652;3068,13562278663;654,213463332701;250,49457618957;6914,22747636061;8050,8567322317;2389,83264851111;461,698575550987;160,384567345602;6861,33859819214;8086,98032295285;2376,28259252503;459,208704275119;155,038477781921
"Hedelfingen";1532,30549840159;2447,47165482211;852,217403683847;162,096505635642;51,4454807620122;2361,50921544427;2831,67274172378;1342,68598238519;336,835696477928;130,636868343085;1925,40096487499;2658,91351905504;1080,03753933316;239,35871011213;86,2892666246838;1914,39513322434;2667,86074840502;1076,47198404469;236,405674403069;84,451472766983
"Mitte";4949,21647814069;6658,95766770055;1835,1506511491;333,876097325124;101,015707634631;6906,89475177225;7636,22117355528;2747,04894551911;599,769367840118;235,787543656843;5925,44405858968;7182,37913188499;2282,26817321591;455,807017908556;160,101618400865;5928,15251017335;7202,53615569825;2269,55191964674;449,509966220869;157,864707999772
"Möhringen";6366,40548991223;7220,82645818661;1745,50016048069;294,349016935549;93,5900981838632;8896,88798904634;8615,90093008585;2794,01584956524;596,885198263456;232,172780835911;7604,79487786314;7955,90960053168;2248,67312449285;431,092480226713;149,529916885624;7597,3356609441;7976,84706844258;2238,19607159306;423,868689889776;144,937442228608
"Mühlhausen";4088,9972575258;6360,30118020509;1736,52677830306;307,415386220879;97,3797659574888;6766,13746517986;7574,49988582807;3009,87036020179;707,74745606135;254,251650669641;5413,92716463624;7054,79288578062;2315,47533689029;464,440282320672;162,364330372166;5418,83753436569;7089,12361037643;2285,68841440774;450,644953642409;157,276659471324
"Münster";1083,44127968617;1719,90685969671;484,020608575591;86,0416716144777;26,975396069254;1643,95585178983;1979,49625995474;768,860158160868;171,261685958991;65,3005261584266;1339,5201462898;1870,10019069433;619,978767549523;123,264405296336;43,1364901700121;1335,41240666572;1874,70204338575;616,506660738372;120,980275905485;42,1151563189938
"Nord";4636,06501270975;6989,05988968624;2121,31161982281;395,057517404637;123,841876926802;6873,44300192679;8000,21263902754;3301,59014138649;768,721957344816;300,34152991786;5681,19425216083;7568,4846665027;2700,0590064563;564,872033559308;200,390041320856;5687,89246441633;7584,89309954784;2695,61816459538;554,756439297024;194,797703541451
"Obertürkheim";1897,77551012652;1969,83160712697;513,934578672092;92,6738322960789;28,2977554111515;2678,88908484347;2389,86222519478;862,716967276322;189,618627708194;71,0438282312305;2294,98365798608;2188,10107701574;679,002626877339;135,437944967062;47,4746931537816;2291,69783757249;2194,35675325506;673,854809288035;134,263508289853;46,3790663619945
"Ost";5763,57646853958;13437,2823832882;6370,84796702114;1395,69414489334;461,585746443566;8705,73007675743;14927,1280424438;8741,0928336237;2443,67782312932;994,324934840939;7122,68307871102;14193,8889543654;7562,62242011747;1879,75331609114;699,052230714972;7073,35475508813;14190,3906858142;7562,121680491;1856,6042189462;693,13032206185
"Plieningen";2722,34197842413;3158,00441806261;771,623054130768;134,979047687392;44,0503420450854;3945,52148569863;3763,27249883931;1363,98908745555;295,00129577862;112,154647259224;3303,01249396066;3493,27753754151;1045,38008529246;204,956173658587;71,3737095467812;3283,40518246967;3503,92482938684;1041,04371542151;202,049131062442;69,3162661685488
"Sillenbuch";5804,62482561646;4466,87851979639;949,296983743579;158,201300771511;48,3900746052635;7883,34203756738;5753,32108755561;1659,57083153125;329,632266748011;122,090701643257;6862,37449677364;5106,8025851382;1254,05821186436;232,567664736004;80,1970414877984;6876,68232910031;5107,91798717021;1239,79909474451;226,849254537151;77,6635835561967
