"Stadtbezirk";"u_intervall_1";"u_intervall_2";"u_intervall_3";"u_intervall_4";"u_intervall_5";"o_intervall_1";"o_intervall_2";"o_intervall_3";"o_intervall_4";"o_intervall_5";"mean_1";"mean_2";"mean_3";"mean_4";"mean_5";"median_1";"median_2";"median_3";"median_4";"median_5"
"Bad Cannstatt";13522,0431381968;19674,6455959515;7288,03181368375;1640,97845979318;434,755371726962;14707,6552684485;20391,541284641;8007,12556630765;1891,22320012919;752,254131441022;13951,661845976;20019,5184586143;7558,96295199675;1759,81365726042;616,043086152549;13759,6767196858;20003,5478919296;7454,70914258623;1752,41698349482;642,558773880264
"Birkach";2123,25675277482;1416,10376264746;289,307740284078;60,8088386878161;16,009327954785;2361,44090652453;1568,26605435758;362,024659879883;77,5739941019464;25,5155488699575;2238,41857339355;1489,69798968829;334,395600113362;66,3529379910257;22,1348988137756;2233,79474250398;1486,77220284802;344,665482503222;63,0135516335486;23,7495581095454
"Botnang";3722,52663691243;2326,8434889426;440,964900414816;88,8155129506757;27,2112261475411;4704,05187735154;2947,32749453309;705,848990341977;154,781922968226;61,0367733764076;4275,71472336814;2595,55110128815;568,199444464169;113,076064820862;38,4586660586825;4349,15644835185;2546,6871125238;562,072972800372;102,814119951934;31,7935675842215
"Degerloch";6157,48847276482;2978,72864753233;548,090212926741;101,540579393549;26,9290652467544;6259,34109289052;3060,91381048207;596,381980622683;121,22879716955;44,2221773934;6218,73895430901;3009,66122232966;577,193904335695;110,659866958933;36,7460520667036;6230,88503840471;2997,70827329725;583,026619113321;109,807135991149;38,1230294156758
"Feuerbach";6332,14416057298;7790,3297548126;2322,79399016024;537,452645683069;141,402713896941;7076,21679806111;8147,11590563016;2728,71210386344;637,074239032875;220,770177290626;6733,70708190338;7920,71729501725;2563,80529492187;565,15245829689;193,617869860619;6768,44426141671;7864,24019477709;2608,57264540425;539,139535872089;208,36072193925
"Hedelfingen";1932,67020196138;2628,82707164966;917,035272563529;197,700905328104;52,1847259716433;2188,11689138888;2763,85944083229;1032,71524068823;242,613493810177;96,6394602824389;2021,47766768818;2699,83069912778;968,901372793666;222,065207880547;77,7250525098191;1975,69428064472;2703,93357311226;961,873274167534;224,309923541026;81,6226517836756
"Mitte";4634,00976407851;7239,69165462324;2501,18992452482;557,110556989093;188,966322865147;5347,6319294027;7352,03340925622;3124,03291859444;724,252927894073;259,012482913613;5099,92751743223;7317,1403217981;2738,21506308132;633,35230688378;217,364790804566;5228,28830648119;7342,17301574914;2650,68993545978;624,729441521659;209,571129528314
"Möhringen";7286,76215187822;7308,84256155261;1988,77856940065;365,412878810496;106,693066228816;8584,22548359975;7995,02971822044;2340,81078897784;548,636531872065;218,760809051427;8010,7594793588;7640,29064095881;2130,99050552839;452,863709090649;155,095665063355;8099,30731655857;7626,59005398502;2091,22088945678;447,968419384025;146,117697325984
"Mühlhausen";4027,0768332339;6758,97541326467;2078,3628000946;489,323684197767;151,214172548226;5891,72312749797;7208,31233330686;3094,34266847442;818,339935562288;272,046510417426;4919,48648627916;6952,59936017712;2685,22989314029;633,983288570144;219,700971833292;4872,52943441236;6916,07640357871;2801,55596238238;610,632087029105;229,195831069135
"Münster";1304,06378138973;1715,33707480285;527,211285436853;113,746652231006;30,3104530814567;1592,30440975991;1839,31927192054;644,731781731394;158,403994271151;50,3257817659889;1471,16037702037;1767,56447883029;582,849893263236;129,804775998024;44,6204748880806;1498,19129636808;1756,07777938158;579,177375238662;122,427661582665;49,682071904972
"Nord";5877,56093897708;6944,56780542077;1833,41047660264;403,070860037843;149,511249432477;7364,71596750673;7463,81186497965;2648,42928254879;575,686664062003;164,026220753266;6636,77243063781;7222,03893232383;2216,64332724037;480,163240528519;159,382069269463;6655,16534522123;7243,03787011632;2188,08267743409;469,321450503337;162,456580065454
"Obertürkheim";2253,76658690502;2168,23174782801;551,032479387029;122,040424359956;32,5361156755896;2455,58234064219;2277,30989755776;651,037669071859;142,814784447182;49,4602504547199;2346,19220905643;2214,28167597817;612,620473058052;128,487944909717;43,417696997627;2336,21308585976;2204,29444454909;626,250354032885;123,853051387539;46,2641839770061
"Ost";7768,76214192197;14291,8108390611;5676,01954780787;1344,38617643732;363,871969955156;9601,41889364388;14708,2417190549;6716,91328153285;1786,76452063638;626,331834129096;8708,01599202784;14471,3291594573;6215,81519305288;1523,30150357377;539,538151888223;8734,98713819834;14437,56784228;6238,5784617382;1473,56756832308;591,81609288363
"Plieningen";3819,84699244487;3182,78548023018;766,086605018133;158,005967207925;40,9273519240582;3919,20948539968;3216,32765884255;864,094702359808;171,933157179895;67,2334886491361;3888,31083170838;3201,56023877346;807,591692217449;164,824303181866;55,7129341188413;3910,40799969203;3203,91749669946;798,769384603894;164,653410226521;57,6335386273638
"Sillenbuch";6308,54401952022;4746,58322797872;1070,60366369232;201,385116247681;52,5616182830916;7463,14988312595;5464,99732385426;1366,5027244311;304,418108855341;95,3663842729677;6943,41496012708;5065,96283975372;1201,33965239618;243,311795271806;81,9707524512204;7011,14202930824;5019,1070325034;1181,08842690732;232,029657295683;91,3904597137977
