"Stadtbezirk";"u_intervall_1";"u_intervall_2";"u_intervall_3";"u_intervall_4";"u_intervall_5";"o_intervall_1";"o_intervall_2";"o_intervall_3";"o_intervall_4";"o_intervall_5";"mean_1";"mean_2";"mean_3";"mean_4";"mean_5";"median_1";"median_2";"median_3";"median_4";"median_5"
"Bad Cannstatt";12401,2961561825;16009,7549625342;6274,6114325515;2491,21266240232;1673,38345674294;16911,7785106967;18384,1202535829;8091,52599020222;3421,02419701432;2422,8621336271;14577,2183635788;17277,8398601387;7094,0668562567;2924,60642264571;2032,26849738012;14551,1776962616;17312,6602828702;7058,60534242952;2912,64838845114;2019,21934833697
"Birkach";1746,53736779273;1240,58722301605;379,850814237047;136,573989071915;83,2589225250264;2277,75395353188;1529,46680305835;551,748875593573;223,527681001007;149,874033166066;2011,34923370817;1390,06716154823;458,885640836317;176,993236658122;113,704727249168;2011,22261707859;1387,74851987024;458,046697277001;176,179645934457;112,062870367656
"Botnang";3552,99958865286;2155,79399884531;508,34266630115;156,589333364671;90,3602437585866;4664,33607424865;2821,09951162842;808,597939127858;271,652268586986;161,935347683232;4137,40238387985;2475,4648176542;645,397992419785;210,316422160944;122,418383885222;4152,72353588753;2468,80907070155;636,640450218267;209,171657189564;120,898345038837
"Degerloch";5057,66394533993;2701,85282940808;600,961797515174;182,909294876474;102,575466006077;6325,86206608786;3499,53621795931;946,699067350995;304,831936477047;177,650926890266;5733,28011368618;3088,08999029754;755,70757939641;239,175907795232;136,74640882463;5737,98339103299;3081,86116174243;752,482548120552;237,570448781546;136,23940407602
"Feuerbach";5707,64504213647;6254,30254646325;1921,75904069739;684,936164275371;416,034548224854;8574,23201666632;7534,22704843297;2968,39585554065;1160,92160792638;778,51671780228;7152,61427904411;6931,90221355425;2407,29370320537;902,91303528055;582,276768915722;7170,36610189929;6942,12264819433;2403,80908179927;896,621822709401;574,901903189097
"Hedelfingen";1675,91854341569;2142,62948576155;730,329732479676;262,961171803281;166,342455761595;2627,86544109959;2550,56572063468;1090,46588342893;448,785339287306;311,555262822457;2135,12090422341;2368,40913869684;900,16502618183;352,587539623728;233,717391274195;2135,3685900078;2377,12514846411;894,300429420757;351,625520177277;232,029747644295
"Mitte";3776,17180804377;5926,87088454099;2467,3324042425;1037,21263100267;731,493670424773;5560,18616368971;6632,74837565438;3260,44571256541;1489,66657966245;1135,29580999245;4695,88006750848;6302,25923752385;2845,15035965247;1247,26204103357;915,44829428164;4697,52485783638;6300,61592897453;2841,17338279971;1239,18839424799;912,296134191892
"Möhringen";6948,00313095487;6134,44171816519;1822,23283984565;631,936830846397;394,29274803734;9284,61084631476;7399,11057867764;2617,69855699914;996,514975312102;636,380997804406;8118,92705812129;6785,41166609214;2186,13282377796;796,378171508512;503,150280500091;8116,40952089769;6790,82483606768;2179,27873371455;790,748706624612;501,627458476618
"Mühlhausen";4322,03117294449;5522,82526145495;1912,8269598653;715,877057878073;462,797604826327;6552,57448567862;6536,32291554109;2780,66934892279;1184,84727361169;809,315853257426;5473,91442718274;6078,37494447701;2329,33561239647;918,639684797666;610,735331146119;5468,73722326185;6094,83245849883;2322,58585434967;907,334657715518;605,326879801789
"Münster";1153,83031437211;1451,2232322937;460,558875832689;164,563647759914;102,842911489416;1786,67540050199;1713,93650092419;701,53445508452;280,040454883531;188,820431417253;1464,81505046908;1593,85182052319;576,287404497673;219,104590294299;141,941134215762;1466,47979461106;1597,28712296494;574,071468500295;218,295948510958;140,80006484798
