"";"Observation.No";"Observed.y";"Predicted.Prob";"Predicted.y"
"2007";1532;1;0,463295474871936;0
"2028";1550;0;0,520036758751321;1
"1103";836;0;0,3273699250622;0
"1751";1327;0;0,605126545675196;1
"1041";792;1;0,354120157919989;0
"1283";981;1;0,576129003495703;1
"1489";1137;0;0,408276545320709;0
"2930";2227;0;0,356208779947454;0
"960";729;0;0,308809394202868;0
"2045";1560;1;0,536210575687202;1
"1322";1012;1;0,603597325645349;1
"2411";1848;0;0,620449160966901;1
"2319";1774;0;0,335479833695243;0
"1578";1199;0;0,339217020487124;0
"738";564;0;0,465151426096934;0
"1545";1172;0;0,134126382797159;0
"2906";2208;0;0,263975664431882;0
"2962";2245;0;0,446590142267075;0
"2969";2250;0;0,435189845784441;0
"431";337;0;0,240835691391428;0
"655";504;1;0,567133223086053;1
"2240";1711;0;0,482994294316717;0
"594";456;1;0,462771135760981;0
"1441";1103;0;0,342928499263244;0
"3069";2323;1;0,709342820257191;1
"1645";1248;1;0,34930440861886;0
"550";424;0;0,234481794259573;0
"2501";1913;0;0,327912783266144;0
"1797";1364;1;0,346912626067888;0
"2476";1895;1;0,548930369219237;1
"80";59;0;0,300726431510464;0
"2456";1878;0;0,305003710423984;0
"1089";824;0;0,512678281955304;1
"2154";1642;0;0,541282814482832;1
"324";248;0;0,462126501004564;0
"2393";1833;1;0,411504493676188;0
"1653";1255;1;0,626694845672621;1
"3101";2344;1;0,636352860130877;1
"24";17;0;0,450340025774312;0
"239";177;1;0,479656258320553;0
"1130";860;0;0,214713008275222;0
"33";24;0;0,511521039502039;1
"2692";2049;0;0,338540052711276;0
"838";641;1;0,217222976919945;0
"1264";963;1;0,439418745077096;0
"1183";897;1;0,190939652130256;0
"2992";2268;1;0,413408704634775;0
"1142";869;0;0,300864715978751;0
"185";132;0;0,349147528458565;0
"607";468;0;0,414522592923208;0
"459";359;1;0,614472676587255;1
"566";435;0;0,544071900752122;1
"2056";1567;1;0,241098548851497;0
"1556";1181;0;0,345670337299982;0
"1569";1192;0;0,352033354941261;0
"2811";2138;0;0,343695912139031;0
"492";382;0;0,515402119402347;1
"951";722;1;0,483554307189871;0
"2144";1635;1;0,494618474251895;0
"1049";797;1;0,406987287661692;0
"658";507;1;0,402275757948193;0
"624";480;1;0,522558475988996;1
"1438";1100;0;0,506338807259642;1
"853";651;1;0,717915276272486;1
"266";202;0;0,707891121709689;1
"2169";1653;0;0,472032416177369;0
"1213";920;0;0,289809998433493;0
"1465";1118;1;0,444226544998292;0
"3026";2294;0;0,719706752923617;1
"2053";1564;0;0,454258189908282;0
"2710";2063;0;0,330694015238706;0
"2788";2121;0;0,428127694556546;0
"1206";914;1;0,479928409095694;0
"316";240;0;0,361578833218536;0
"1435";1098;0;0,353507369802416;0
"2679";2039;1;0,485647987254834;0
"2919";2219;1;0,489831326196807;0
"2602";1983;1;0,334392923903029;0
"3030";2298;0;0,518938928945959;1
"2835";2159;1;0,205421411992443;0
"2966";2248;1;0,505582254369737;1
"1671";1267;1;0,721109695730327;1
"1263";962;0;0,32066619790694;0
"2754";2091;1;0,45675237763674;0
"38";27;1;0,302821767128179;0
"1842";1402;0;0,435768391998145;0
"317";241;1;0,367041520542825;0
"2987";2264;1;0,31534965704642;0
"1698";1283;0;0,250726035794392;0
"3034";2300;0;0,396106298946214;0
"937";710;0;0,264514897966833;0
"50";36;0;0,278084481054102;0
"1289";986;0;0,31247170135575;0
"2477";1896;1;0,420567440202344;0
"2497";1909;1;0,590238734972245;1
"3019";2290;1;0,328907537279221;0
"1998";1526;0;0,396702025538983;0
"1164";885;0;0,396383668487869;0
"1006";762;0;0,521912594671323;1
"3060";2319;0;0,425049882326162;0
"1927";1470;0;0,54826789665512;1
"583";446;0;0,310249173558992;0
"466";363;1;0,537562327739544;1
"921";698;0;0,257002393665856;0
"2186";1668;1;0,642833928076777;1
"2733";2076;0;0,164171413653852;0
"1436";1099;0;0,335529879725501;0
"366";282;1;0,562278053836879;1
"271";207;1;0,647650161490245;1
"1736";1315;1;0,354814272384166;0
"1763";1337;0;0,301037325415038;0
"1161";883;1;0,567346190455659;1
"2921";2221;1;0,613197691407491;1
"2582";1967;0;0,491956289400375;0
"2784";2118;1;0,609727131206378;1
"2805";2135;1;0,746018679090356;1
"553";427;1;0,649483609829074;1
"1997";1525;0;0,495313236323075;0
"961";730;0;0,460011178370065;0
"3008";2282;1;0,427330994790403;0
"906";690;0;0,393804350145413;0
"1379";1056;0;0,644131225017573;1
"96";71;1;0,586240009377286;1
"62";46;0;0,363563092288373;0
"2880";2190;1;0,348081480894486;0
"1419";1086;1;0,680359955916766;1
"973";738;0;0,369182381306206;0
"1859";1416;1;0,47813703837074;0
"805";615;1;0,663467683096372;1
"227";165;1;0,39427632183398;0
"1833";1394;1;0,511920703921355;1
"1717";1301;1;0,497953865020212;0
"1348";1032;1;0,723982659156698;1
"2444";1870;0;0,550000562555102;1
"549";423;1;0,479039614108227;0
"2356";1801;0;0,614759425048045;1
"745";570;1;0,567638257105191;1
"2798";2128;0;0,480664784066957;0
"1651";1253;1;0,375966416390815;0
"2298";1758;0;0,382335577943728;0
"2245";1714;1;0,300475246379783;0
"1737";1316;0;0,333713775233204;0
"3124";2363;1;0,319544331370889;0
"2366";1809;1;0,459350783512116;0
"1559";1184;1;0,463544593067276;0
"1262";961;1;0,408493356592936;0
"570";438;1;0,294692467168516;0
"1315";1007;0;0,370187029049521;0
"1087";823;0;0,312316020746917;0
"2378";1819;1;0,3047383804579;0
"3090";2336;0;0,294688761772492;0
"2975";2255;0;0,159574983348868;0
"807";617;0;0,368366702739254;0
"1522";1156;1;0,49330276231058;0
"2473";1892;1;0,498171550152311;0
"2363";1806;0;0,450003783908976;0
"3132";2368;0;0,43934184968625;0
"2704";2058;1;0,595528317576142;1
"2339";1790;1;0,722093954931856;1
"855";653;0;0,417165980802019;0
"1180";894;0;0,365137498801798;0
"2839";2163;0;0,286733264253026;0
"1048";796;0;0,33604850446538;0
"1845";1404;0;0,360674578715317;0
"177";128;1;0,349591597872181;0
"1785";1354;1;0,57003608541972;1
"2462";1882;0;0,451676825197932;0
"1325";1014;1;0,665360463246473;1
"422";328;1;0,471999010527012;0
"1422";1088;0;0,307847460645824;0
"259";196;1;0,244212394121065;0
"892";680;0;0,683673759077255;1
"1962";1498;0;0,357126355743494;0
"3013";2286;1;0,564480824330915;1
"1897";1447;1;0,457186138023584;0
"3095";2341;0;0,523776753331706;1
"2204";1683;1;0,674681579736876;1
"439";343;1;0,572244801011336;1
"3016";2289;0;0,47274978291624;0
"908";691;0;0,188739912679218;0
"212";154;1;0,554017624039864;1
"2276";1740;1;0,72210797926401;1
"1155";878;1;0,399607465356261;0
"2309";1766;0;0,352363142780661;0
"629";485;1;0,527121488291372;1
"2163";1649;1;0,507161367712221;1
"209";152;0;0,71133455847479;1
"692";532;1;0,399962965322438;0
"930";704;0;0,287253737115365;0
"3127";2365;1;0,588078993858216;1
"1584";1204;0;0,560090753127151;1
"1820";1385;0;0,556917787748868;1
"1601";1217;1;0,439531722445341;0
"519";404;0;0,632755693168133;1
"2481";1899;1;0,62124458083605;1
"298";224;0;0,367988319537412;0
"2883";2192;0;0,478974574859422;0
"2155";1643;0;0,339520190841482;0
"1243";946;1;0,572878907775949;1
"2414";1851;0;0,108453009903375;0
"2973";2253;1;0,311200734676309;0
"671";516;1;0,298249144289307;0
"2577";1963;0;0,524106329851665;1
"503";391;1;0,408471075889484;0
"994";752;1;0,340970840044036;0
"513";400;1;0,199312079700756;0
"1860";1417;0;0,396501576015201;0
"244";182;1;0,419324017042161;0
"396";308;0;0,294320961820796;0
"1255";956;1;0,755786980514345;1
"272";208;1;0,619497744561908;1
"2262";1727;1;0,507889489626762;1
"894";681;0;0,610409766318094;1
"1296";992;0;0,380298042050335;0
"436";341;1;0,514479120346125;1
"285";217;1;0,524567925394747;1
"2988";2265;1;0,48582682653657;0
"352";272;1;0,737923613354659;1
"2087";1593;0;0,410542835342443;0
"392";304;0;0,630587262864448;1
"1008";764;1;0,651460551515486;1
"1816";1382;0;0,56045971664902;1
"2559";1951;0;0,553082189791671;1
"1154";877;1;0,576177566471127;1
"1223";927;1;0,438315896082901;0
"2064";1574;1;0,26187213173618;0
"666";513;0;0,347062616140789;0
"2376";1817;1;0,4358759377706;0
"1375";1053;1;0,543741097821056;1
"1858";1415;0;0,277564680156351;0
"2216";1692;0;0,283492999006474;0
"2373";1815;0;0,334772179286923;0
"1193";904;1;0,727312370365351;1
"115";85;0;0,348021647169355;0
"2863";2181;0;0,501195460941159;1
"1040";791;1;0,675155119780688;1
"1670";1266;1;0,675274315795221;1
"1080";817;1;0,659517413434839;1
"1868";1424;0;0,485741639589553;0
"1463";1117;0;0,424776397498184;0
"718";550;0;0,187617438222652;0
"15";12;1;0,319893384295473;0
"772";590;0;0,497841636836621;0
"2535";1937;0;0,310396710491298;0
"956";725;1;0,513838956895028;1
"2189";1670;0;0,355201295829099;0
"223";162;1;0,538876157959666;1
"269";205;1;0,343415438969063;0
"2932";2229;1;0,190669451953113;0
"2467";1887;0;0,318787352016784;0
"2440";1866;0;0,308681907753356;0
"638";491;0;0,502045651077811;1
"1983";1515;1;0,711467238142968;1
"2904";2207;0;0,444692572234731;0
"826";631;0;0,372590151471494;0
"1800";1367;0;0,270203915387347;0
"30";21;1;0,571167218547586;1
"569";437;0;0,744620316107299;1
"1121";852;0;0,361757879505858;0
"2711";2064;1;0,309684372092026;0
"995";753;0;0,61658088915469;1
"1204";913;0;0,312740694046977;0
"2824";2148;1;0,47138319868186;0
"579";442;1;0,540660344129529;1
"208";151;1;0,573820181287413;1
"1768";1341;1;0,433889640455986;0
"2091";1596;0;0,621968602706446;1
"342";263;0;0,515068227323504;1
"1723";1306;0;0,386792104271237;0
"531";412;1;0,364478763161501;0
"2239";1710;0;0,45563871765481;0
"2334";1786;1;0,579646608091127;1
"2706";2060;1;0,246715066218913;0
"112";82;0;0,439027865198461;0
"1945";1485;1;0,479827946279427;0
"584";447;0;0,60364993870207;1
"586";449;1;0,389488317127024;0
"2681";2040;1;0,610335965470043;1
"2156";1644;1;0,683866581557042;1
"1390";1065;1;0,537274465293672;1
"2325";1780;1;0,502522229263186;1
"835";639;0;0,2660650600179;0
"2742";2081;0;0,503604242501291;1
"1839";1400;0;0,424482827368031;0
"476";369;1;0,646867208772139;1
"1898";1448;0;0,412455196500323;0
"782";597;1;0,268393954056563;0
"771";589;0;0,411467821826713;0
"1895";1446;0;0,194699063792237;0
"2791";2123;1;0,279771111945461;0
"2182";1664;0;0,591466594698124;1
"1773";1345;0;0,503448953401218;1
"1656";1257;0;0,299914155203887;0
"779";596;0;0,30542343070146;0
"2268";1732;1;0,499773756609398;0
"986";746;0;0,475344674370513;0
"2428";1860;0;0,589636992213248;1
"2471";1890;0;0,354621377558486;0
"610";471;0;0,415863288282925;0
"604";465;0;0,494275841831706;0
"1357";1039;0;0,473547867548407;0
"398";310;0;0,294322820831866;0
"618";476;1;0,460195856845643;0
"1929";1472;1;0,455706623918431;0
"2700";2055;1;0,672836960832479;1
"264";200;0;0,393778689709092;0
"705";543;1;0,576687916823704;1
"1329";1018;0;0,574844432200169;1
"929";703;1;0,639284435503557;1
"2828";2152;1;0,485083234485642;0
"158";118;0;0,173416581367829;0
"2888";2196;0;0,220454451519969;0
"1469";1121;1;0,405100234581763;0
"1225";929;1;0,399571612523298;0
"2427";1859;1;0,442429153522155;0
"2515";1923;1;0,67163267805156;1
"360";277;1;0,714511012559024;1
"2605";1986;0;0,432489077191048;0
"1939";1480;0;0,45683179636099;0
"757";580;0;0,529658617446925;1
"2188";1669;1;0,455934000033066;0
"2998";2274;0;0,273468919038771;0
"1478";1128;0;0,390839701378829;0
"1078";816;0;0,214964299897511;0
"379";293;0;0,410723067446709;0
"1267";966;0;0,380108715332263;0
"1233";937;0;0,380306097318105;0
"1701";1286;1;0,716534051026193;1
"2306";1763;0;0,442843516723971;0
"923";700;1;0,219010753782693;0
"2520";1926;0;0,447057676376719;0
"3084";2332;0;0,536144660616774;1
"736";563;0;0,51330172154049;1
"1544";1171;0;0,463705133604709;0
"372";288;0;0,499992714245345;0
"2608";1988;1;0,559452355566066;1
"3134";2370;0;0,323399977239528;0
"1143";870;1;0,311982824707163;0
"687";528;0;0,494642160255983;0
"426";332;0;0,28763316246022;0
"2778";2112;0;0,210382581652435;0
"641";494;0;0,305157971213388;0
"1139";867;0;0,602822406449762;1
"1096";831;0;0,14887979161267;0
"1235";939;0;0,284116491004035;0
"2618";1993;1;0,363047824502157;0
"432";338;1;0,746058809543081;1
"1290";987;1;0,467689857823309;0
"2869";2183;0;0,530796059354446;1
"2459";1880;0;0,281617180575316;0
"1258";958;1;0,589662392960099;1
"2296";1756;0;0,489554488397525;0
"2244";1713;0;0,316892269205393;0
"3117";2356;1;0,339443708636863;0
"1282";980;0;0,542886755070873;1
"741";566;0;0,235295936386949;0
"3024";2293;0;0,651319994090174;1
"237";175;0;0,602294725630366;1
"255";192;0;0,44749618688257;0
"2333";1785;1;0,491682672299873;0
"319";243;0;0,560261799651604;1
"1241";944;0;0,55814285700839;1
"979";741;1;0,678187952672976;1
"341";262;1;0,641508327658734;1
"2583";1968;0;0,218346757732343;0
"512";399;0;0,618478315765963;1
"482";373;0;0,574451551123142;1
"2257";1723;1;0,545852373465962;1
"1002";759;1;0,397988288787609;0
"3037";2302;1;0,487957401068206;0
"2408";1846;0;0,569942367361334;1
