"Observation.No";"Observed.y";"Predicted.Prob";"Predicted.y"
756;0;0,33071557861662;0
2064;0;0,344124833155941;0
469;0;0,43299177582967;0
2331;1;0,419545281510957;0
1426;0;0,486563386825379;0
706;0;0,627311081739419;1
2103;1;0,676533155912166;1
502;0;0,405338750368187;0
597;1;0,481899555794071;0
460;0;0,475800457285288;0
2105;1;0,375123696393972;0
2258;0;0,495155003285291;0
2090;1;0,526225677478929;1
154;1;0,360936745230165;0
2220;0;0,199824418518998;0
602;1;0,478737398690119;0
2375;0;0,497626761319836;0
686;1;0,722098339156057;1
1694;0;0,365127023877957;0
1873;0;0,329519010038826;0
1475;0;0,50113546999558;1
1338;1;0,322321541793635;0
373;1;0,356540638441367;0
2175;0;0,530148030539201;1
1608;0;0,357802025031471;0
1504;0;0,602834531089145;1
2143;0;0,372585997550505;0
176;0;0,355197325496328;0
841;0;0,601003356307406;1
117;1;0,5676495640435;1
2066;0;0,630585716462757;1
92;0;0,38616613983191;0
711;0;0,405342499499804;0
408;0;0,339554875295079;0
1191;0;0,521826577239323;1
499;0;0,233252634918436;0
304;0;0,642689617189104;1
1353;0;0,301690774553767;0
1382;0;0,427887950139722;0
1896;1;0,405793825736696;0
1299;0;0,473284394364116;0
1555;0;0,396500636693243;0
436;0;0,417172718770448;0
844;1;0,674683837207199;1
2373;1;0,562851828163534;1
1676;0;0,148881737166386;0
1;1;0,48355444910968;0
1244;0;0,419663810790223;0
634;0;0,68080729996903;1
1766;0;0,294688469115971;0
1198;0;0,515651249127835;1
271;0;0,515466416956288;1
1665;0;0,680879002884533;1
1609;0;0,537352096221291;1
390;0;0,645298180307391;1
235;0;0,356920945954814;0
2259;1;0,304772357488102;0
2006;0;0,497161931264556;0
1239;1;0,538516017376264;1
2245;1;0,354209940683584;0
944;0;0,542884675486208;1
114;0;0,384778817375909;0
1149;1;0,544513516568878;1
410;1;0,617439478109793;1
1376;1;0,44722504375629;0
1789;1;0,331705162399021;0
795;1;0,486261821836017;0
915;1;0,690463061704409;1
1374;1;0,360023755297909;0
1763;0;0,387776439995631;0
1269;0;0,204093128221846;0
872;0;0,5605871491486;1
292;0;0,494009681629179;0
1273;0;0,506733573052417;1
2243;0;0,215920222892433;0
851;1;0,463938180164368;0
447;0;0,39654618216224;0
1476;0;0,654145458161267;1
930;0;0,615408409135046;1
161;1;0,514313184859149;1
1936;1;0,391424773544181;0
33;1;0,702770045211188;1
1741;1;0,61447164656675;1
83;1;0,485326581646921;0
228;1;0,651282057063491;1
2069;0;0,165197432122046;0
1899;1;0,439243506752162;0
2317;0;0,269997146717598;0
2050;0;0,239613581637494;0
1535;0;0,392773004904581;0
278;0;0,211617497966137;0
93;0;0,240843859131676;0
1328;1;0,464431518746582;0
1579;0;0,365852573449693;0
2172;1;0,314356126947074;0
614;0;0,509199791005916;1
2003;0;0,464399881736508;0
1655;0;0,723901942204325;1
2053;1;0,352774743243157;0
618;0;0,339346468691566;0
2016;0;0,373196493699554;0
1326;0;0,446243674646746;0
1536;0;0,636419683322294;1
1161;0;0,390840747854518;0
676;1;0,476751342128137;0
1643;0;0,299758804060019;0
145;0;0,325678988010468;0
1417;1;0,632236285546726;1
1712;0;0,410862715098739;0
1874;0;0,436387196345489;0
303;1;0,402189529185802;0
1963;0;0,473957527158149;0
574;0;0,378165999269818;0
2306;1;0,499783203250141;0
950;0;0,190351227794261;0
329;1;0,374188622841432;0
733;0;0,459262969662255;0
1193;0;0,489852467087506;0
1281;0;0,436813439348996;0
794;1;0,657014283557524;1
328;0;0,370941289365872;0
1574;1;0,735031116490363;1
2085;1;0,532192824640371;1
1181;0;0,608966630222133;1
1754;1;0,500848324381404;1
1148;0;0,235296888952892;0
1788;0;0,487962483642886;0
1895;1;0,404844499030825;0
1481;0;0,555879509805173;1
2163;0;0,478971598054113;0
162;0;0,362498377945459;0
1461;1;0,679997676796526;1
551;1;0,41125150179078;0
1482;1;0,556266252628483;1
2067;0;0,418308565661456;0
1186;1;0,678189200464192;1
2061;1;0,648298260529245;1
853;0;0,467741390642196;0
466;0;0,335217911646704;0
1650;1;0,339103815158585;0
1430;1;0,679753616577559;1
1965;1;0,632155707311235;1
441;0;0,14813473852252;0
99;1;0,746027654225237;1
965;1;0,218177939614581;0
845;1;0,313136779153472;0
207;1;0,361415716466535;0
345;0;0,476862616465374;0
25;0;0,384731663315468;0
1744;1;0,659801164225901;1
7;1;0,483773563114003;0
594;0;0,602292407297499;1
256;0;0,32278335335138;0
423;0;0,325823049784834;0
200;1;0,489627791612093;0
2222;1;0,417310779641251;0
501;0;0,303716828615342;0
1034;1;0,569016953369446;1
1071;0;0,456865517489132;0
1173;1;0,487784781024716;0
2267;1;0,30862667630777;0
958;1;0,235894342569304;0
1102;1;0,512265509538115;1
1408;1;0,567345454456226;1
868;0;0,312466588865607;0
1889;0;0,595278000048954;1
531;1;0,511105126283357;1
925;1;0,663311681349549;1
2353;1;0,470664351296181;0
1840;0;0,418750580252229;0
2009;1;0,499018902389903;0
690;0;0,305249185663709;0
2100;0;0,353509563702435;0
306;0;0,481546251279334;0
816;0;0,485750790003994;0
891;1;0,43160910838353;0
426;0;0,455635628446039;0
512;0;0,454722640388369;0
1663;1;0,680806637937281;1
238;1;0,324305891945545;0
550;0;0,422187969936703;0
1620;1;0,493600955842678;0
487;1;0,303282365327169;0
1410;1;0,576687821119939;1
2287;0;0,31475348866849;0
175;0;0,456825417876404;0
1544;0;0,374483085403435;0
1450;0;0,386791122800951;0
74;1;0,310408358573591;0
106;1;0,723993156462044;1
757;1;0,572249386300308;1
1445;0;0,3127365403885;0
647;1;0,611878045468092;1
2045;0;0,501195718746715;1
477;0;0,541863973733854;1
1345;0;0,570471339450755;1
1891;1;0,404869208887888;0
625;0;0,496536874160761;0
109;1;0,22225300057567;0
2321;1;0,609259569574806;1
2186;0;0,47950790076801;0
1677;1;0,414016662394177;0
243;0;0,645740072256604;1
2033;0;0,34347127629007;0
1162;1;0,593361779263899;1
540;1;0,644742633543392;1
642;1;0,290227124435012;0
1737;1;0,528916577570414;1
782;1;0,526172292002586;1
2060;0;0,16417237173267;0
1644;1;0,694985417043209;1
1715;0;0,462289958807667;0
1595;0;0,204970849344012;0
1125;1;0,334629849425797;0
1758;0;0,481376926403654;0
2293;1;0,276559903357476;0
2298;0;0,311773582349306;0
2254;1;0,575882355703196;1
981;0;0,316540842476135;0
1047;0;0,304672380044452;0
2252;0;0,435262033480403;0
750;1;0,727317338896706;1
2272;0;0,307842817838683;0
1585;1;0,660720916394555;1
863;1;0,401638780735859;0
135;0;0,327007689265481;0
203;1;0,725926741377051;1
643;1;0,711443487726475;1
691;0;0,30892537353935;0
297;1;0,737921747507859;1
2004;1;0,629612332489573;1
108;0;0,484592550138645;0
1951;0;0,552244633197107;1
1483;0;0,68429421896124;1
128;1;0,332258492154271;0
1628;1;0,353114576872271;0
1229;0;0,419089436155942;0
896;1;0,680399545440784;1
1290;0;0,497057442588362;0
170;1;0,354483070447754;0
349;0;0,377894458794428;0
1371;1;0,333825019755223;0
562;1;0,573814522957492;1
2367;0;0,472708946960331;0
1317;1;0,46642852385584;0
208;1;0,651674078138372;1
837;0;0,325154402837004;0
1692;1;0,479028995463399;0
1733;0;0,274040254438743;0
51;1;0,340532345428528;0
1051;0;0,307318693023307;0
937;1;0,573658993426587;1
1916;0;0,598335707051435;1
579;0;0,432083284063199;0
2142;1;0,505577726174823;1
2249;1;0,541045378863897;1
1784;0;0,261421161694983;0
1155;1;0,255441420972946;0
1994;0;0,314327332961497;0
566;1;0,362140312952218;0
1773;0;0,469563360296415;0
158;1;0,57784004384254;1
2238;1;0,487962631752716;0
520;0;0,45918697996518;0
1560;1;0,524250307503922;1
2056;0;0,63027021854714;1
994;0;0,62104186655294;1
153;1;0,647640925989407;1
708;0;0,289809245232971;0
140;1;0,618329405155203;1
1942;1;0,511477256578419;1
1065;0;0,250410747862977;0
62;1;0,31261408426291;0
264;1;0,454164952666576;0
877;0;0,52223326644854;1
362;0;0,707889802166308;1
166;0;0,365356285776316;0
1092;1;0,590122106297765;1
801;0;0,333624204643022;0
30;0;0,644131781013158;1
1019;0;0,426946440104079;0
370;0;0,340865233787883;0
2075;1;0,498395129998608;0
39;1;0,432954955008859;0
1252;0;0,473060253058534;0
17;1;0,385658201997563;0
209;0;0,361752644089398;0
263;0;0,310092471787329;0
446;0;0,339185802170888;0
1960;0;0,475944593719946;0
1266;0;0,319487087327931;0
375;0;0,318322167118956;0
1344;0;0,465712431386081;0
2083;0;0,390879832877503;0
2106;0;0,548269130465462;1
1422;1;0,392785555664542;0
84;0;0,252164358737779;0
142;1;0,458073912717954;0
490;0;0,333711783095587;0
509;1;0,515831893059602;1
2087;1;0,374586306530304;0
1084;0;0,306898673456323;0
2194;1;0,347493413378538;0
1172;0;0,742983828806898;1
934;1;0,562274281620189;1
1203;0;0,534757159386025;1
1593;1;0,476416733268754;0
1301;1;0,418149215858047;0
1081;0;0,306909680627712;0
720;1;0,496352975677686;0
1759;1;0,559579920161635;1
1497;0;0,683682330942242;1
753;0;0,353434111297334;0
421;1;0,457180331749363;0
1939;1;0,486261528866143;0
2221;1;0,430425051255485;0
1583;1;0,733848807723841;1
1108;0;0,698328409782062;1
1999;1;0,554013160774077;1
1140;0;0,355988522728419;0
1336;0;0,313290233814183;0
813;0;0,632760444338134;1
1341;0;0,262799011931119;0
1379;1;0,441070983752507;0
762;0;0,487639106306214;0
2092;1;0,67601938962803;1
1334;1;0,484241365283599;0
624;0;0,437351318173814;0
1781;0;0,172758519246844;0
1615;0;0,222025524066367;0
1953;1;0,314750864378275;0
2344;0;0,576645061484053;1
98;0;0,386269966239741;0
558;0;0,641014653755133;1
1509;0;0,538266098449659;1
1139;1;0,390193567251522;0
657;1;0,3333776386061;0
80;1;0,38322763943473;0
1800;1;0,511019367110611;1
2055;1;0,389388155337667;0
636;1;0,551043575925693;1
539;0;0,400066801664833;0
2290;1;0,42404874527995;0
402;1;0,362912566737337;0
1343;0;0,600439902041931;1
1796;0;0,460012609759322;0
1368;0;0,317270001758471;0
141;1;0,423161707251113;0
1570;0;0,267746720015282;0
887;0;0,600213568319482;1
1442;0;0,294143884028718;0
1099;1;0,338971994536294;0
1000;0;0,325584128666438;0
2357;0;0,272252243609482;0
2015;1;0,602844832468043;1
113;0;0,572665033602988;1
1255;0;0,396706085705;0
519;1;0,718752700239235;1
485;0;0,28826391319405;0
1157;1;0,545981178063783;1
382;0;0,510610303317213;1
1614;1;0,459620470291525;0
137;0;0,31315820790843;0
2013;1;0,498724692133391;0
2058;0;0,18735835256547;0
541;1;0,197658007094991;0
2225;0;0,456497822635347;0
1745;1;0,272898933812951;0
210;0;0,461812559806745;0
1618;0;0,62066656465597;1
1802;0;0,375612607877382;0
716;1;0,488814857770799;0
164;0;0,455994592476134;0
889;0;0,340029436750403;0
2018;0;0,435060192299498;0
901;1;0,305789946905733;0
1746;1;0,293924445802236;0
2119;1;0,128104874466392;0
1056;0;0,72676647535871;1
609;1;0,509883120629433;1
1360;0;0,447974555510067;0
1826;1;0,475628939270206;0
2362;0;0,574849304990222;1
1804;0;0,579527995019812;1
1734;0;0,435483194344127;0
1636;1;0,634120544824125;1
1861;1;0,494478655018018;0
904;0;0,438064623846923;0
2253;0;0,197828847063142;0
1928;1;0,361289945789202;0
815;0;0,497450921605563;0
1725;0;0,490975216496274;0
1726;0;0,346401750907353;0
1192;0;0,393782516861654;0
1816;1;0,526987520770529;1
1260;0;0,110789353272134;0
2096;1;0,512045493388015;1
2158;0;0,553828521768643;1
2361;0;0,189525527858811;0
