"";"Observation.No";"Observed.y";"Predicted.y"
"2501";1022;0;1
"168";1359;1;1
"806";1270;1;1
"2784";2206;1;1
"247";1660;1;1
"1020";1000;0;1
"2735";1463;0;1
"2509";1207;0;1
"2082";1929;1;1
"2926";255;1;1
"47";2400;1;1
"1053";1173;0;1
"362";923;1;1
"158";1357;0;1
"929";2142;1;1
"2690";1146;0;1
"630";455;1;1
"2631";252;1;1
"1256";409;0;1
"1305";894;0;1
"2535";792;0;1
"363";2125;0;1
"2023";1299;1;1
"2339";743;1;1
"2536";2389;1;1
"1241";734;0;1
"1285";1015;0;1
"174";1361;0;1
"1429";1234;0;1
"492";302;0;1
"1162";192;0;1
"649";2348;1;1
"2936";1734;0;1
"1319";445;0;1
"388";663;0;1
"1119";218;1;1
"1582";682;0;1
"3130";1964;0;1
"1900";1945;1;1
"644";275;1;1
"817";78;1;1
"1107";85;0;1
"1672";226;0;1
"1506";632;0;1
"384";650;0;1
"1178";843;1;1
"808";1272;0;1
"981";1242;0;1
"1557";279;0;1
"1940";174;0;1
"908";1680;0;1
"170";1360;1;1
"1909";658;0;1
"2779";1026;1;1
"1544";654;0;1
"20";2407;0;1
"2155";412;0;1
"632";457;0;1
"353";300;0;1
"69";974;1;1
"820";80;0;1
"458";537;0;1
"348";717;1;1
"1182";681;0;1
"1325";342;1;1
"2188";181;1;1
"355";1852;1;1
"1357";1276;0;1
"2413";1206;1;1
"1689";1436;1;1
"1870";1338;0;1
"2866";2062;1;1
"2831";901;1;1
"75";385;1;1
"369";1370;1;1
"496";2322;1;1
"1921";1820;1;1
"2663";289;0;1
"1161";1418;1;1
"1637";1879;0;1
"2927";256;0;1
"1070";1874;0;1
"224";609;1;1
"1566";2188;0;1
"1747";1645;0;1
"599";1956;1;1
"77";2406;1;1
"1939";173;0;1
"263";1804;1;1
"600";1166;1;1
"2494";2045;1;1
"439";750;1;1
"2390";1725;0;1
"59";973;0;1
"1783";657;1;1
"105";2412;1;1
"2058";1312;1;1
"1742";1640;1;1
"1944";1395;1;1
"2884";234;1;1
"748";2343;1;1
"2930";258;0;1
"951";3;1;1
"2105";1140;1;1
"1045";1486;1;1
"3118";889;1;1
"3105";1738;1;1
"1415";1277;0;1
"696";2074;0;1
"1402";1031;1;1
"1213";726;0;1
"2153";1445;0;1
"1583";1393;1;1
"2024";1300;1;1
"2090";1930;1;1
"2568";1829;1;1
"2113";686;0;1
"1611";1176;0;1
"800";640;1;1
"1709";64;0;1
"2953";1794;0;1
"608";1263;0;1
"407";1381;0;1
"1702";1860;1;1
"44";837;1;1
"2117";422;1;1
"871";622;1;1
"1787";707;0;1
"1977";1499;0;1
"1431";418;0;1
"2196";1344;1;1
"2471";2011;0;1
"187";42;0;1
"2879";2211;0;1
"374";2018;1;1
"2506";1963;0;1
"2577";1890;0;1
"2854";291;0;1
"2063";1961;0;1
"2310";2413;0;1
"2112";685;0;1
"2189";182;0;1
"154";37;0;1
"883";1854;0;1
"754";1608;0;1
"2194";1342;1;1
"3034";127;0;1
"1460";897;0;1
"3078";1164;1;1
"262";1365;0;1
"2182";1826;0;1
"2636";158;0;1
"2045";1020;1;1
"751";1576;1;1
"3037";2277;1;1
"2330";740;0;1
"850";1853;1;1
"444";927;0;1
"459";1739;1;1
"566";958;0;1
"2429";2308;1;1
"1014";725;0;1
"2717";2374;1;1
"506";2225;1;1
"1364";21;1;1
"1069";1129;1;1
"3026";1088;0;1
"1498";845;0;1
"2292";362;1;1
"1801";1714;0;1
"2593";1892;0;1
"923";2139;1;1
"1195";2103;1;1
"2765";1693;0;1
"1565";2187;1;1
"2450";490;0;1
"2474";1009;1;1
"66";391;0;1
"713";1198;0;1
"2473";1565;1;1
"2308";661;1;1
"1625";1493;1;1
"2496";600;1;1
"2274";1722;0;1
"648";2347;0;1
"3109";270;1;1
"1185";1635;1;1
"2863";2061;0;1
"1062";930;0;1
"2116";421;0;1
"1274";1058;1;1
"1126";1706;0;1
"1428";2027;1;1
"149";1225;1;1
"1666";2191;0;1
"2489";1082;1;1
"2616";1896;0;1
"3106";1694;0;1
"1705";816;0;1
"1711";168;1;1
"1150";1320;1;1
"1346";111;0;1
"575";1675;1;1
"2755";1464;1;1
"729";1603;1;1
"1568";313;1;1
"759";1867;0;1
"2576";1353;1;1
"1414";1664;1;1
"1852";1288;0;1
"2561";1593;0;1
"2485";1933;1;1
"2237";429;0;1
"2660";2330;1;1
"2139";1078;0;1
"165";38;0;1
"3047";1317;0;1
"422";1255;1;1
"1892";287;0;1
"249";526;1;1
"2076";1441;1;1
"2018";1298;0;1
"2475";519;1;1
"1483";2315;1;1
"60";1528;0;1
"890";1135;1;1
"1981";87;0;1
"395";2073;0;1
"794";2098;1;1
"1226";2022;1;1
"1805";505;0;1
"38";835;1;1
"1797";2193;1;1
"2819";1793;1;1
"1879";1781;0;1
"3133";1753;0;1
"860";841;0;1
"2828";955;1;1
"550";1702;0;1
"1288";865;0;1
"1173";467;0;1
"1737";486;0;1
"400";1377;1;1
"3019";1624;1;1
"493";700;0;1
"1283";1233;1;1
"2012";2194;1;1
"833";133;1;1
"1983";1398;1;1
"639";1990;0;1
"2668";872;1;1
"11";556;0;1
"239";1209;1;1
"1677";446;1;1
"2181";1584;0;1
"2996";2218;0;1
"373";2017;0;1
"442";925;1;1
"162";2393;1;1
"1832";265;0;1
"2170";827;0;1
"1091";2238;0;1
"2581";508;0;1
