"Observation.No";"Observed.y";"Predicted.y"
553;2;3
2196;1;1
2374;3;1
1805;3;3
545;3;3
1925;3;1
578;3;1
2889;3;1
1248;3;1
2740;1;1
1278;1;3
2735;3;3
1811;3;1
727;1;1
1269;2;1
1228;3;3
2789;3;1
453;3;1
1703;2;3
2483;1;3
722;2;1
1205;1;1
3006;3;1
2600;1;1
573;1;1
558;1;1
2409;1;1
866;2;3
1682;3;1
761;1;3
1934;2;1
1074;3;1
2777;2;1
2433;2;1
1014;3;3
1507;3;3
1415;3;1
1097;3;3
19;2;1
1724;3;1
1155;3;3
2353;1;1
1575;3;1
845;2;1
2563;2;1
126;3;1
1559;2;3
2895;1;1
2453;1;1
478;2;1
111;3;1
488;2;1
2693;1;1
2402;2;1
2890;1;3
1135;2;1
1525;1;1
367;1;1
2301;2;3
783;1;1
764;3;3
1016;3;1
2218;3;3
1515;3;3
2293;2;1
1614;3;3
1425;1;1
1262;1;1
2313;1;1
1603;2;1
2849;2;3
2154;1;1
1193;2;3
893;2;3
2361;2;1
1561;2;3
2725;3;3
1473;1;1
2015;1;1
2793;2;1
243;3;3
1311;3;3
1450;3;3
1453;2;1
741;3;3
718;2;3
2506;1;1
2651;1;1
2245;3;3
795;1;3
1846;3;3
1780;3;3
1457;3;3
2422;1;1
1957;1;3
1082;1;1
2771;1;1
285;1;1
13;1;3
2304;2;1
604;3;1
2753;3;1
735;3;1
1456;2;1
2877;2;1
2149;2;1
865;2;1
329;3;3
2413;1;3
825;3;1
941;1;3
2929;1;1
2730;3;1
570;2;1
3020;2;1
3028;2;1
279;3;3
1914;3;1
2727;3;3
740;1;1
2403;1;1
756;3;3
1242;2;1
476;2;3
1481;2;1
330;1;1
195;3;3
1581;2;3
907;2;1
2959;1;1
1520;3;1
874;3;3
274;1;1
2349;3;1
309;3;3
1754;3;1
1556;1;3
2859;2;3
1644;3;1
180;2;3
2810;1;1
247;1;1
2989;3;3
1686;2;1
2658;1;1
307;3;1
1677;1;3
524;3;3
429;1;1
2312;3;3
3052;1;1
483;2;1
767;3;3
2308;2;3
2763;1;3
2296;1;1
2341;3;3
1901;3;3
1500;3;1
2307;3;1
2063;1;1
2189;1;1
516;1;1
290;3;3
571;3;1
1002;2;1
417;3;3
190;1;1
834;2;1
931;1;1
830;3;1
704;1;1
1235;1;1
2562;3;1
2944;1;1
140;1;1
2335;3;1
238;2;3
699;3;1
1836;3;1
1455;2;1
2524;1;1
1568;2;3
2158;2;3
484;1;1
1166;3;3
2518;3;1
911;3;1
281;1;3
619;1;1
376;3;3
1783;3;3
2990;3;3
1458;1;1
1634;1;1
46;3;3
1109;3;3
1999;1;1
1435;3;1
785;3;3
2531;1;1
1524;3;3
2805;1;1
1793;3;1
555;2;3
1375;3;1
94;3;3
1143;3;3
591;2;1
861;3;1
1172;3;1
1444;3;3
2139;1;1
1321;1;3
2792;3;3
2816;2;3
2071;2;1
1936;3;3
914;3;3
1985;1;1
1897;2;1
2375;3;3
2099;3;3
2611;1;1
2070;1;1
2855;1;1
2920;2;1
2988;2;1
2804;2;1
293;1;3
3058;2;1
131;2;3
584;2;1
2186;3;3
2512;1;1
2294;1;1
1156;2;1
2907;1;1
1240;1;1
1910;1;3
2363;1;1
1015;2;1
2742;3;1
1513;1;3
1379;2;1
1511;3;3
583;1;1
1565;1;1
1492;3;3
60;3;1
1748;3;1
742;3;3
2448;2;3
901;2;1
2082;3;1
2867;3;1
186;1;1
365;1;1
913;3;3
954;2;3
1472;2;1
1475;3;1
1845;1;1
1622;1;1
958;2;1
379;1;3
903;2;1
964;1;3
622;1;1
519;3;3
2684;2;3
189;1;1
2185;2;1
1667;2;3
1246;1;1
3036;3;1
2967;3;3
2462;3;1
983;1;1
538;1;1
353;3;1
36;1;1
1412;1;1
334;1;1
791;1;1
463;1;1
858;1;1
401;2;1
501;1;1
1163;1;1
263;3;3
2962;2;1
1386;1;1
1961;3;1
1348;1;1
2129;2;3
2491;2;3
2279;2;1
197;1;1
2205;1;3
1086;1;1
953;1;1
2921;1;3
3022;1;1
397;1;1
1417;1;1
514;3;3
2891;1;1
1868;1;1
1110;1;3
1652;1;1
325;1;1
392;3;3
1889;1;1
1765;2;1
532;3;1
137;2;3
1899;1;1
602;1;1
1941;3;1
652;1;1
1619;3;3
2501;2;1
335;1;1
1164;2;3
1089;3;1
616;1;1
639;1;1
350;1;3
1627;1;1
1203;3;1
2214;1;1
2055;3;3
112;1;1
1044;2;1
1145;1;3
1683;3;1
3053;3;1
2319;1;1
2010;3;1
2434;3;1
531;3;1
2812;2;1
2778;1;1
179;3;1
2176;1;1
2254;2;3
1933;1;3
659;3;1
3015;3;3
1490;3;1
1970;1;1
769;3;1
2028;3;3
436;3;3
826;1;3
2915;1;1
1342;1;1
3013;3;1
253;1;1
912;3;3
2112;3;1
754;3;1
1693;3;3
1021;1;3
2517;2;1
1956;1;3
596;1;3
2769;2;1
2785;2;1
1434;1;1
2334;1;1
1090;1;1
859;1;3
1479;3;1
471;1;3
2231;3;1
420;3;3
1918;2;3
2874;2;1
923;2;1
2056;3;1
1374;1;1
2656;3;1
2006;3;1
1984;3;1
3047;2;3
2507;3;1
1989;1;1
739;2;3
2416;1;1
1051;2;1
790;2;1
1790;1;1
1361;2;3
1660;1;1
929;1;3
1023;1;1
1669;1;1
198;1;1
2398;1;1
518;3;1
2971;3;1
380;1;3
2738;2;1
1609;2;1
87;3;1
3061;2;1
2195;3;1
2136;3;3
1099;1;1
749;3;1
1758;3;1
2368;2;3
346;1;1
3017;1;3
72;3;3
2590;1;1
663;1;3
1816;2;1
130;1;1
249;1;1
763;3;1
1233;2;1
1119;1;3
1799;3;1
2059;1;1
976;3;3
770;1;1
2302;3;1
1020;1;1
733;3;1
1504;3;3
648;3;3
400;1;3
2937;2;3
1557;3;3
2632;2;1
1440;2;1
2133;1;1
437;1;1
2;2;3
2544;2;3
2178;1;1
1476;2;3
2016;1;3
669;3;3
848;2;1
1286;1;1
2243;3;3
369;1;1
1740;1;3
1333;1;3
1066;3;1
1175;3;1
2619;1;3
839;3;1
2155;3;1
2464;1;1
881;1;1
2870;1;1
1907;3;1
2292;1;1
1796;1;1
106;1;1
2928;1;1
1160;3;3
2770;2;1
252;2;3
1947;1;1
2869;2;1
561;1;1
1803;3;3
2566;3;1
2351;1;1
1776;3;1
1894;2;3
1150;1;1
2678;3;1
758;1;3
1341;2;1
1967;2;1
2554;1;1
30;3;3
2288;3;1
547;1;1
2145;1;1
3050;3;1
2421;1;3
2829;1;1
2743;3;3
363;2;1
960;3;1
2482;3;1
1705;2;1
2848;2;1
644;3;3
208;3;1
1410;3;1
844;1;1
2175;1;1
2888;3;1
2100;1;1
2330;3;1
1291;1;1
45;1;3
2255;2;1
1401;1;1
2257;1;1
1965;1;1
9;1;1
210;2;1
2358;3;1
2986;2;1
2630;1;1
428;3;3
2444;3;3
159;1;3
2240;3;1
798;3;3
2831;1;1
2536;1;1
20;1;3
1210;2;1
2546;1;1
2177;3;3
1645;2;3
1866;3;3
2431;1;1
1174;3;1
499;3;3
1196;2;1
2800;3;1
1185;2;1
470;2;1
240;3;1
956;3;3
1864;1;1
695;1;1
2721;3;1
209;3;3
2461;1;1
688;3;1
1698;1;1
1648;2;1
2613;3;3
697;3;3
296;3;3
2820;2;1
2315;1;3
1729;3;1
1115;1;1
1349;1;3
1962;1;1
73;1;3
2272;3;3
1572;1;1
1128;1;1
546;1;1
2405;1;1
2652;1;1
1869;1;1
2465;1;3
215;3;3
1664;3;1
1764;2;1
2854;3;1
1159;1;1
1131;1;1
1998;2;1
393;3;3
1656;1;1
540;1;3
806;3;1
824;3;1
2689;3;3
2407;3;3
2529;1;1
1202;1;1
1718;3;1
2519;1;1
2104;3;3
1906;1;3
2762;1;3
2912;1;1
1343;2;1
2174;1;1
2390;1;1
1605;1;3
3048;3;3
3040;3;1
1344;1;1
78;1;1
690;1;1
1018;2;3
1628;1;3
1063;1;1
121;2;1
266;3;1
526;3;1
2406;3;1
1736;2;1
1488;2;3
1234;2;3
674;1;1
1405;2;1
621;3;1
1990;1;1
2947;2;1
1177;3;3
2994;1;1
1860;1;1
1874;1;1
1879;1;3
408;3;1
2327;2;1
2803;1;1
2670;3;1
1217;2;3
1067;2;1
204;3;1
1404;1;1
1924;3;3
467;3;3
2001;3;3
1512;1;1
49;2;1
3060;1;1
2445;1;1
772;1;1
2204;3;1
228;3;1
743;3;1
603;2;1
2776;3;1
512;2;3
188;1;1
1700;2;1
629;1;1
1170;3;3
154;2;3
1699;2;1
682;2;1
2604;2;3
1804;1;1
556;3;1
2595;3;1
872;1;1
577;1;1
2791;3;1
2745;2;1
661;1;1
812;2;3
829;2;3
143;1;3
1549;3;1
2992;1;1
1630;1;3
1674;1;1
2677;3;1
539;3;1
109;1;3
1152;3;1
1037;1;3
2094;2;1
683;3;1
1324;1;3
1905;2;1
1282;3;3
951;1;1
230;3;3
67;1;1
414;1;1
1083;2;1
1367;1;1
862;2;1
1632;1;1
1032;3;3
2468;3;1
1259;3;1
469;3;3
440;1;1
748;1;3
2256;3;1
649;2;1
1351;3;1
426;1;1
2814;3;3
1169;2;1
1057;1;1
2251;3;1
1629;1;1
1393;1;3
1912;3;3
1430;1;3
2754;2;3
1781;3;1
698;3;3
1646;2;1
888;1;1
51;1;3
479;1;1
53;1;1
2452;1;1
405;1;1
2269;1;1
1759;2;3
936;3;3
522;3;3
1576;1;1
2779;2;1
1208;1;3
572;2;1
780;1;1
1589;1;1
2018;1;1
1268;2;1
759;3;1
1921;3;1
2997;2;1
2173;3;3
1867;1;3
747;1;1
1566;2;1
302;3;3
1364;1;1
1695;1;1
90;3;3
2036;3;3
989;2;1
2718;1;1
2698;3;3
642;3;3
1527;2;1
1599;3;1
1312;2;1
1638;1;1
2169;3;3
1423;1;1
2839;3;1
1766;1;1
364;1;3
1928;2;1
852;1;3
2923;1;1
76;3;3
1467;1;1
2325;2;3
2352;3;1
511;3;1
943;1;1
765;3;1
797;2;1
2713;1;1
794;1;1
2161;3;1
678;3;3
809;1;1
2975;1;1
2078;2;3
2156;2;1
39;3;3
267;3;3
2042;3;3
66;3;1
2274;1;1
2034;3;3
1715;2;1
1706;1;1
2322;1;1
779;3;1
2089;1;3
2588;1;1
1969;3;1
2329;3;3
487;2;1
409;1;3
2556;3;3
2576;1;1
2708;1;1
24;2;1
1104;2;3
593;1;1
101;3;3
821;1;1
1338;1;1
1046;1;3
288;3;3
1091;1;1
658;2;3
2280;1;1
473;2;1
1546;1;3
827;2;1
389;1;1
762;2;3
975;2;1
657;1;1
2581;2;1
675;3;3
169;1;1
773;3;3
2116;3;3
2276;3;3
2253;3;1
2203;2;3
2333;3;3
1986;3;3
2188;2;3
1212;3;3
2943;3;1
386;3;1
2547;1;1
1824;3;3
1253;1;1
1439;2;3
194;3;1
1574;3;1
2660;2;3
2030;1;3
2865;3;1
