"";"Observation.No";"Observed.y";"Predicted.y"
"1404";1370;1;1
"1294";1262;1;3
"2395";2328;3;3
"2298";2237;2;1
"1782";1739;1;1
"2268";2209;1;1
"1961";1910;1;3
"56";56;3;1
"2138";2083;2;1
"433";429;1;1
"378";374;1;1
"2095";2040;3;3
"452";448;2;1
"360";356;3;1
"2804";2727;3;3
"564";555;2;1
"1558";1523;3;1
"1121";1091;1;1
"2884";2806;1;1
"1314";1281;3;1
"1453";1419;2;1
"2868";2790;1;1
"944";921;3;1
"2097";2042;3;3
"2411";2344;3;1
"756";741;3;3
"2301";2240;3;1
"434";430;1;3
"502";496;2;3
"211";210;2;1
"1576";1541;3;3
"2218";2159;1;1
"1836";1789;3;1
"2703";2627;3;3
"1605";1569;1;1
"455";451;2;3
"1976";1925;3;1
"343";341;2;1
"984";961;1;1
"791";775;1;1
"2890";2812;2;1
"2109";2054;1;1
"320";318;2;1
"297";295;3;3
"2594";2520;2;1
"301";299;3;3
"993";970;2;1
"1163";1133;1;3
"554";546;1;1
"1459";1425;1;1
"1279";1247;3;3
"2767";2691;3;3
"983";960;3;1
"1153";1123;2;3
"2017";1965;1;1
"1770";1728;3;1
"1834";1787;1;3
"1214";1184;1;1
"1669";1631;2;1
"2372";2306;1;1
"2459";2389;3;3
"2423";2355;3;1
"1671";1632;1;1
"2876";2798;3;1
"2772";2696;1;1
"836";816;3;1
"2031";1977;2;1
"2923";2844;1;3
"792";776;2;1
"3119";3038;3;1
"3067";2987;3;1
"138";138;1;3
"38";38;3;3
"2733";2657;1;1
"390";386;3;1
"2054";2000;1;1
"813";796;3;1
"1118";1088;2;1
"888";866;2;3
"2119";2064;1;1
"660";648;3;3
"2318";2254;2;3
"76";76;3;3
"1637";1600;3;3
"551";543;1;1
"299";297;1;3
"1323";1290;2;3
"1741";1700;2;1
"1738";1697;1;1
"2064";2010;3;1
"507";501;1;1
"1060";1034;1;3
"485";480;1;1
"1011";987;3;3
"2983";2904;1;3
"302";300;3;3
"1957";1906;1;3
"1363";1330;2;3
"206";205;1;1
"665";653;3;3
"2453";2383;1;1
"1018";993;2;3
"175";174;3;1
"1526";1492;3;3
"2732";2656;3;1
"645";633;2;1
"2735";2659;3;1
"2796";2720;1;1
"533";525;2;3
"2602";2528;3;3
"1200";1170;3;3
"1201";1171;3;3
"1617";1581;2;3
"2363";2297;1;3
"1568";1533;1;3
"2674";2600;1;1
"2237";2178;1;1
"2335";2270;2;1
"1720";1679;1;1
"2927";2848;2;1
"1386";1353;2;1
"663";651;3;3
"195";194;3;1
"778";762;2;3
"1825";1779;3;1
"2091";2036;3;3
"2995";2916;1;3
"869";847;1;1
"1793";1749;2;1
"1036";1010;3;3
"3124";3043;1;3
"639";627;3;3
"1037";1011;3;3
"2059";2005;3;1
"2053";1999;1;1
"3019";2940;3;1
"753";738;2;1
"2677";2603;1;1
"2539";2466;2;1
"832";812;2;3
"1271";1239;3;3
"2100";2045;3;1
"1259";1227;1;3
"648";636;2;1
"2749";2673;3;1
"2766";2690;3;3
"1387";1354;1;1
"3079";2999;1;1
"636";624;3;3
"2457";2387;1;1
"148";147;2;3
"1801";1757;1;1
"3099";3018;1;1
"287";285;1;1
"1233";1202;1;1
"1106";1077;1;1
"3048";2968;3;3
"2299";2238;1;1
"637";625;3;1
"1242";1211;1;3
"1951";1900;3;3
"2";2;2;3
"3088";3007;1;1
"1550";1515;3;3
"1663";1625;3;3
"2843";2766;3;1
"2243";2184;2;1
"609";600;3;3
"322";320;2;3
"966";943;1;1
"3020";2941;1;1
"868";846;1;1
"2297";2236;1;1
"2961";2882;2;1
"2671";2597;1;3
"1262";1230;3;1
"1355";1322;2;1
"780";764;3;3
"506";500;3;1
"2873";2795;1;1
"1475";1441;2;1
"1122";1092;1;1
"954";931;1;1
"904";881;1;1
"641";629;1;1
"2214";2155;3;1
"2258";2199;2;1
"650";638;3;3
"1722";1681;2;3
"890";868;3;3
"961";938;1;1
"495";489;3;1
"333";331;2;1
"15";15;2;1
"992";969;2;1
"1203";1173;1;1
"1291";1259;3;1
"2242";2183;1;3
"2753";2677;3;1
"1835";1788;1;1
"1015";990;3;3
"3000";2921;1;3
"1054";1028;3;3
"1416";1382;1;1
"2066";2012;1;1
"1736";1695;1;1
"2609";2535;1;1
"691";679;3;1
"3022";2943;3;1
"3023";2944;1;1
"2019";1967;2;1
"2794";2718;1;1
"1240";1209;3;1
"96";96;3;3
"2079";2024;2;3
"835";815;1;1
"2953";2874;2;1
"1587";1552;1;1
"1385";1352;1;1
"123";123;2;3
"285";283;3;1
"2462";2392;1;1
"2912";2834;1;1
"68";68;2;1
"2711";2635;3;1
"1821";1776;3;1
"2008";1956;1;3
"808";791;1;1
"2914";2836;1;3
"2080";2025;1;1
"384";380;1;3
"1532";1497;1;1
"814";797;2;1
"2505";2433;2;1
"1493";1459;3;1
"2719";2643;1;1
"521";513;3;1
"1524";1490;3;1
"2490";2418;3;1
"906";883;2;1
"1406";1372;3;3
"1057";1031;1;1
"2251";2192;1;1
"2815";2738;2;1
"3113";3032;3;1
"1749";1707;1;1
"2027";1975;3;3
"3142";3061;2;1
"3063";2983;1;1
"3033";2953;3;1
"2005";1953;2;3
"225";224;3;3
"1542";1507;3;3
"178";177;1;3
"910";887;2;1
"894";872;1;1
"537";529;1;1
"252";250;2;3
"2333";2268;2;1
"3059";2979;1;1
"656";644;3;3
"2739";2663;2;1
"2166";2110;1;1
"2466";2396;1;1
"1529";1494;1;1
"670";658;2;3
"1891";1842;1;1
"1367";1334;1;1
"728";715;2;3
"2889";2811;2;1
"1962";1911;1;3
"2227";2168;3;3
"2461";2391;3;1
"1990";1939;3;3
"2126";2071;2;1
"1785";1742;1;1
"3107";3026;2;1
"275";273;3;3
"1848";1801;1;1
"536";528;1;1
"916";893;2;3
"3120";3039;1;1
"1173";1143;3;3
"1750";1708;1;1
"3066";2986;2;1
"1399";1365;1;1
"1055";1029;1;1
"1273";1241;2;3
"1516";1482;1;1
"2702";2626;1;3
