"Observation.No";"Observed.y";"Predicted.y"
2938;2;2
227;1;2
2272;2;2
1681;3;2
2351;1;2
717;3;2
109;5;2
1503;1;2
1803;2;2
470;3;2
1315;2;2
1423;3;2
2374;3;2
2132;2;1
1776;2;2
2040;3;2
542;4;1
2954;1;2
2259;1;2
1332;3;2
1617;2;2
129;1;2
1390;2;2
658;1;1
2878;2;1
2659;1;1
820;1;1
2748;2;2
1547;2;2
2274;1;1
790;5;2
1626;1;2
2338;2;2
450;2;2
484;2;1
1195;2;2
1096;1;2
2686;1;1
1670;3;2
152;2;2
1388;2;2
936;2;2
1108;4;2
1858;1;2
1675;3;2
471;2;2
2981;3;2
1694;1;1
854;1;2
15;2;2
2915;1;1
94;3;2
740;2;2
295;1;1
1941;2;2
1743;2;2
2869;2;1
550;2;1
147;1;2
2700;2;2
847;1;2
1636;2;1
1446;1;2
1549;2;2
942;1;1
278;2;2
2174;2;1
1895;1;2
3063;1;2
676;2;2
597;1;2
579;1;2
2533;1;1
2507;3;2
889;1;1
2864;2;2
1524;2;2
2859;1;2
650;3;1
1918;2;2
2042;2;2
1122;2;2
461;4;2
2130;1;2
2164;1;1
2142;2;2
92;2;1
364;1;2
1406;1;2
575;2;1
858;2;1
1469;1;2
116;2;2
898;1;2
1472;2;2
2727;2;1
704;1;1
814;2;1
2827;2;1
3006;1;1
187;3;2
2453;2;2
3127;1;2
1515;1;1
1700;1;2
1191;2;2
951;1;1
1046;1;2
1656;2;2
1885;1;2
1981;2;2
1451;2;2
1616;2;2
553;3;2
2104;2;2
380;3;1
107;2;2
2649;2;1
822;3;1
1958;1;2
1760;3;2
1019;1;2
1755;1;2
1685;1;2
330;1;2
2439;3;2
2671;3;2
1465;2;2
498;1;1
148;1;2
2746;3;2
2194;1;2
1864;1;2
1836;2;2
1916;1;1
2807;2;1
3029;1;1
2064;2;2
1855;2;2
934;2;2
2699;1;2
606;2;2
2212;2;2
803;2;2
2370;2;2
1719;2;2
1817;1;2
2906;3;2
1056;1;2
1727;2;2
911;4;2
1865;2;2
476;2;1
2786;2;2
326;2;2
1609;2;2
1721;1;2
2492;1;2
404;3;2
2877;2;2
599;3;2
2769;1;1
2735;1;1
2250;1;1
647;1;1
856;1;2
2201;3;2
618;1;2
1471;1;2
1570;2;1
954;1;1
2646;4;2
2409;3;2
1901;1;1
600;2;2
2084;2;2
769;2;1
2017;1;2
524;5;2
1229;3;2
1048;2;2
2177;2;1
937;1;1
938;1;1
199;5;2
2059;1;2
511;2;2
733;2;2
2561;1;1
200;1;2
2442;3;2
1680;3;2
2788;1;1
732;3;2
2692;3;3
166;4;2
2385;1;2
1910;2;2
2791;1;2
693;3;2
1111;2;1
983;2;2
