"";"Observation.No";"Observed.y";"Predicted.y"
"1047";611;2;2
"37";1357;2;2
"2247";3027;2;2
"1529";663;1;2
"2610";2920;3;2
"16910";1066;5;3
"421";1783;3;2
"1625";2106;2;2
"2650";213;2;2
"868";849;3;1
"1805";694;1;2
"1189";2715;3;1
"3107";377;2;2
"1468";689;2;2
"103";1375;2;2
"2123";349;1;1
"2544";1277;1;1
"471";2526;1;1
"2899";1111;5;1
"10710";2245;4;3
"1795";3165;3;2
"305";627;2;2
"2680";2730;2;1
"1154";1918;1;2
"3146";3395;3;3
"2033";3092;3;2
"1362";35;1;1
"488";1206;2;1
"2513";502;1;2
"2617";2654;2;1
"17010";1074;5;3
"2343";1904;4;2
"1394";860;1;2
"2110";1708;1;2
"343";1779;2;2
"906";2350;2;2
"764";2219;2;2
"1583";1971;1;2
"701";3247;2;2
"1137";2220;2;1
"1911";910;1;1
"2684";3189;3;2
"549";2382;1;1
"1324";471;1;1
"1342";1326;1;2
"2745";745;2;2
"1428";2842;2;1
"329";1938;2;2
"1715";1492;2;1
"1804";2398;1;2
"1922";2550;2;1
"1115";2669;2;2
"1392";1298;1;2
"757";162;1;2
"1345";168;2;1
"1706";1817;2;2
"18810";1591;5;3
"2998";3121;1;2
"2116";583;2;2
"1192";1347;2;2
"3097";2065;5;2
"1102";2909;1;2
"191";2175;2;1
"462";1245;1;2
"3017";980;3;2
"1720";1756;2;2
"3124";1284;1;1
"1388";3066;2;2
"747";2256;1;1
"1868";1145;1;2
"717";3313;1;2
"2244";1982;3;2
"1593";1272;1;1
"9310";1476;4;3
"1190";1887;1;3
"2696";2478;1;1
"1314";1268;1;1
"1649";1867;2;2
"2274";2404;2;2
"26100";915;3;2
"1783";907;1;1
"966";1703;3;2
"1721";1757;2;2
"1749";692;3;1
"2187";263;1;1
"2020";183;1;1
"2246";2043;2;2
"1251";3249;2;1
"1774";1499;1;2
"2004";1768;1;2
"5510";109;4;3
"1961";345;2;1
"2720";1060;3;1
"10210";1921;4;3
"2317";2504;2;2
"13310";21;5;5
"1061";2625;1;2
"2894";1034;2;1
"2918";2973;1;2
"1864";1142;1;2
"2775";2061;2;2
"1334";2673;1;2
"2103";1304;1;2
"1013";1002;4;2
"1548";3076;3;2
"5711";3397;5;3
"988";2004;1;1
"2621";621;2;2
"3068";1914;2;2
"2243";1981;3;2
"3105";2430;1;2
"1717";3208;1;1
"436";997;1;2
"316";221;1;1
"2735";2059;2;1
"2867";2887;1;1
"153";59;2;2
"99";554;4;1
"1616";1816;3;2
"865";1661;2;2
"4811";3416;4;3
"2676";2726;1;1
"3123";1283;1;1
"856";606;1;2
"346";992;2;2
"1166";858;2;2
"2493";2313;2;1
"573";1127;2;2
"349";995;2;2
"604";2287;2;2
"682";2484;2;2
"10";599;2;2
"475";2978;2;1
"21210";2432;5;3
"1574";2198;3;1
"207";804;3;2
"2006";644;3;1
"1801";2395;1;1
"593";2249;1;1
"19710";1874;5;5
"1650";1868;2;2
"1793";206;2;1
"5611";3392;5;3
"691";597;4;3
"2623";623;2;2
"19910";1915;5;3
"2905";1308;2;2
"376";1944;3;2
"105";1377;2;2
"1023";1092;4;1
"1424";2575;2;1
"417";2380;2;1
"1393";2676;2;2
"1905";3315;1;1
"692";922;3;2
"254";730;3;2
"442";1291;2;2
"3030";190;1;1
"877";1753;1;1
"2796";2272;1;2
"2870";2890;1;1
"5911";3407;5;3
"2697";2732;2;1
"67";1366;3;2
"1245";2766;2;2
"744";2091;1;2
"65";1164;1;1
"659";1346;3;2
"469";335;1;1
"941";3277;2;2
"2111";947;2;2
"2927";359;2;1
"532";155;1;1
"466";424;2;1
"2886";2083;2;2
"490";2425;1;2
"2705";90;3;2
"1733";1413;2;2
"16";518;2;1
"1183";686;1;2
"3057";1449;3;2
"64";528;3;2
"2367";2312;1;2
"13810";110;5;3
"929";3000;1;1
"21510";2523;5;5
"1935";493;3;1
"2767";2704;2;2
"2812";2872;1;1
"15510";626;5;5
"2939";3016;2;1
"642";2662;1;1
"1610";1671;1;1
"2824";2323;5;1
"1274";1489;3;2
"601";2090;1;2
"1441";2845;1;1
"1341";285;2;1
"3070";2513;1;2
"3028";3125;3;2
"1173";640;2;2
"1747";2308;1;1
"700";159;2;1
"985";2572;1;1
"2675";2725;1;2
"2782";2450;3;2
"22410";2812;5;3
"2889";107;2;1
"610";2435;2;2
"427";1789;1;1
"1039";738;2;2
"229";2974;5;5
"743";1794;2;2
"2096";2037;1;2
"2356";930;2;2
"365";1763;1;2
"1040";2942;1;1
"5910";267;4;3
"2450";671;1;2
"1438";1135;3;2
"1203";2018;3;2
"598";3323;3;2
"1628";1138;2;2
"1135";2763;4;2
"203";3226;1;2
"2253";3182;2;2
"889";2664;1;1
"3139";292;2;2
"2891";1475;2;2
"12";240;2;1
"106";1378;2;2
"2221";2230;2;1
"1354";3234;2;3
"534";157;2;1
"2717";3347;2;2
"2292";498;2;1
"2950";407;3;2
"1283";1754;3;1
"1957";889;2;2
"933";2291;2;2
"375";1943;1;2
"551";2984;2;2
"451";1638;3;1
"2325";2125;4;2
"2407";2411;1;1
"687";3133;2;1
"1090";657;4;2
"71";1165;1;1
"2922";1448;2;2
"696";2905;3;2
"1463";367;3;2
"1691";2771;1;3
"20810";2246;5;3
"2239";592;2;2
"2702";2426;2;2
"1745";2306;1;1
"2195";1897;3;2
"1161";2006;2;1
"432";150;1;2
"1619";1434;2;2
"2342";1030;3;2
"2511";1908;2;2
"1439";2843;1;2
"2496";822;3;2
"70";2155;3;2
"614";456;1;1
"2539";289;1;1
"1682";9;1;2
"96";1372;1;2
"539";2459;2;1
"2651";214;3;2
"2960";3284;2;2
"660";1482;1;1
"2770";1443;3;2
"272";219;1;1
"734";2217;1;1
"217";766;3;2
"2085";3177;2;2
"831";201;1;2
"2084";3176;2;2
"1850";1825;1;2
"2508";2590;1;1
"1591";1270;1;1
"1083";3145;2;2
"1734";1414;2;2
"713";1699;2;1
"1257";567;2;2
"2259";286;2;1
"624";1230;2;2
"2670";1191;2;1
"40";527;1;2
"2668";1217;1;1
"2599";79;3;1
"2865";2885;3;1
"602";2987;1;1
"2877";3258;2;1
"2298";2202;1;2
"1447";2576;2;2
"2573";2702;1;2
"1509";866;3;2
"1761";1587;1;2
"887";899;2;1
"612";1229;3;2
"2848";1529;2;1
"1618";2681;1;2
"484";276;3;2
"1332";812;2;2
"487";1205;1;1
"1401";660;1;2
"2777";1193;1;1
"2133";2555;2;1
"2158";2954;1;1
"1730";481;1;1
"2855";1628;2;2
"2148";2606;1;1
"92";551;2;1
"13410";32;5;3
"1489";175;1;1
"2857";1987;2;2
"1364";37;2;1
"2636";234;1;1
"2598";78;2;2
"2457";2919;5;2
"2046";2746;1;1
"1980";3363;3;2
"4110";2755;3;3
"2710";1192;1;1
"396";1947;1;2
"1194";1043;2;1
"3037";3194;1;1
"2164";2637;2;2
"2411";2414;1;1
"969";1000;1;2
"862";3138;1;1
"861";3288;2;2
"2699";2734;1;1
"1406";3314;1;2
"2854";406;3;2
"136";2167;2;1
"2751";3272;2;2
"281";2069;2;2
"1992";3040;2;3
"2505";2750;1;2
"2002";1510;2;1
"695";1594;2;2
"2638";236;2;2
"1558";3265;2;2
"2569";2561;2;1
"1738";2804;3;2
"1772";1497;2;2
"1116";2355;3;2
"545";119;1;2
"2566";1337;3;2
"1641";2634;2;2
"2667";1216;1;1
"3094";3196;2;2
"2842";2481;2;1
"1330";3330;5;2
"1138";2221;2;2
"651";336;1;2
"7410";847;4;3
"2183";259;2;2
"310";273;1;1
"2940";962;1;2
"1068";1598;2;1
"3106";2372;3;2
"2376";2586;1;1
"392";2901;3;2
"2287";2264;1;1
"428";1790;1;2
"835";2348;3;2
"2290";2119;3;2
"2374";2584;2;2
"3098";2066;2;2
"1872";2686;1;1
"141";1383;1;2
"1310";1048;2;2
"672";1428;1;2
"1662";878;3;2
"1885";1416;3;2
"636";1085;2;2
"1296";3150;2;2
"1114";2668;4;2
"2453";2916;3;2
"1755";2034;2;2
"1409";841;1;2
"1078";1966;1;2
"1699";3336;2;2
"771";1749;2;2
"674";2483;3;2
"2127";353;1;2
"3119";1535;1;1
"2208";2082;2;1
"1624";2225;2;2
"2750";1652;1;1
"19310";1730;5;3
